Column1,Block,GNA/NR/2025/06/01/4973,GNA/NR/2025/06/01/7782,GNA/NR/2025/06/01/7762,NR/01082024/19092033/Chanju/TPDDL/01082024,NR/2025/28903/C,NR/2025/29017/C,NR/2025/26565/A/80873,NR/2025/27167/A/80825,NR/2025/28952/C,NR/2025/29018/C,NR/2025/26445/A/80910,NR/2025/26566/A/80872,NR/2025/27727/A/80840,NR/2025/27168/A/80827,NR/2025/27100/A/80495,NR/2025/27725/A/80844,NR/2025/29012/C,NR/2025/27162/A/80848,NR/2025/27506/A/80379,NR/2025/28974/C,NR/2025/27281/A/80983,NR/2025/26975/A/80849,NR/2025/29014/C,NR/2025/28851/A/80519,NR/2025/26571/A/80871,NR/2025/27157/A/80472,NR/2025/26860/A/80771,NR/2025/27728/A/80841,NR/2025/26777/A/80465,NR/2025/27726/A/80842,NR/2025/27242/A/80811,NR/2025/26085/A/80367,NR/2025/26562/A/80874,NR/2025/27187/A/80846,NR/2025/28719/A/80477,NR/2025/26572/A/80870,NR/2025/26861/A/80869,NR/2025/27185/A/80847,NR/2025/29020/C,NR/2025/26952/A/80410,NR/2025/27499/A/80877,NR/2025/26785/A/80601,NR/2025/29008/C,NR/2025/29021/C,NR/2025/27782/A/80839,NR/2025/28986/C,NR/2025/28984/C,NR/2025/26889/A/80878,NR/2025/28849/A/80518,NR/2025/28985/C,NR/2025/27088/A/80894,NR/2025/27500/A/80382,NR/2025/29015/C,NR/2025/28873/A/80803,NR/2025/29024/C,NR/2025/29025/C,NR/2025/29022/C,NR/2025/29023/C,NR/2025/28899/C,NR/2025/28999/C,NR/2025/27356/A/80520,NR/2025/28774/A/80526,GNA/NR/2025/06/01/9257,GNA/NR/2025/06/01/5280,GNA/NR/2025/06/16/6051,GNA/NR/2025/06/16/8791,GNA/NR/2025/06/01/9719,GNA/NR/2025/06/16/1239,NR/30092023/26122029/SH-06,GNA/NR/2025/06/01/7786,NR/30092023/31122025/SH-07,GNA/NR/2025/06/01/7663,GNA/NR/2025/06/01/2868,GNA/NR/2025/06/01/4444,GNA/NR/2025/06/01/2569,GNARE/NR/2024/12/20/3668,Total
8,01:45-02:00,48.37,11.92,24.18,13.7,0,0,145.11,24.18,0,0,96.74,0,26.38,24.18,25.23,8.79,0,56.05,1.93,0,24.91,27.09,0,38.7,145.11,217.57,106.41,26.38,193.48,26.38,48.37,0.68,145.11,19.35,10.64,0,193.48,19.35,0,0,8.71,0,0,0,8.79,0,0,5.8,135.44,0,192.86,7.74,0,1.93,0,0,146.4,29.02,0,205.09,0,0,24.18,11.93,19.35,15.33,24.18,53.21,32,48.37,32,48.37,29.2,0,62.88,0,2892.5499999999993

9,02:00-02:15,48.37,11.92,24.18,15.84,0,0,145.11,24.18,0,0,96.74,0,26.38,24.18,0,8.79,0,56.05,1.93,0,24.91,27.09,0,38.7,145.11,217.57,106.41,26.38,193.48,26.38,48.37,0.63,145.11,19.35,10.64,0,0,19.35,0,0,0,0,0,0,8.79,0,0,0,135.44,0,192.86,7.74,0,1.93,0,0,146.4,29.02,0,205.09,0,0,24.18,11.93,19.35,15.33,24.18,53.21,32,48.37,32,48.37,29.2,193.48,62.88,0,2854.8999999999996

10,02:15-02:30,48.37,11.92,24.18,15.84,0,0,145.11,24.18,0,0,96.74,0,26.38,24.18,0,8.79,0,56.05,1.93,0,24.91,27.09,0,38.7,145.11,217.57,106.41,26.38,193.48,26.38,48.37,0.63,145.11,19.35,10.64,0,0,19.35,0,0,0,0,0,0,8.79,0,0,0,135.44,0,192.86,7.74,0,1.93,0,0,146.4,29.02,0,205.09,0,0,24.18,11.93,19.35,15.33,24.18,53.21,32,48.37,32,48.37,29.2,193.48,62.88,0,2854.8999999999996

11,02:30-02:45,48.37,11.92,24.18,15.84,0,0,145.11,24.18,0,0,96.74,0,26.38,24.18,0,8.79,0,56.05,1.93,0,24.91,27.09,0,38.7,145.11,217.57,106.41,26.38,193.48,26.38,48.37,0.63,145.11,19.35,10.64,0,0,19.35,0,0,0,0,0,0,8.79,0,0,0,135.44,0,192.86,7.74,0,1.93,0,0,146.4,29.02,0,205.09,0,0,24.18,11.93,19.35,15.33,24.18,53.21,32,48.37,32,48.37,29.2,193.48,62.88,0,2854.8999999999996

12,02:45-03:00,48.37,11.92,24.18,15.84,0,0,145.11,24.18,0,0,96.74,0,26.38,24.18,0,8.79,0,56.05,1.93,0,24.91,27.09,0,38.7,145.11,217.57,106.41,26.38,193.48,26.38,48.37,0.63,145.11,19.35,10.64,0,0,19.35,0,0,0,0,0,0,8.79,0,0,0,135.44,0,192.86,7.74,0,1.93,0,0,146.4,29.02,0,205.09,0,0,24.18,11.93,19.35,15.33,24.18,53.21,32,48.37,32,48.37,29.2,193.48,62.88,0,2854.8999999999996

13,03:00-03:15,48.37,11.92,24.18,15.46,0,0,145.11,24.18,0,0,96.74,0,26.38,24.18,0,8.79,0,56.05,1.93,0,24.91,5.8,0,38.7,145.11,217.57,106.41,26.38,193.48,26.38,48.37,0.53,145.11,19.35,10.64,0,0,19.35,0,0,0,0,0,0,8.79,0,0,0,135.44,0,192.86,7.74,0,1.93,0,0,146.4,29.02,0,205.09,0,0,24.18,11.93,19.35,15.33,24.18,0,19.8,48.37,19.8,48.37,29.2,193.48,62.88,0,2755.5199999999995

14,03:15-03:30,48.37,11.92,24.18,15.46,0,0,145.11,24.18,0,0,96.74,0,26.38,24.18,0,8.79,0,56.05,1.93,0,24.91,5.8,0,38.7,145.11,217.57,106.41,26.38,193.48,26.38,48.37,0.53,145.11,19.35,10.64,0,0,19.35,0,0,0,0,0,0,8.79,0,0,0,135.44,0,192.86,7.74,0,1.93,0,0,146.4,29.02,0,205.09,0,0,24.18,11.93,19.35,15.33,24.18,0,19.8,48.37,19.8,48.37,29.2,193.48,62.88,0,2755.5199999999995

15,03:30-03:45,48.37,11.92,24.18,15.46,0,0,145.11,24.18,0,0,96.74,0,26.38,24.18,0,8.79,0,56.05,1.93,0,24.91,5.8,0,38.7,145.11,217.57,106.41,26.38,193.48,26.38,48.37,0.53,145.11,19.35,10.64,0,0,19.35,0,0,0,0,0,0,8.79,0,0,0,135.44,0,192.86,7.74,0,1.93,0,0,146.4,29.02,0,205.09,0,0,24.18,11.93,19.35,15.33,24.18,0,19.8,48.37,19.8,48.37,29.2,193.48,62.88,0,2755.5199999999995

16,03:45-04:00,48.37,11.92,24.18,15.46,0,0,145.11,24.18,0,0,96.74,0,26.38,24.18,0,8.79,0,56.05,1.93,0,24.91,5.8,0,38.7,145.11,217.57,106.41,26.38,193.48,26.38,48.37,0.53,145.11,19.35,10.64,0,0,19.35,0,0,0,0,0,0,8.79,0,0,0,135.44,0,192.86,7.74,0,1.93,0,0,146.4,29.02,0,205.09,0,0,24.18,11.93,19.35,15.33,24.18,0,19.8,48.37,19.8,48.37,29.2,193.48,62.88,0,2755.5199999999995

17,04:00-04:15,48.37,11.92,24.18,15.09,0,0,0,24.18,0,0,96.74,0,26.38,24.18,0,8.79,0,56.05,1.93,0,24.91,5.8,0,38.7,0,0,106.41,26.38,193.48,26.38,48.37,0.53,145.11,19.35,10.64,0,0,19.35,0,0,0,0,0,0,8.79,0,0,0,135.44,0,192.86,7.74,0,1.93,0,0,146.4,29.02,0,205.09,0,0,24.18,11.93,19.35,15.33,24.18,0,19.8,48.37,19.8,48.37,29.2,193.48,62.88,0,2247.3599999999997

18,04:15-04:30,48.37,11.92,24.18,15.09,0,0,0,24.18,0,0,96.74,0,26.38,24.18,0,8.79,0,56.05,1.93,0,24.91,5.8,0,38.7,0,0,106.41,26.38,193.48,26.38,48.37,0.53,145.11,19.35,10.64,0,0,19.35,0,0,0,0,0,0,8.79,0,0,0,135.44,0,192.86,7.74,0,1.93,0,0,146.4,29.02,0,205.09,0,0,24.18,11.93,19.35,15.33,24.18,0,19.8,48.37,19.8,48.37,29.2,193.48,62.88,0,2247.3599999999997

19,04:30-04:45,48.37,11.92,24.18,15.09,0,0,0,24.18,0,0,96.74,0,26.38,24.18,0,8.79,0,56.05,1.93,0,24.91,5.8,0,38.7,0,0,106.41,26.38,193.48,26.38,48.37,0.53,145.11,19.35,10.64,0,0,19.35,0,0,0,0,0,0,8.79,0,0,0,135.44,0,192.86,7.74,0,1.93,0,0,146.4,29.02,0,205.09,0,0,24.18,11.93,19.35,15.33,24.18,0,19.8,48.37,19.8,48.37,29.2,193.48,62.88,0,2247.3599999999997

20,04:45-05:00,48.37,11.92,24.18,15.09,0,0,0,24.18,0,0,96.74,0,26.38,24.18,0,8.79,0,56.05,1.93,0,24.91,5.8,0,38.7,0,0,106.41,26.38,193.48,26.38,48.37,0.53,145.11,19.35,10.64,0,0,19.35,0,0,0,0,0,0,8.79,0,0,0,135.44,0,192.86,7.74,0,1.93,0,0,146.4,29.02,0,0,0,0,24.18,11.93,19.35,15.33,24.18,0,19.8,48.37,19.8,48.37,29.2,193.48,62.88,0,2042.27

21,05:00-05:15,48.37,11.92,24.18,14.72,0,0,0,24.18,0,0,96.74,0,26.38,24.18,0,8.79,0,56.05,1.93,0,24.91,5.8,0,0,0,0,106.41,26.38,193.48,26.38,48.37,0.63,145.11,0,10.64,0,0,19.35,0,0,0,0,0,0,8.79,0,0,0,0,0,192.86,7.74,0,1.93,0,0,146.4,29.02,0,0,0,0,24.18,11.93,19.35,15.33,24.18,0,19.8,48.37,19.8,48.37,29.2,193.48,62.88,0,1848.5100000000002

22,05:15-05:30,48.37,11.92,24.18,14.72,0,0,0,24.18,0,0,96.74,0,26.38,24.18,0,8.79,0,56.05,1.93,0,24.91,5.8,0,0,0,0,106.41,26.38,193.48,26.38,48.37,0.63,145.11,0,10.64,0,0,19.35,0,0,0,0,0,0,8.79,0,0,0,0,0,192.86,7.74,0,1.93,0,0,146.4,29.02,0,0,0,0,24.18,11.93,19.35,15.33,24.18,0,19.8,48.37,19.8,48.37,29.2,193.48,62.88,0,1848.5100000000002

23,05:30-05:45,48.37,11.92,24.18,14.72,0,0,0,24.18,0,0,96.74,0,26.38,24.18,0,8.79,0,56.05,1.93,0,24.91,5.8,0,0,0,0,106.41,26.38,193.48,26.38,48.37,0.63,145.11,0,10.64,0,0,19.35,0,0,0,0,0,0,8.79,0,0,0,0,0,192.86,7.74,0,0.97,0,0,146.4,29.02,0,0,0,0,24.18,11.93,19.35,15.33,24.18,0,19.8,48.37,19.8,48.37,29.2,193.48,62.88,0,1847.5500000000002

24,05:45-06:00,48.37,11.92,24.18,14.72,0,0,0,24.18,0,0,96.74,0,26.38,24.18,0,8.79,0,56.05,1.93,0,24.91,5.8,0,0,0,0,106.41,26.38,193.48,26.38,48.37,0.63,145.11,0,9.67,0,0,19.35,0,0,0,0,0,0,8.79,0,0,0,0,0,192.86,7.74,0,1.93,0,0,146.4,29.02,0,0,1,0,24.18,11.93,19.35,15.33,24.18,0,19.8,48.37,19.8,48.37,29.2,193.48,62.88,0,1848.54

25,06:00-06:15,48.37,11.92,24.18,14.35,0,0,0,24.18,0,0,96.74,0,26.38,24.18,0,8.79,0,56.05,1.93,0,24.91,5.8,0,0,0,0,106.41,26.38,193.48,26.38,48.37,0.68,145.11,0,9.67,0,0,19.35,0,0,0,0,0,0,8.79,0,0,0,0,0,192.86,7.74,0,1.93,0,0,146.4,29.02,0,0,2,0,24.18,11.93,19.35,15.33,24.18,0,19.8,48.37,19.8,48.37,29.2,193.48,62.88,0,1849.22

26,06:15-06:30,48.37,11.92,24.18,14.35,0,0,0,24.18,0,0,96.74,0,26.38,24.18,0,8.79,0,56.05,1.93,0,24.91,5.8,0,0,0,0,106.41,26.38,193.48,26.38,48.37,0.68,145.11,0,9.67,0,0,19.35,0,0,0,0,0,0,8.79,0,0,0,0,0,192.86,7.74,0,1.93,0,0,146.4,29.02,0,0,4,0,24.18,11.93,19.35,15.33,24.18,0,19.8,48.37,19.8,48.37,29.2,193.48,62.88,0,1851.22

27,06:30-06:45,48.37,11.92,24.18,14.35,0,0,0,24.18,0,0,96.74,0,26.38,24.18,0,8.79,0,56.05,1.93,0,24.91,5.8,0,0,0,0,106.41,26.38,193.48,26.38,48.37,0.68,145.11,0,9.67,0,0,19.35,0,0,0,0,0,0,8.79,0,0,0,0,0,192.86,7.74,0,1.93,0,0,146.4,29.02,0,0,7,0,24.18,11.93,19.35,15.33,24.18,0,19.8,48.37,19.8,48.37,29.2,193.48,62.88,4.85,1859.07

28,06:45-07:00,48.37,11.92,24.18,14.35,0,0,0,24.18,0,0,96.74,0,26.38,24.18,0,8.79,0,56.05,1.93,0,24.91,5.8,0,0,0,0,106.41,26.38,193.48,26.38,48.37,0.68,145.11,0,9.67,0,0,19.35,0,0,0,0,0,0,8.79,0,0,0,0,0,192.86,7.74,0,0.97,0,0,146.4,29.02,0,0,11,0,24.18,11.93,19.35,15.33,24.18,0,19.8,48.37,19.8,48.37,29.2,193.48,62.88,7.85,1865.11

29,07:00-07:15,48.37,11.92,24.18,13.98,0,0,0,24.18,0,0,96.74,0,26.38,24.18,0,8.79,0,56.05,1.93,0,24.91,5.8,0,0,0,0,106.41,26.38,193.48,26.38,48.37,0.87,145.11,0,9.67,0,0,19.35,0,0,0,0,0,0,8.79,0,0,0,0,0,192.86,7.74,0,0.97,0,0,146.4,29.02,0,0,14,0,24.18,11.93,19.35,15.33,24.18,0,21.96,48.37,21.96,48.37,17.41,193.48,62.88,11.48,1864.0900000000001

30,07:15-07:30,48.37,11.92,24.18,13.98,0,0,0,24.18,0,0,96.74,0,26.38,24.18,0,8.79,0,56.05,1.93,0,24.91,5.8,0,0,0,0,106.41,26.38,193.48,26.38,48.37,0.87,145.11,0,9.67,0,0,19.35,0,0,0,0,0,0,8.79,0,0,0,0,0,192.86,7.74,0,0.97,0,0,146.4,29.02,0,0,21,0,24.18,11.93,19.35,15.33,24.18,0,21.96,48.37,21.96,48.37,17.41,193.48,62.88,15.74,1875.3500000000001

