Block,Time,KHSTPP-I,KKNPPU2,KOTESHWR,NLCTS2EXP,RAPPC,SIMHST1,SINGRAULI_HYDRO,TelanganaSTPP,ANTA_LF,BSIUL,CHAMERA2,MAPS,NAPP,NLCEXP,NTPL,PARBATI3,RSTPSU7,UNCHAHAR4,URI,VALLURNTECL,ANTA_CRF,BRBCL,CHAMERA3,DULHASTI,JHAJJAR,KGSU3AND4,RSTPSU1TO6,TANAKPUR,TEHRI,DADRI_LF,KISHANGANGA,KKNP,KOLDAM,NNTPP,RAPPB,RIHAND1,RIHAND2,SALAL,SEWA2,SINGRAULI,UNCHAHAR2,URI2,AURY_GF,AURY_LF,SASAN,SIMHST2,DADRI_RF,FSTPP I & II,KHSTPP-II,KUDGI,NJPC,RAMPUR,TANDA2,ANTA_GF,KGSU1AND2,NLCIIST1,RIHAND3,UNCHAHAR1,UNCHAHAR3,ANTA_RF,CHAMERA1,DADRT2,DHAULIGNGA,NLCIIST2,TALA,TALST2,AURY_CRF,AURY_RF,DADRI_CRF,DADRI_GF
14,03:15-03:30,45.22,0,8.88,0,54.31,0,0,0,0,0,0,0,44.32,0,0,0,0,0,0,0,0,20,0,0,654.3,0,0,0.51,0,23.57,0,0,0,0,0,92,118.75,1.4,0,125.96,42.39,4.31,0,0,416.25,0,67.18,18.2,148.3,0,0,0,0,0,0,0,124.32,20.56,26.39,45.05,0,683.14,0,0,0,0,0,71.46,2.19,0

15,03:30-03:45,45.22,0,8.88,0,54.31,0,0,0,0,0,0,0,44.32,0,0,0,0,0,0,0,0,20,0,0,654.3,0,0,0.51,0,23.57,0,0,0,0,0,92,118.75,1.4,0,125.96,42.39,4.31,0,0,416.25,0,67.18,18.2,148.3,0,0,0,0,0,0,0,124.32,20.56,26.39,45.05,0,683.14,0,0,0,0,0,71.46,2.19,0

16,03:45-04:00,45.22,0,8.88,0,54.31,0,0,0,0,0,0,0,44.32,0,0,0,0,0,0,0,0,20,0,0,654.3,0,0,0.51,0,23.57,0,0,0,0,0,92,118.75,1.4,0,125.96,42.39,4.31,0,0,416.25,0,67.18,18.2,148.3,0,0,0,0,0,0,0,124.32,20.56,26.39,45.05,0,683.14,9.14,0,0,0,0,71.46,2.19,0

17,04:00-04:15,45.22,0,8.88,0,54.31,0,0,0,0,0,0,0,44.32,0,0,0,0,0,0,0,0,20,0,0,654.3,0,0,5.76,0,23.57,0,0,0,0,0,92,118.75,9.29,0,125.96,42.39,4.31,0,0,416.25,0,67.18,18.2,148.3,0,0,0,0,0,0,0,124.32,20.56,26.39,45.05,0,683.14,9.14,0,0,0,0,71.46,2.19,0

18,04:15-04:30,45.22,0,8.88,0,54.31,0,0,0,0,0,0,0,44.32,0,0,0,0,0,0,0,0,20,0,0,654.3,0,0,5.76,0,23.57,0,0,0,0,0,92,118.75,55.77,0,125.96,42.39,4.31,0,0,416.25,0,67.18,18.2,148.3,0,0,0,0,0,0,0,124.32,20.56,26.39,45.05,0,683.14,9.14,0,0,0,0,71.46,2.19,0

