Time,Block,NR/01102023/23072042/L_NR_2012_04,NR/05072024/31072024/1000011449-JITPL-BRPL(DISCOM),NR/01072024/31072024/R2,NR/01072024/31072024/NDMC/D-54/EE(POWER)2024,NR/01072024/31072024/	NR/01072024/31072024/TataPower-DDL/PMG/MSEDCL/Banking/12112023,NR/2024/21183/A/29460,NR/28072024/28072024/IEX_240727-01742,NR/2024/21158/A/29201,NR/01072024/31072024/IIPL/JPL(SH)-BRPL/BRPL T-249/24-25/1,NR/2024/21339/A/29122,NR/2024/19779/A/29345,NR/2024/21142/A/29125,NR/2024/21108/A/29422,NR/2024/21567/A/29434,NR/2024/21227/A/29426,NR/2024/21141/A/29126,NR/2024/21150/A/29179,NR/2024/20711/A/29521,NR/2024/21173/A/29190,NR/2024/21238/A/29463,NR/01072024/31072024/APPCPL/180/F25/TGNA/3250,NR/2024/21152/A/29097,NR/2024/21159/A/29183,NR/01072024/31072024/IIPL/JPL(TM)-BRPL/BRPLT-169/24-25/02,NR/2024/22008/C,NR/30092023/31122025/SH-07,NR/2024/22003/C,NR/2024/21075/A/29462,NR/2024/21682/A/29499,NR/2024/21144/A/29152,NR/2024/21023/A/29154,NR/2024/20966/A/29098,NR/01072024/31072024/NDMC/D-55/EE(POWER)2024,NR/2024/21099/A/29127,NR/2024/21113/A/29435,NR/2024/21982/C,NR/01072024/31072024/Chanju/TPDDL/Jul01072024,NR/01102023/25122043/GNA_MEJA_DELHI,NR/2024/21076/A/29459,NR/2024/21146/A/29180,NR/2024/21153/A/29177,NR/30092023/26122029/SH-06,NR/16072024/31072024/NR/16072024/31072024/717758,NR/2024/20574/A/29406,NR/2024/22006/C,NR/2024/21103/A/29427,NR/2024/21715/A/29012,NR/2024/20573/A/29407,NR/2024/21999/C,NR/2024/21156/A/29181,NR/2024/20688/A/29192,NR/2024/21210/A/29124,NR/2024/21089/A/29436,NR/2024/22005/C,NR/2024/21062/A/29402,NR/2024/21160/A/29182,NR/2024/21199/A/29153,NR/2024/21997/C,NR/2024/20931/A/29388,NR/2024/21096/A/29428,NR/2024/21148/A/29178,NR/2024/21998/C,NR/2024/21072/A/29437,NR/2024/21087/A/29191,NR/2024/21186/A/29446,Total

3,00:30-00:45,0.000000,96.460000,24.120000,8.770000,0.000000,21.220000,48.230000,0.680000,72.340000,0.000000,0.630000,48.230000,24.040000,8.770000,12.200000,47.710000,0.880000,48.230000,24.120000,2.890000,38.580000,1.930000,0.880000,96.460000,38.580000,32.000000,192.920000,11.720000,241.150000,0.480000,0.000000,4.820000,10.410000,24.120000,26.300000,1.930000,12.980000,0.000000,90.670000,0.360000,1.590000,32.000000,48.230000,12.060000,19.770000,84.090000,6.750000,36.170000,27.970000,0.610000,66.740000,48.230000,26.300000,24.120000,0.000000,0.970000,0.000000,0,0.000000,67.520000,0.520000,164.220000,26.300000,24.120000,48.230000,2082.32

4,00:45-01:00,0.000000,96.460000,24.120000,8.770000,0.000000,21.220000,48.230000,0.680000,72.340000,0.000000,0.630000,48.230000,24.040000,8.770000,12.200000,47.710000,0.880000,48.230000,24.120000,2.890000,38.580000,1.930000,0.880000,96.460000,38.580000,32.000000,192.920000,11.720000,241.150000,0.480000,0.000000,4.820000,10.410000,24.120000,26.300000,1.930000,12.980000,0.000000,90.670000,0.360000,1.590000,32.000000,48.230000,12.060000,19.770000,84.090000,6.750000,36.170000,27.970000,0.610000,66.740000,48.230000,26.300000,24.120000,0.000000,0.970000,0.000000,0,0.000000,67.520000,0.520000,164.220000,26.300000,24.120000,48.230000,2082.32

5,01:00-01:15,0.000000,96.460000,24.120000,8.770000,0.000000,21.220000,0.000000,0.680000,72.340000,0.000000,0.580000,48.230000,24.040000,8.770000,12.200000,47.710000,0.880000,48.230000,24.120000,2.890000,38.580000,1.930000,0.880000,96.460000,0.000000,32.000000,0.000000,11.720000,241.150000,0.480000,0.000000,4.820000,10.410000,24.120000,26.300000,1.930000,12.980000,0.000000,90.670000,0.360000,1.590000,32.000000,48.230000,12.060000,0.000000,84.090000,6.750000,36.170000,27.970000,0.610000,66.740000,48.230000,26.300000,0.000000,0.000000,0.970000,0.000000,0,0.000000,67.520000,0.520000,164.220000,26.300000,24.120000,48.230000,1758.65

6,01:15-01:30,0.000000,96.460000,24.120000,8.770000,0.000000,21.220000,0.000000,0.680000,72.340000,0.000000,0.580000,48.230000,24.040000,8.770000,12.200000,47.710000,0.880000,48.230000,24.120000,2.890000,38.580000,1.930000,0.880000,96.460000,0.000000,32.000000,0.000000,11.720000,241.150000,0.480000,0.000000,4.820000,10.410000,24.120000,26.300000,1.930000,12.980000,0.000000,90.670000,0.360000,1.590000,32.000000,48.230000,12.060000,0.000000,84.090000,6.750000,36.170000,27.970000,0.610000,66.740000,48.230000,26.300000,0.000000,0.000000,0.970000,0.000000,0,0.000000,67.520000,0.520000,164.220000,26.300000,24.120000,48.230000,1758.65

7,01:30-01:45,0.000000,96.460000,24.120000,8.770000,0.000000,21.220000,0.000000,0.680000,72.340000,0.000000,0.580000,48.230000,24.040000,8.770000,12.200000,47.710000,0.880000,48.230000,24.120000,2.890000,38.580000,1.930000,0.880000,96.460000,0.000000,32.000000,0.000000,11.720000,241.150000,0.480000,0.000000,4.820000,10.410000,24.120000,26.300000,1.930000,12.980000,0.000000,90.670000,0.360000,1.590000,32.000000,48.230000,12.060000,0.000000,84.090000,6.750000,36.170000,27.970000,0.610000,66.740000,48.230000,26.300000,0.000000,0.000000,0.970000,0.000000,0,0.000000,67.520000,0.520000,164.220000,26.300000,24.120000,48.230000,1758.65

8,01:45-02:00,0.000000,96.460000,24.120000,8.770000,0.000000,21.220000,0.000000,0.680000,72.340000,0.000000,0.580000,48.230000,24.040000,8.770000,12.200000,47.710000,0.880000,48.230000,24.120000,2.890000,38.580000,1.930000,0.880000,96.460000,0.000000,32.000000,0.000000,11.720000,241.150000,0.480000,0.000000,4.820000,10.410000,24.120000,26.300000,1.930000,12.980000,0.000000,90.670000,0.360000,1.590000,32.000000,48.230000,12.060000,0.000000,84.090000,6.750000,36.170000,27.970000,0.610000,66.740000,48.230000,26.300000,0.000000,0.000000,0.970000,0.000000,0,0.000000,67.520000,0.520000,164.220000,26.300000,24.120000,48.230000,1758.65

9,02:00-02:15,0.000000,96.460000,24.120000,8.770000,0.000000,21.220000,0.000000,0.680000,72.340000,0.000000,0.580000,48.230000,24.040000,8.770000,0.000000,47.710000,0.880000,48.230000,24.120000,2.890000,38.580000,1.930000,0.880000,96.460000,0.000000,32.000000,0.000000,11.720000,241.150000,0.480000,0.000000,4.820000,10.410000,24.120000,26.300000,1.930000,12.800000,0.000000,90.670000,0.360000,1.590000,32.000000,48.230000,12.060000,0.000000,84.090000,6.750000,36.170000,27.970000,0.610000,66.740000,48.230000,26.300000,0.000000,0.000000,0.970000,0.000000,0,0.000000,67.520000,0.520000,164.220000,26.300000,24.120000,48.230000,1746.27

10,02:15-02:30,0.000000,96.460000,24.120000,8.770000,0.000000,21.220000,0.000000,0.680000,72.340000,0.000000,0.580000,48.230000,24.040000,8.770000,0.000000,47.710000,0.880000,48.230000,24.120000,2.890000,38.580000,1.930000,0.880000,96.460000,0.000000,32.000000,0.000000,11.720000,241.150000,0.480000,0.000000,4.820000,10.410000,24.120000,26.300000,1.930000,12.800000,0.000000,90.670000,0.360000,1.590000,32.000000,48.230000,12.060000,0.000000,84.090000,6.750000,36.170000,27.970000,0.610000,66.740000,48.230000,26.300000,0.000000,0.000000,0.970000,0.000000,0,0.000000,67.520000,0.520000,164.220000,26.300000,24.120000,48.230000,1746.27

11,02:30-02:45,0.000000,96.460000,24.120000,8.770000,0.000000,21.220000,0.000000,0.680000,72.340000,0.000000,0.580000,48.230000,24.040000,8.770000,0.000000,47.710000,0.880000,48.230000,24.120000,2.890000,38.580000,1.930000,0.880000,96.460000,0.000000,32.000000,0.000000,11.720000,241.150000,0.480000,0.000000,4.820000,10.410000,24.120000,26.300000,1.930000,12.800000,0.000000,90.670000,0.360000,1.590000,32.000000,48.230000,12.060000,0.000000,84.090000,6.750000,36.170000,27.970000,0.610000,66.740000,48.230000,26.300000,0.000000,0.000000,0.970000,0.000000,0,0.000000,67.520000,0.520000,164.220000,26.300000,24.120000,48.230000,1746.27

12,02:45-03:00,0.000000,96.460000,24.120000,8.770000,0.000000,21.220000,0.000000,0.680000,72.340000,0.000000,0.580000,48.230000,24.040000,8.770000,0.000000,47.710000,0.880000,48.230000,24.120000,2.890000,38.580000,1.930000,0.880000,96.460000,0.000000,32.000000,0.000000,11.720000,241.150000,0.480000,0.000000,4.820000,10.410000,24.120000,26.300000,1.930000,12.800000,0.000000,90.670000,0.360000,1.590000,32.000000,48.230000,12.060000,0.000000,84.090000,6.750000,36.170000,27.970000,0.610000,66.740000,48.230000,26.300000,0.000000,0.000000,0.970000,0.000000,0,0.000000,67.520000,0.520000,164.220000,26.300000,24.120000,48.230000,1746.27

13,03:00-03:15,0.000000,96.460000,24.120000,8.770000,0.000000,21.220000,0.000000,0.680000,72.340000,0.000000,0.530000,48.230000,24.040000,8.770000,0.000000,0.000000,0.880000,48.230000,24.120000,2.890000,0.000000,1.930000,0.880000,96.460000,0.000000,13.950000,0.000000,11.720000,241.150000,0.480000,0.000000,4.820000,10.410000,24.120000,26.300000,1.930000,12.800000,0.000000,90.670000,0.360000,1.590000,32.000000,48.230000,12.060000,0.000000,84.090000,6.750000,36.170000,27.970000,0.610000,66.740000,48.230000,26.300000,0.000000,0.000000,0.970000,0.000000,0,0.000000,67.520000,0.520000,164.220000,26.300000,24.120000,48.230000,1641.88

14,03:15-03:30,0.000000,96.460000,24.120000,8.770000,0.000000,21.220000,0.000000,0.680000,72.340000,0.000000,0.530000,48.230000,24.040000,8.770000,0.000000,0.000000,0.880000,48.230000,24.120000,2.890000,0.000000,1.930000,0.880000,96.460000,0.000000,13.950000,0.000000,11.720000,241.150000,0.480000,0.000000,4.820000,10.410000,24.120000,26.300000,1.930000,12.800000,0.000000,90.670000,0.360000,1.590000,32.000000,48.230000,12.060000,0.000000,84.090000,6.750000,36.170000,27.970000,0.610000,66.740000,48.230000,26.300000,0.000000,0.000000,0.970000,0.000000,0,0.000000,67.520000,0.520000,164.220000,26.300000,24.120000,48.230000,1641.88

15,03:30-03:45,0.000000,96.460000,24.120000,8.770000,0.000000,21.220000,0.000000,0.680000,72.340000,0.000000,0.530000,48.230000,24.040000,8.770000,0.000000,0.000000,0.880000,48.230000,24.120000,2.890000,0.000000,1.930000,0.880000,96.460000,0.000000,13.950000,0.000000,11.720000,241.150000,0.480000,0.000000,4.820000,10.410000,24.120000,26.300000,1.930000,12.800000,0.000000,90.670000,0.360000,1.590000,32.000000,48.230000,12.060000,0.000000,84.090000,6.750000,36.170000,27.970000,0.610000,66.740000,48.230000,26.300000,0.000000,0.000000,0.970000,0.000000,0,0.000000,67.520000,0.520000,164.220000,26.300000,24.120000,48.230000,1641.88

16,03:45-04:00,0.000000,96.460000,24.120000,8.770000,0.000000,21.220000,0.000000,0.680000,72.340000,0.000000,0.530000,48.230000,24.040000,8.770000,0.000000,0.000000,0.880000,48.230000,24.120000,2.890000,0.000000,1.930000,0.880000,96.460000,0.000000,13.950000,0.000000,11.720000,241.150000,0.480000,0.000000,4.820000,10.410000,24.120000,26.300000,1.930000,12.800000,0.000000,90.670000,0.360000,1.590000,32.000000,48.230000,12.060000,0.000000,84.090000,6.750000,36.170000,27.970000,0.610000,66.740000,48.230000,26.300000,0.000000,0.000000,0.970000,0.000000,0,0.000000,67.520000,0.520000,164.220000,26.300000,24.120000,48.230000,1641.88

17,04:00-04:15,0.000000,96.460000,24.120000,8.770000,0.000000,21.220000,0.000000,0.680000,72.340000,0.000000,0.530000,48.230000,24.040000,8.770000,0.000000,0.000000,0.880000,48.230000,24.120000,2.890000,0.000000,1.930000,0.880000,96.460000,0.000000,13.950000,0.000000,11.720000,241.150000,0.480000,0.000000,4.820000,10.410000,24.120000,26.300000,1.930000,12.700000,0.000000,90.670000,0.360000,1.590000,32.000000,48.230000,12.060000,0.000000,84.090000,6.750000,36.170000,27.970000,0.610000,66.740000,48.230000,26.300000,0.000000,0.000000,0.970000,0.000000,0,0.000000,67.520000,0.520000,164.220000,26.300000,24.120000,48.230000,1641.78

18,04:15-04:30,0.000000,96.460000,24.120000,8.770000,0.000000,21.220000,0.000000,0.680000,72.340000,0.000000,0.530000,48.230000,24.040000,8.770000,0.000000,0.000000,0.880000,48.230000,24.120000,2.890000,0.000000,1.930000,0.880000,96.460000,0.000000,13.950000,0.000000,11.720000,241.150000,0.480000,0.000000,4.820000,10.410000,24.120000,26.300000,1.930000,12.700000,0.000000,90.670000,0.360000,1.590000,32.000000,48.230000,12.060000,0.000000,84.090000,6.750000,36.170000,27.970000,0.610000,66.740000,48.230000,26.300000,0.000000,0.000000,0.970000,0.000000,0,0.000000,67.520000,0.520000,164.220000,26.300000,24.120000,48.230000,1641.78

19,04:30-04:45,0.000000,96.460000,24.120000,8.770000,0.000000,21.220000,0.000000,0.680000,72.340000,0.000000,0.530000,48.230000,24.040000,8.770000,0.000000,0.000000,0.880000,48.230000,24.120000,2.890000,0.000000,1.930000,0.880000,96.460000,0.000000,13.950000,0.000000,11.720000,241.150000,0.480000,0.000000,4.820000,10.410000,24.120000,26.300000,0.960000,12.700000,0.000000,90.670000,0.360000,1.590000,32.000000,48.230000,12.060000,0.000000,84.090000,6.750000,36.170000,27.970000,0.610000,66.740000,48.230000,26.300000,0.000000,0.000000,0.970000,0.000000,0,0.000000,67.520000,0.520000,164.220000,26.300000,24.120000,48.230000,1640.81

20,04:45-05:00,0.000000,96.460000,24.120000,8.770000,0.000000,21.220000,0.000000,0.680000,72.340000,0.000000,0.530000,48.230000,24.040000,8.770000,0.000000,0.000000,0.880000,48.230000,24.120000,2.890000,0.000000,1.930000,0.880000,96.460000,0.000000,13.950000,0.000000,11.720000,241.150000,0.480000,0.000000,4.820000,10.410000,24.120000,26.300000,0.960000,12.700000,0.000000,90.670000,0.360000,1.590000,32.000000,48.230000,12.060000,0.000000,84.090000,6.750000,36.170000,27.970000,0.610000,66.740000,48.230000,26.300000,0.000000,0.000000,0.970000,0.000000,0,0.000000,67.520000,0.520000,164.220000,26.300000,24.120000,48.230000,1640.81

21,05:00-05:15,0.000000,96.460000,24.120000,8.770000,0.000000,21.220000,0.000000,0.680000,72.340000,0.000000,0.530000,48.230000,24.040000,8.770000,0.000000,0.000000,0.880000,48.230000,24.120000,2.890000,0.000000,1.930000,0.880000,96.460000,0.000000,13.950000,0.000000,11.720000,241.150000,0.480000,0.000000,4.820000,10.410000,24.120000,26.300000,0.960000,12.620000,0.000000,90.670000,0.360000,1.590000,32.000000,48.230000,12.060000,0.000000,84.090000,6.750000,36.170000,27.970000,0.610000,66.740000,48.230000,26.300000,0.000000,0.000000,0.970000,0.000000,0,0.000000,24.120000,0.520000,164.220000,26.300000,24.120000,48.230000,1597.33

22,05:15-05:30,0.000000,96.460000,24.120000,8.770000,0.000000,21.220000,0.000000,0.680000,72.340000,0.000000,0.530000,48.230000,24.040000,8.770000,0.000000,0.000000,0.880000,48.230000,24.120000,2.890000,0.000000,1.930000,0.880000,96.460000,0.000000,13.950000,0.000000,11.720000,241.150000,0.480000,0.000000,4.820000,10.410000,24.120000,26.300000,0.960000,12.620000,0.000000,90.670000,0.360000,1.590000,32.000000,48.230000,12.060000,0.000000,84.090000,6.750000,36.170000,27.970000,0.610000,66.740000,48.230000,26.300000,0.000000,0.000000,0.970000,0.000000,0,0.000000,24.120000,0.520000,164.220000,26.300000,24.120000,48.230000,1597.33

23,05:30-05:45,0.000000,96.460000,24.120000,8.770000,0.000000,21.220000,0.000000,0.680000,72.340000,0.000000,0.530000,48.230000,24.040000,8.770000,0.000000,0.000000,0.880000,48.230000,24.120000,2.890000,0.000000,1.930000,0.880000,96.460000,0.000000,13.950000,0.000000,11.720000,241.150000,0.480000,0.000000,4.820000,10.410000,24.120000,26.300000,0.960000,12.620000,0.000000,90.670000,0.360000,1.590000,32.000000,48.230000,12.060000,0.000000,84.090000,6.750000,36.170000,27.970000,0.610000,66.740000,48.230000,26.300000,0.000000,0.000000,0.970000,0.000000,0,0.000000,24.120000,0.520000,164.220000,26.300000,24.120000,48.230000,1597.33

24,05:45-06:00,0.000000,96.460000,24.120000,8.770000,0.000000,21.220000,0.000000,0.680000,72.340000,0.000000,0.530000,48.230000,24.040000,8.770000,0.000000,0.000000,0.880000,48.230000,24.120000,2.890000,0.000000,1.930000,0.880000,96.460000,0.000000,13.950000,0.000000,11.720000,241.150000,0.480000,0.000000,4.820000,10.410000,24.120000,26.300000,0.960000,12.620000,0.000000,90.670000,0.360000,1.590000,32.000000,48.230000,12.060000,0.000000,84.090000,6.750000,36.170000,27.970000,0.610000,66.740000,48.230000,26.300000,0.000000,0.000000,0.970000,0.000000,0,0.000000,24.120000,0.520000,164.220000,26.300000,24.120000,48.230000,1597.33

25,06:00-06:15,0.000000,96.460000,24.120000,8.770000,0.000000,21.220000,0.000000,0.680000,72.340000,0.000000,0.680000,48.230000,24.040000,8.770000,0.000000,0.000000,0.880000,48.230000,24.120000,2.890000,0.000000,1.930000,0.880000,96.460000,0.000000,13.950000,0.000000,11.720000,241.150000,0.480000,0.000000,4.820000,10.410000,24.120000,26.300000,0.960000,12.340000,0.000000,90.670000,0.360000,1.590000,32.000000,48.230000,0.000000,0.000000,84.090000,6.750000,0.000000,27.970000,0.610000,66.740000,48.230000,26.300000,0.000000,0.000000,0.970000,0.000000,0,0.000000,24.120000,0.520000,164.220000,26.300000,24.120000,48.230000,1548.97

26,06:15-06:30,0.000000,96.460000,24.120000,8.770000,0.000000,21.220000,0.000000,0.680000,72.340000,0.000000,0.680000,48.230000,24.040000,8.770000,0.000000,0.000000,0.880000,48.230000,24.120000,2.890000,0.000000,1.930000,0.880000,96.460000,0.000000,13.950000,0.000000,11.720000,241.150000,0.480000,0.000000,4.820000,10.410000,24.120000,26.300000,0.960000,12.340000,0.000000,90.670000,0.360000,1.590000,32.000000,48.230000,0.000000,0.000000,84.090000,6.750000,0.000000,27.970000,0.610000,66.740000,48.230000,26.300000,0.000000,0.000000,0.970000,0.000000,0,0.000000,24.120000,0.520000,164.220000,26.300000,24.120000,48.230000,1548.97

27,06:30-06:45,0.000000,96.460000,24.120000,8.770000,0.000000,21.220000,0.000000,0.680000,72.340000,0.000000,0.680000,48.230000,24.040000,8.770000,0.000000,0.000000,0.880000,48.230000,24.120000,2.890000,0.000000,1.930000,0.880000,96.460000,0.000000,13.950000,0.000000,11.720000,241.150000,0.480000,0.000000,4.820000,10.410000,24.120000,26.300000,1.930000,12.340000,0.000000,90.670000,0.360000,1.590000,32.000000,48.230000,0.000000,0.000000,84.090000,6.750000,0.000000,27.970000,0.610000,66.740000,48.230000,26.300000,0.000000,0.000000,0.970000,0.000000,0.19,0.000000,24.120000,0.520000,164.220000,26.300000,24.120000,48.230000,1550.13

