Column1,Time,GNA/NR/2024/12/01/1475,GNA/NR/2024/12/01/7739,GNA/NR/2024/12/01/2197,NR/01082024/19092033/Chanju/TPDDL/01082024,NR/01102023/30042040/GNA_LT_35,NR/01102023/22052037/LT-59,NR/01102023/06022042/L_NR_2012_07,NR/01102023/19072037/LT-05,GNA/WR/2024/11/01/4200,NR/30092023/31122025/SH-07,GNA/NR/2024/12/01/3428,GNA/WR/2024/10/15/7089,NR/01102023/31052040/LT-31,GNA/SR/2024/12/01/6968,GNA/NR/2024/12/01/1766,GNA/NR/2024/12/01/1899,NR/01102023/30042040/GNA_LT_36,NR/01102023/31102037/L_NR_2019_11,NR/01102023/27052033/DIAPL(L_NR_2023_04),NR/01042024/23072042/NR/01102023/23072042/L_NR_2012_04,GNA/NR/2024/12/01/1599,NR/30092023/26122029/SH-06,NR/01102023/15082037/GNA_NR_2012_01,NR/01102023/05012040/L_NR_2020_02,NR/01102023/06022042/L_NR_2012_02,SR/01102023/07102043/L_NR_2018_61,NR/26072023/31072042/L_NR_2023_07,NR/01102023/13082046/L_NR_2021_12,NR/01102023/08032047/L_NR_2021_14,NR/26072023/25122043/L_NR_2023_10,WR/01102023/29112042/L_NR_2019_05,NR/01102023/25072045/L_NR_2021_15,NR/01102023/02122045/L_NR_2021_13,NR/22102023/11042047/L_NR_2021_16,WR/01102023/31032046/L_NR_2020_05,WR/01102023/01102023/L_NR_2020_06,WR/01102023/29112042/RUMS(L_NR_2019_07),NR/22102023/11042047/L_NR_2021_17,WR/01102023/01102023/L_NR_2022_09,WR/01102023/30052048/L_NR_2022_10,WR/01102023/24112044/L_NR_2020_07,L_NR_2019_19,WR/01102023/16072048/L_NR_2022_08,WR/01102023/29112042/RUMS(L_NR_2019_06)
1,00:00-00:15,25.9,31.71,25.9,1.92,0,0.73,65.83,34.98,0,32,8.63,0,0,75,25.9,8.63,0,1.22,25.23,74.6,95.13,0,0,1.61,114.9,8,0,0,0,0,0,0,0,0,22.01,7.33,0,0,14.33,14.34,7.33,0,6.67,0

2,00:15-00:30,25.9,31.71,25.9,1.92,0,0.73,65.83,34.98,0,32,8.63,0,0,75,25.9,8.63,0,1.22,25.23,74.6,95.13,0,0,1.61,114.9,8,0,0,0,0,0,0,0,0,22.01,7.33,0,0,14.33,14.34,7.33,0,6.67,0

3,00:30-00:45,25.9,31.71,25.9,1.92,0,0.73,65.83,34.98,0,32,8.63,0,0,75,25.9,8.63,0,1.22,25.23,74.6,95.13,0,0,1.61,114.9,7.6,0,0,0,0,0,0,0,0,22.01,7.33,0,0,14.33,14.34,7.33,0,6.67,0

4,00:45-01:00,25.9,31.71,25.9,1.92,0,0.73,65.83,34.98,0,32,8.63,0,0,75,25.9,8.63,0,1.22,26.24,74.6,95.13,0,0,1.61,114.9,7.6,0,0,0,0,0,0,0,0,22.01,7.33,0,0,14.33,14.34,7.33,0,6.67,0

5,01:00-01:15,25.9,31.71,25.9,1.92,0,0.93,76.29,34.98,0,32,8.63,0,0,75,25.9,8.63,0,1.14,26.24,74.6,95.13,0,0,1.61,114.9,7.2,0,0,0,0,0,0,0,0,22.01,7.33,0,0,14.33,14.34,7.33,0,6.67,0

6,01:15-01:30,25.9,31.71,25.9,1.92,0,0.93,76.29,34.98,0,32,8.63,0,0,75,25.9,8.63,0,1.14,26.24,74.6,95.13,0,0,1.61,114.9,7.2,0,0,0,0,0,0,0,0,22.01,7.33,0,0,14.33,14.34,7.33,0,6.67,0

