Time,Block,NR/30092023/26122029/SH-06,NR/2024/21243/A/26468,NR/2024/21099/A/26457,NR/2024/20877/A/26767,NR/2024/21142/A/26455,NR/30092023/31122025/SH-07,NR/01072024/31072024/NDMC/D-55/EE(POWER)2024,NR/2024/21153/A/26498,NR/2024/21159/A/26492,NR/2024/21199/A/26475,NR/2024/21183/A/26793,NR/2024/21148/A/26493,NR/2024/21173/A/26516,NR/2024/21210/A/26454,NR/01072024/31072024/APPCPL/180/F25/TGNA/3250,NR/01072024/31072024/	NR/01072024/31072024/TataPower-DDL/PMG/MSEDCL/Banking/12112023,NR/2024/21473/C,NR/2024/21156/A/26501,NR/2024/19779/A/26428,NR/2024/21472/C,NR/2024/21103/A/26729,NR/01072024/31072024/NDMC/D-54/EE(POWER)2024,NR/2024/21144/A/26521,NR/2024/21152/A/26426,NR/2024/21466/C,NR/2024/21108/A/26726,NR/2024/21072/A/26753,NR/2024/20573/A/26540,NR/2024/21089/A/26752,NR/01102023/25122043/GNA_MEJA_DELHI,NR/2024/21493/C,NR/2024/21062/A/26547,NR/2024/21113/A/26751,NR/2024/21158/A/26505,NR/2024/21087/A/26517,NR/01072024/31072024/IIPL/JPL(TM)-BRPL/BRPLT-169/24-25/02,NR/01102023/23072042/L_NR_2012_04,NR/2024/20711/A/26690,NR/2024/21312/A/26326,NR/2024/20966/A/26427,NR/2024/21075/A/26787,NR/2024/20574/A/26598,NR/2024/21150/A/26494,NR/2024/21104/A/26727,NR/2024/20688/A/26518,NR/2024/21238/A/26792,NR/01072024/15072024/NR/01072024/15072024/717759,NR/01072024/31072024/IIPL/JPL(SH)-BRPL/BRPL T-249/24-25/1,NR/2024/21487/C,NR/2024/21096/A/26741,NR/05072024/31072024/1000011449-JITPL-BRPL(DISCOM),NR/2024/21141/A/26456,NR/2024/21023/A/26476,NR/2024/21227/A/26728,NR/2024/21491/C,NR/2024/21339/A/26452,NR/01072024/31072024/R2,NR/2024/21076/A/26785,NR/2024/21146/A/26495,NR/2024/20930/A/26696,NR/01072024/31072024/Chanju/TPDDL/Jul01072024,NR/2024/21186/A/26764,NR/12072024/12072024/IEX_240711_01497,NR/2024/21160/A/26497,NR/01102023/14082046/L_NR_2021_16,NR/01102023/02012046/L_NR_2021_17,Total

3,00:30-00:45,32.000000,134.860000,20.470000,96.330000,40.940000,32.000000,15.520000,1.590000,0.880000,0.000000,0.000000,0.520000,20.710000,40.940000,32.750000,0.000000,24.080000,0.610000,0.630000,164.000000,83.980000,12.410000,0.480000,1.930000,240.820000,24.010000,37.210000,54.190000,37.210000,0.000000,0.000000,0.000000,37.210000,0.670000,20.710000,81.880000,0.000000,96.330000,7.710000,4.820000,11.700000,18.060000,0.880000,64.620000,66.650000,2.890000,163.760000,61.410000,0.000000,67.430000,81.880000,47.640000,0.000000,12.190000,0.000000,0.000000,20.470000,90.550000,0.360000,0.000000,14.530000,48.160000,192.660000,0.970000,0,0,2367.21

4,00:45-01:00,32.000000,134.860000,20.470000,96.330000,40.940000,32.000000,15.520000,1.590000,0.880000,0.000000,0.000000,0.520000,20.710000,40.940000,32.750000,0.000000,24.080000,0.610000,0.630000,164.000000,83.980000,12.410000,0.480000,1.930000,240.820000,24.010000,37.210000,54.190000,37.210000,0.000000,0.000000,0.000000,37.210000,0.670000,20.710000,81.880000,0.000000,96.330000,7.710000,4.820000,11.700000,18.060000,0.880000,64.620000,66.650000,2.890000,163.760000,61.410000,144.500000,67.430000,81.880000,47.640000,0.000000,12.190000,0.000000,0.000000,20.470000,90.550000,0.360000,0.000000,14.530000,48.160000,192.660000,0.970000,0,0,2511.71

5,01:00-01:15,32.000000,134.860000,20.470000,96.330000,40.940000,32.000000,15.520000,1.590000,0.880000,0.000000,0.000000,0.520000,20.710000,40.940000,32.750000,0.000000,24.080000,0.610000,0.580000,164.000000,83.980000,12.410000,0.480000,1.930000,240.820000,24.010000,37.210000,54.190000,37.210000,0.000000,0.000000,0.000000,37.210000,0.670000,20.710000,61.310000,0.000000,96.330000,7.710000,4.820000,11.700000,18.060000,0.880000,64.620000,66.650000,2.890000,163.760000,61.410000,144.500000,67.430000,81.880000,47.640000,0.000000,12.190000,0.000000,0.000000,20.470000,90.550000,0.360000,0.000000,14.530000,48.160000,96.330000,0.970000,0,0,2394.76

6,01:15-01:30,32.000000,134.860000,20.470000,96.330000,40.940000,32.000000,15.520000,1.590000,0.880000,0.000000,0.000000,0.520000,20.710000,40.940000,32.750000,0.000000,24.080000,0.610000,0.580000,164.000000,83.980000,12.410000,0.480000,1.930000,240.820000,24.010000,37.210000,54.190000,37.210000,0.000000,0.000000,0.000000,37.210000,0.670000,20.710000,61.310000,0.000000,96.330000,7.710000,4.820000,11.700000,18.060000,0.880000,64.620000,66.650000,2.890000,163.760000,61.410000,144.500000,67.430000,81.880000,47.640000,0.000000,12.190000,0.000000,0.000000,20.470000,90.550000,0.360000,0.000000,14.530000,48.160000,96.330000,0.970000,0,0,2394.76

7,01:30-01:45,32.000000,134.860000,20.470000,96.330000,40.940000,32.000000,15.520000,1.590000,0.880000,0.000000,0.000000,0.520000,20.710000,40.940000,32.750000,0.000000,24.080000,0.610000,0.580000,164.000000,83.980000,12.410000,0.480000,1.930000,240.820000,24.010000,37.210000,54.190000,37.210000,0.000000,0.000000,0.000000,37.210000,0.670000,20.710000,61.310000,0.000000,96.330000,7.710000,4.820000,11.700000,18.060000,0.880000,64.620000,66.650000,2.890000,163.760000,61.410000,144.500000,67.430000,81.880000,47.640000,0.000000,12.190000,0.000000,0.000000,20.470000,90.550000,0.360000,0.000000,14.530000,48.160000,96.330000,0.970000,0,0,2394.76

8,01:45-02:00,32.000000,134.860000,20.470000,96.330000,40.940000,32.000000,15.520000,1.590000,0.880000,0.000000,0.000000,0.520000,20.710000,40.940000,32.750000,0.000000,24.080000,0.610000,0.580000,164.000000,83.980000,12.410000,0.480000,1.930000,240.820000,24.010000,37.210000,54.190000,37.210000,0.000000,0.000000,0.000000,37.210000,0.670000,20.710000,61.310000,0.000000,96.330000,7.710000,4.820000,11.700000,18.060000,0.880000,64.620000,66.650000,2.890000,163.760000,61.410000,144.500000,67.430000,81.880000,47.640000,0.000000,12.190000,0.000000,0.000000,20.470000,90.550000,0.360000,0.000000,14.530000,48.160000,96.330000,0.970000,0,0,2394.76

9,02:00-02:15,32.000000,134.860000,20.470000,96.330000,40.940000,32.000000,15.520000,1.590000,0.880000,0.000000,0.000000,0.520000,20.710000,40.940000,32.750000,0.000000,24.080000,0.610000,0.580000,164.000000,83.980000,12.410000,0.480000,1.930000,240.820000,24.010000,37.210000,54.190000,37.210000,0.000000,0.000000,0.000000,37.210000,0.670000,20.710000,61.030000,0.000000,96.330000,7.710000,4.820000,11.700000,18.060000,0.880000,64.620000,66.650000,2.890000,163.760000,61.410000,144.500000,67.430000,81.880000,47.640000,0.000000,0.000000,0.000000,0.000000,20.470000,90.550000,0.360000,0.000000,14.530000,48.160000,0.000000,0.970000,0,0,2285.96

10,02:15-02:30,32.000000,134.860000,20.470000,96.330000,40.940000,32.000000,15.520000,1.590000,0.880000,0.000000,0.000000,0.520000,20.710000,40.940000,32.750000,0.000000,24.080000,0.610000,0.580000,164.000000,83.980000,12.410000,0.480000,1.930000,240.820000,24.010000,37.210000,54.190000,37.210000,0.000000,0.000000,0.000000,37.210000,0.670000,20.710000,61.030000,0.000000,96.330000,7.710000,4.820000,11.700000,18.060000,0.880000,64.620000,66.650000,2.890000,163.760000,61.410000,144.500000,67.430000,81.880000,47.640000,0.000000,0.000000,0.000000,0.000000,20.470000,90.550000,0.360000,0.000000,14.530000,48.160000,0.000000,0.970000,0,0,2285.96

11,02:30-02:45,32.000000,134.860000,20.470000,96.330000,40.940000,19.560000,15.520000,1.590000,0.880000,0.000000,0.000000,0.520000,20.710000,40.940000,32.750000,0.000000,24.080000,0.610000,0.580000,164.000000,83.980000,12.410000,0.480000,1.930000,240.820000,24.010000,37.210000,54.190000,37.210000,0.000000,0.000000,0.000000,37.210000,0.670000,20.710000,61.030000,0.000000,96.330000,7.710000,4.820000,11.700000,18.060000,0.880000,64.620000,66.650000,2.890000,163.760000,61.410000,144.500000,67.430000,81.880000,47.640000,0.000000,0.000000,0.000000,0.000000,20.470000,90.550000,0.360000,0.000000,14.530000,48.160000,0.000000,0.970000,0,0,2273.52

12,02:45-03:00,32.000000,134.860000,20.470000,96.330000,40.940000,19.560000,15.520000,1.590000,0.880000,0.000000,0.000000,0.520000,20.710000,40.940000,32.750000,0.000000,24.080000,0.610000,0.580000,164.000000,83.980000,12.410000,0.480000,1.930000,240.820000,24.010000,37.210000,54.190000,37.210000,0.000000,0.000000,0.000000,37.210000,0.670000,20.710000,61.030000,0.000000,96.330000,7.710000,4.820000,11.700000,18.060000,0.880000,64.620000,66.650000,2.890000,163.760000,61.410000,144.500000,67.430000,81.880000,47.640000,0.000000,0.000000,0.000000,0.000000,20.470000,90.550000,0.360000,0.000000,14.530000,48.160000,0.000000,0.970000,0,0,2273.52
