Block,Time,SINGRAULI_HYDRO,TANAKPUR,TANDA2,UNCHAHAR1,UNCHAHAR2,UNCHAHAR3,URI,URI2,RIHAND1,RIHAND3,SALAL,SEWA2,TEHRI,UNCHAHAR4,SINGRAULI,RIHAND2,DADRT2,DULHASTI,JHAJJAR,KISHANGANGA,KOTESHWR,NAPP,NJPC,RAPPB,RAPPC,CHAMERA1,CHAMERA2,KOLDAM,PARBATI3,BSIUL,CHAMERA3,DHAULIGNGA,RAMPUR,DADRI_GF,DADRI_RF,DADRI_LF,DADRI_CRF,ANTA_GF,ANTA_RF,ANTA_LF,ANTA_CRF,AURY_GF,AURY_RF,AURY_LF,AURY_CRF,NNTPP,NTPL,RSTPSU1TO6,KGSU1AND2,KGSU3AND4,KKNP,KKNPPU2,KUDGI,MAPS,NLCEXP,NLCIIST1,NLCIIST2,NLCTS2EXP,RSTPSU7,VALLURNTECL,SIMHST1,SIMHST2,TALST2,BRBCL,FSTPP I & II,TALA,KHSTPP-II,KHSTPP-I,SASAN
1,00:00-00:15,0.99476,11.7852,0,20.556,42.392196,26.39091,47.472,32.82288,92,123.665625,84.9422,15.804048,36.792,0,139.3125,118.125,703.941091,49.436556,653.1525,0,5.916,39.4092,152.9405,0,51.1407,42.66,39.51012,0,30.552,19.624,29.41554,36.5917,0,0,62.472,0,0,0,39.9,0,0,0,66.789,0,0,0,0,0,0,0,0,0,98.44,0,0,0,0,0,0,0,0,0,0,11.5395,20.73185,28.518,147.515625,31.564,418.77

2,00:15-00:30,0.99476,11.7852,0,20.556,42.392196,26.39091,47.472,32.82288,92,123.665625,84.9422,15.804048,36.792,0,139.3125,118.125,699.219549,49.436556,653.1525,0,5.916,39.4092,152.9405,0,51.1407,42.66,39.51012,0,30.552,19.624,29.41554,36.5917,0,0,62.472,0,0,0,39.9,0,0,0,66.789,0,0,0,0,0,0,0,0,0,98.44,0,0,0,0,0,0,0,0,0,0,11.5395,20.73185,28.518,147.515625,31.564,418.77

3,00:30-00:45,0.99476,11.7852,0,20.556,42.392196,26.39091,47.472,32.82288,92,123.665625,84.9422,15.804048,27.594,0,139.3125,118.125,686.779958,49.436556,653.1525,0,5.916,39.4092,152.9405,0,51.1407,42.66,39.51012,0,30.552,19.624,29.41554,36.5917,0,0,62.472,0,0,0,40.215,0,0,0,66.789,0,0,0,0,0,0,0,0,0,93.75,0,0,0,0,0,0,0,0,0,0,11.5395,20.73185,28.518,147.515625,31.564,418.77

4,00:45-01:00,0.99476,11.7852,0,20.556,42.392196,26.39091,47.472,32.82288,92,123.665625,84.9422,15.804048,27.594,0,139.3125,118.125,686.779958,49.436556,653.1525,0,5.916,39.4092,152.9405,0,51.1407,42.66,39.51012,0,30.552,19.624,29.41554,36.5917,0,0,62.472,0,0,0,40.215,0,0,0,66.789,0,0,0,0,0,0,0,0,0,93.75,0,0,0,0,0,0,0,0,0,0,11.5395,20.73185,28.518,147.515625,31.564,418.77

5,01:00-01:15,0.99476,11.7852,0,20.556,42.392196,26.39091,47.472,32.82288,92,123.665625,84.9422,15.804048,27.594,0,139.3125,118.125,686.779958,49.436556,653.1525,0,5.916,39.4092,152.9405,0,51.1407,42.66,39.51012,0,30.552,19.624,29.41554,36.5917,0,0,62.472,0,0,0,40.215,0,0,0,66.789,0,0,0,0,0,0,0,0,0,93.75,0,0,0,0,0,0,0,0,0,0,11.5395,20.73185,28.518,147.515625,31.564,416.25

