Block,Time,RAPPC,RIHAND3,RIHAND2,PARBATI3,RAMPUR,RIHAND1,UNCHAHAR1,UNCHAHAR4,SINGRAULI_HYDRO,TEHRI,URI2,UNCHAHAR3,SINGRAULI,TANDA2,UNCHAHAR2,SEWA2,DADRT2,NJPC,DULHASTI,KOLDAM,CHAMERA3,DHAULIGNGA,NAPP,KISHANGANGA,CHAMERA2,JHAJJAR,KOTESHWR,SALAL,RAPPB,TANAKPUR,URI,CHAMERA1,BSIUL,DADRI_GF,DADRI_RF,DADRI_LF,DADRI_CRF,AURY_GF,AURY_RF,AURY_LF,AURY_CRF,ANTA_GF,ANTA_RF,ANTA_LF,ANTA_CRF,RSTPSU1TO6,RSTPSU7,TALST2,SIMHST1,SIMHST2,KUDGI,TelanganaSTPP,VALLURNTECL,NLCIIST1,NLCIIST2,NLCEXP,NLCTS2EXP,NNTPP,KGSU1AND2,NTPL,MAPS,KGSU3AND4,KKNP,KKNPPU2,KHSTPP-II,KHSTPP-I,FSTPP I & II,TALA,BRBCL,SASAN
1,00:00-00:15,68.830275,130.580717,124.384996,22.886205,6.745516,97.055943,22.630299,3.094586,1.21715,41.434281,37.890519,27.638981,149.98895,5.534073,44.906625,18.800617,688.315947,179.962454,59.175403,10.235073,34.831253,43.536137,48.587094,5.560434,48.499828,315.866256,27.667514,55.776,0,10.1199,33.12,42.14808,19.5624,0,101.83845,0,0,0,0,0,80.254056,0,48.878288,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,98.86825,44.311,13.205,0,20.0018,337.5

2,00:15-00:30,68.830275,130.580717,124.384996,22.886205,6.745516,97.055943,22.630299,3.094586,1.21715,41.434281,37.890519,27.638981,149.98895,5.534073,44.906625,18.800617,688.315947,179.962454,59.175403,10.235073,34.831253,43.536137,48.587094,5.560434,48.499828,315.866256,27.667514,55.776,0,10.1199,33.12,42.14808,19.5624,0,101.83845,0,0,0,0,0,80.254056,0,48.878288,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,98.86825,44.311,13.205,0,20.0018,337.5

3,00:30-00:45,68.830275,130.580717,124.384996,22.886205,6.745516,97.055943,22.630299,3.094586,1.21715,41.434281,37.890519,27.638981,149.98895,5.534073,44.906625,18.800617,688.315947,179.962454,59.175403,10.235073,34.831253,43.536137,48.587094,5.560434,48.499828,315.866256,27.667514,55.776,0,10.1199,33.12,42.14808,19.5624,0,101.83845,0,0,0,0,0,80.254056,0,48.878288,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,98.86825,44.311,13.205,0,20.0018,337.5

4,00:45-01:00,68.830275,130.580717,124.384996,22.886205,6.745516,97.055943,22.630299,3.094586,1.21715,41.434281,37.890519,27.638981,149.98895,5.534073,44.906625,18.800617,688.315947,179.962454,59.175403,10.235073,34.831253,43.536137,48.587094,5.560434,48.499828,315.866256,27.667514,55.776,0,5.6364,33.12,42.14808,19.5624,0,101.83845,0,0,0,0,0,80.254056,0,48.878288,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,98.86825,44.311,13.205,0,20.0018,337.5

5,01:00-01:15,68.830275,130.580717,124.384996,22.886205,6.745516,97.055943,22.630299,3.094586,1.21715,41.434281,37.890519,27.638981,149.98895,5.534073,44.906625,18.800617,688.315947,179.962454,59.175403,10.235073,34.831253,43.536137,48.587094,5.560434,48.499828,315.866256,27.667514,55.776,0,5.6364,33.12,42.14808,19.5624,0,101.83845,0,0,0,0,0,81.591624,0,48.878288,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,98.86825,44.311,13.205,0,20.0018,337.5

6,01:15-01:30,68.830275,130.580717,124.384996,22.886205,6.745516,97.055943,22.630299,3.094586,1.21715,41.434281,37.890519,27.638981,149.98895,5.534073,44.906625,18.800617,688.315947,179.962454,59.175403,10.235073,34.831253,43.536137,48.587094,5.560434,48.499828,315.866256,27.667514,55.776,0,5.6364,33.12,42.14808,19.5624,0,104.554142,0,0,0,0,0,81.591624,0,48.878288,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,98.86825,44.311,13.205,0,20.0018,337.5

7,01:30-01:45,68.830275,130.580717,124.384996,22.886205,6.745516,97.055943,22.630299,3.094586,1.21715,41.434281,37.890519,27.638981,149.98895,5.534073,44.906625,18.800617,688.315947,179.962454,59.175403,10.235073,34.831253,43.536137,48.587094,5.560434,48.499828,374.566256,27.667514,55.776,0,5.6364,33.12,42.14808,19.5624,0,104.554142,0,0,0,0,0,81.591624,0,48.878288,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,98.86825,44.311,13.205,0,20.0018,337.5

