Block,Time,CHAMERA2,DADRT2,DULHASTI,CHAMERA3,DHAULIGNGA,UNCHAHAR4,URI2,NAPP,SEWA2,JHAJJAR,RIHAND2,UNCHAHAR1,KOTESHWR,PARBATI3,RAMPUR,RIHAND1,TEHRI,UNCHAHAR3,SINGRAULI_HYDRO,KOLDAM,RAPPC,NJPC,TANDA2,RIHAND3,SINGRAULI,UNCHAHAR2,KISHANGANGA,CHAMERA1,BSIUL,URI,RAPPB,TANAKPUR,SALAL,ANTA_GF,ANTA_RF,ANTA_LF,ANTA_CRF,DADRI_GF,DADRI_RF,DADRI_LF,DADRI_CRF,AURY_GF,AURY_RF,AURY_LF,AURY_CRF,SIMHST2,TALST2,TelanganaSTPP,VALLURNTECL,MAPS,NLCEXP,NLCIIST1,NLCIIST2,NLCTS2EXP,NNTPP,NTPL,RSTPSU1TO6,RSTPSU7,SIMHST1,KGSU1AND2,KGSU3AND4,KKNP,KKNPPU2,KUDGI,KHSTPP-II,KHSTPP-I,FSTPP I & II,TALA,BRBCL,SASAN
1,00:00-00:15,48.499828,688.115947,59.175403,34.831253,21.768069,3.094586,37.890519,48.849727,12.527402,422.443799,124.384996,22.630299,0,16.783217,6.745516,96.955943,0,27.638981,1.19116,9.274803,67.823003,179.962454,5.534073,130.580717,149.98895,44.906625,8.340651,42.14808,6.5208,33.12,0,2.4339,77.854,0,0,0,48.878288,0,99.122758,0,0,0,81.591624,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,147.202375,44.311,20.801072,0,20.0018,416.25

2,00:15-00:30,48.499828,688.115947,59.175403,34.831253,21.768069,3.094586,37.890519,48.849727,12.527402,422.443799,124.384996,22.630299,0,16.783217,6.745516,96.955943,0,27.638981,1.19116,9.274803,67.823003,179.962454,5.534073,130.580717,149.98895,44.906625,8.340651,42.14808,6.5208,33.12,0,2.4339,77.854,0,0,0,48.878288,0,99.122758,0,0,0,81.591624,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,147.202375,44.311,20.801072,0,20.0018,416.25

3,00:30-00:45,48.499828,688.115947,59.175403,34.831253,21.768069,3.094586,37.890519,48.849727,12.527402,422.443799,124.384996,22.630299,0,16.783217,6.745516,96.955943,0,27.638981,1.19116,9.274803,67.823003,179.962454,5.534073,130.580717,149.98895,44.906625,8.340651,42.14808,6.5208,33.12,0,2.4339,77.854,0,0,0,48.878288,0,99.122758,0,0,0,81.591624,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,147.202375,44.311,20.801072,0,20.0018,416.25

4,00:45-01:00,48.499828,688.115947,59.175403,34.831253,21.768069,3.094586,37.890519,48.849727,12.527402,422.443799,124.384996,22.630299,0,4.272091,6.745516,96.955943,0,27.638981,1.19116,9.274803,67.823003,179.962454,5.534073,130.580717,149.98895,44.906625,8.340651,42.14808,6.5208,33.12,0,2.4339,77.854,0,0,0,48.878288,0,99.122758,0,0,0,81.591624,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,147.202375,44.311,20.801072,0,20.0018,416.25

5,01:00-01:15,48.499828,688.715947,59.175403,34.831253,21.768069,3.094586,37.890519,48.849727,12.527402,422.443799,124.384996,22.630299,0,0,6.745516,96.955943,0,27.638981,1.19116,9.274803,67.823003,179.962454,5.534073,130.580717,149.98895,44.906625,8.340651,42.14808,6.5208,33.12,0,2.4339,77.854,0,0,0,48.878288,0,99.122758,0,0,0,81.591624,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,147.202375,44.311,20.801072,0,20.0018,416.25

6,01:15-01:30,48.499828,688.715947,59.175403,34.831253,21.768069,3.094586,37.890519,48.849727,12.527402,422.443799,124.384996,22.630299,0,0,6.745516,96.955943,0,27.638981,1.19116,9.274803,67.823003,179.962454,5.534073,130.580717,149.98895,44.906625,8.340651,42.14808,6.5208,33.12,0,2.4339,77.854,0,0,0,48.878288,0,99.122758,0,0,0,81.591624,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,147.202375,44.311,20.801072,0,20.0018,416.25

7,01:30-01:45,48.499828,688.715947,59.175403,34.831253,21.768069,3.094586,37.890519,48.849727,12.527402,422.443799,124.384996,22.630299,0,0,6.745516,96.955943,0,27.638981,1.19116,9.274803,67.823003,179.962454,5.534073,130.580717,149.98895,44.906625,8.340651,42.14808,6.5208,33.12,0,2.4339,77.854,0,0,0,48.878288,0,99.122758,0,0,0,81.591624,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,147.202375,44.311,20.801072,0,20.0018,416.25

8,01:45-02:00,48.499828,688.715947,59.175403,34.831253,21.768069,3.094586,37.890519,48.849727,12.527402,422.443799,124.384996,22.630299,0,0,6.745516,96.955943,0,27.638981,1.19116,9.274803,67.823003,179.962454,5.534073,130.580717,149.98895,44.906625,8.340651,42.14808,6.5208,33.12,0,2.4339,77.854,0,0,0,48.878288,0,100.480604,0,0,0,81.591624,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,147.202375,44.311,20.801072,0,20.0018,416.25

9,02:00-02:15,48.499828,688.715947,59.175403,34.831253,21.768069,3.094586,37.890519,48.849727,12.527402,422.443799,124.384996,22.630299,0,0,6.745516,96.955943,0,27.638981,1.19116,9.274803,67.823003,179.962454,5.534073,130.580717,149.98895,44.906625,8.340651,42.14808,6.5208,33.12,0,2.4339,77.854,0,0,0,50.181709,0,100.480604,0,0,0,81.591624,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,147.202375,44.311,20.801072,0,20.0018,416.25

10,02:15-02:30,48.499828,688.715947,59.175403,34.831253,21.768069,3.094586,37.890519,48.849727,10.624504,422.443799,124.384996,22.630299,0,0,6.745516,96.955943,0,27.638981,1.19116,9.274803,67.823003,179.962454,5.534073,130.580717,149.98895,44.906625,8.340651,42.14808,6.5208,33.12,0,2.4339,77.854,0,0,0,50.181709,0,100.480604,0,0,0,81.591624,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,147.202375,44.311,20.801072,0,20.0018,416.25

11,02:30-02:45,48.499828,688.715947,59.175403,34.831253,21.768069,3.094586,37.890519,48.849727,6.184413,422.443799,124.384996,22.630299,0,0,6.745516,96.955943,0,27.638981,1.19116,9.274803,67.823003,179.962454,5.534073,130.580717,149.98895,44.906625,8.340651,42.14808,6.5208,33.12,0,2.4339,77.854,0,0,0,50.181709,0,100.480604,0,0,0,81.591624,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,147.202375,44.311,20.801072,0,20.0018,416.25

12,02:45-03:00,48.499828,688.715947,59.175403,34.831253,21.768069,3.094586,37.890519,48.849727,6.184413,422.443799,124.384996,22.630299,0,0,6.745516,96.955943,0,27.638981,1.19116,9.274803,67.823003,179.962454,5.534073,130.580717,149.98895,44.906625,8.340651,42.14808,6.5208,33.12,0,2.4339,77.854,0,0,0,50.181709,0,100.480604,0,0,0,81.591624,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,147.202375,44.311,20.801072,0,20.0018,416.25

13,03:00-03:15,48.499828,688.715947,59.175403,34.831253,21.768069,3.094586,37.890519,48.849727,6.184413,482.443799,121.484996,22.630299,0,0,6.745516,94.255943,0,27.638981,1.19116,9.274803,67.823003,179.962454,5.534073,127.380717,144.58895,44.906625,8.340651,42.14808,6.5208,33.12,0,2.4339,77.854,0,0,0,50.181709,0,100.480604,0,0,0,82.394164,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,147.202375,44.311,20.801072,0,20.0018,416.25

14,03:15-03:30,48.499828,688.715947,59.175403,34.831253,21.768069,3.094586,37.890519,48.849727,6.184413,482.443799,121.484996,22.630299,0,0,6.745516,94.255943,0,27.638981,1.19116,9.274803,67.823003,179.962454,5.534073,127.380717,144.58895,44.906625,8.340651,42.14808,6.5208,33.12,0,2.4339,77.854,0,0,0,50.181709,0,100.480604,0,0,0,82.394164,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,147.202375,44.311,20.801072,0,20.0018,416.25

15,03:30-03:45,48.499828,688.715947,59.175403,34.831253,21.768069,3.094586,37.890519,48.849727,6.184413,482.443799,121.484996,22.630299,0,0,6.745516,94.255943,0,27.638981,1.19116,9.274803,67.823003,179.962454,5.534073,127.380717,144.58895,44.906625,8.340651,37.367,6.5208,33.12,0,2.4339,77.854,0,0,0,50.181709,0,100.480604,0,0,0,82.394164,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,147.202375,44.311,20.801072,0,20.0018,416.25

16,03:45-04:00,48.499828,688.715947,59.175403,34.831253,21.768069,3.094586,37.890519,48.849727,6.184413,482.443799,121.484996,22.630299,0,0,6.745516,94.255943,0,27.638981,1.19116,9.274803,67.823003,179.962454,5.534073,127.380717,144.58895,44.906625,8.340651,28.09872,6.5208,33.12,0,2.4339,77.854,0,0,0,50.181709,0,100.480604,0,0,0,82.394164,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,147.202375,44.311,20.801072,0,20.0018,416.25

17,04:00-04:15,48.499828,688.715947,59.175403,34.831253,21.768069,3.094586,37.890519,48.849727,6.184413,482.443799,121.484996,22.630299,0,0,6.745516,94.255943,0,27.638981,1.19116,9.274803,67.823003,179.962454,5.534073,127.380717,144.58895,44.906625,8.340651,28.09872,6.5208,33.12,0,2.4339,77.854,0,0,0,50.181709,0,103.196296,0,0,0,82.394164,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,147.202375,44.311,20.801072,0,20.0018,416.25

18,04:15-04:30,48.499828,688.715947,59.175403,34.831253,21.768069,3.094586,37.890519,48.849727,6.184413,482.443799,121.484996,22.630299,0,0,6.745516,94.255943,0,27.638981,1.19116,9.274803,67.823003,179.962454,5.534073,127.380717,144.58895,44.906625,8.340651,28.09872,6.5208,33.12,0,2.4339,77.854,0,0,0,50.181709,0,103.196296,0,0,0,82.394164,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,147.202375,44.311,20.801072,0,20.0018,416.25

19,04:30-04:45,48.499828,688.715947,59.175403,34.831253,21.768069,3.094586,37.890519,48.849727,6.184413,482.443799,121.484996,22.630299,0,0,6.745516,94.255943,0,27.638981,1.19116,9.274803,67.823003,179.962454,5.534073,127.380717,144.58895,44.906625,8.340651,28.09872,6.5208,33.12,0,2.4339,77.854,0,0,0,50.181709,0,103.196296,0,0,0,82.394164,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,147.202375,44.311,20.801072,0,20.0018,416.25

20,04:45-05:00,48.499828,688.715947,59.175403,34.831253,21.768069,3.094586,37.890519,48.849727,6.184413,482.443799,121.484996,22.630299,0,0,6.745516,94.255943,0,27.638981,1.19116,9.274803,67.823003,179.962454,5.534073,127.380717,144.58895,44.906625,8.340651,28.09872,6.5208,33.12,0,2.4339,77.854,0,0,0,50.181709,0,103.196296,0,0,0,82.394164,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,147.202375,44.311,20.801072,0,20.0018,416.25

21,05:00-05:15,48.499828,688.715947,59.175403,34.831253,21.768069,3.094586,37.890519,48.849727,6.184413,482.443799,121.484996,22.630299,0,0,6.745516,94.255943,0,27.638981,1.19116,6.956102,67.823003,179.962454,5.534073,127.380717,144.58895,44.906625,8.340651,28.09872,6.5208,33.12,0,2.4339,77.854,0,0,0,50.181709,0,103.196296,0,0,0,82.394164,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,147.202375,44.311,20.801072,0,20.0018,416.25

22,05:15-05:30,48.499828,688.715947,59.175403,34.831253,21.768069,3.094586,37.890519,48.849727,0,482.443799,121.484996,22.630299,0,0,6.745516,94.255943,0,27.638981,1.19116,6.956102,67.823003,179.962454,5.534073,127.380717,144.58895,44.906625,8.340651,28.09872,6.5208,33.12,0,2.4339,77.854,0,0,0,50.181709,0,103.196296,0,0,0,82.394164,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,147.202375,44.311,20.801072,0,20.0018,416.25

23,05:30-05:45,48.499828,688.715947,59.175403,34.831253,21.768069,3.094586,37.890519,48.849727,0,482.443799,121.484996,22.630299,0,0,6.745516,94.255943,0,27.638981,1.19116,6.956102,67.823003,179.962454,5.534073,127.380717,144.58895,44.906625,8.340651,28.09872,13.0416,33.12,0,2.4339,77.854,0,0,0,50.181709,0,103.196296,0,0,0,82.394164,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,148.302375,44.311,20.801072,0,20.0018,416.25

24,05:45-06:00,48.499828,688.715947,59.175403,34.831253,21.768069,3.094586,37.890519,48.849727,0,482.443799,121.484996,22.630299,0,4.272091,6.745516,94.255943,0,27.638981,1.19116,6.956102,67.823003,179.962454,5.534073,127.380717,144.58895,44.906625,8.340651,28.09872,13.0416,33.12,0,2.4339,77.854,0,0,0,50.181709,0,103.196296,0,0,0,82.394164,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,148.302375,44.311,20.801072,0,20.0018,416.25

