Time,Block,NR/2024/20560/A/24150,NR/2024/19757/A/24156,NR/2024/20109/A/24085,NR/2024/20144/A/23815,NR/2024/20516/A/23820,NR/2024/20130/A/23849,NR/2024/20597/A/24114,NR/2024/20142/A/23816,NR/2024/20777/A/24021,NR/2024/20524/A/24177,NR/2024/19637/A/23810,NR/2024/19918/A/24136,NR/2024/19355/A/24086,NR/2024/20090/A/23755,NR/2024/20598/A/24023,NR/2024/20554/A/23702,NR/2024/20041/A/24117,NR/2024/19779/A/23787,NR/2024/21020/A/24056,NR/2024/20540/A/23565,NR/2024/21147/C,NR/2024/20558/A/24151,NR/2024/20141/A/23817,NR/2024/21136/C,NR/2024/19642/A/24237,NR/2024/20552/A/23749,NR/2024/20557/A/24152,NR/2024/20572/A/24149,NR/2024/21118/C,NR/2024/20553/A/23747,NR/2024/19978/A/24137,NR/2024/19699/A/24158,NR/2024/20050/A/24115,NR/2024/19432/A/24161,NR/2024/19475/A/24099,NR/2024/20037/A/24029,NR/2024/19791/A/24138,NR/2024/19683/A/23742,NR/2024/20048/A/24116,NR/2024/20211/A/23818,NR/2024/19760/A/24034,NR/2024/19966/A/23790,NR/2024/20212/A/23819,NR/2024/20513/A/23823,NR/2024/19919/A/24135,NR/2024/21127/C,NR/2024/21120/C,NR/2024/19588/A/23860,NR/2024/19640/A/24236,NR/2024/21149/C,NR/2024/20515/A/23822,NR/2024/20599/A/24025,NR/2024/20537/A/24084,NR/2024/19988/A/24031,NR/2024/21121/C,Total
82,20:15-20:30,32.890000,48.600000,241.180000,0.880000,0.970000,0.480000,0.000000,0.520000,0.000000,19.290000,0.000000,13.510000,96.470000,1.930000,0.000000,48.240000,0.000000,0.770000,1.930000,11.580000,96.470000,32.890000,0.350000,0.000000,0.000000,28.940000,10.960000,32.890000,168.580000,48.240000,84.100000,48.240000,0.000000,24.120000,192.940000,72.350000,64.710000,1.930000,0.000000,1.590000,0.000000,0.000000,0.610000,0.680000,48.240000,0.000000,0.000000,66.750000,90.680000,96.470000,0.880000,0.000000,0.000000,96.470000,0,1829.32

83,20:30-20:45,32.890000,48.600000,241.180000,0.880000,0.970000,0.480000,0.000000,0.520000,0.000000,19.290000,0.000000,13.510000,96.470000,1.930000,0.000000,48.240000,0.000000,0.770000,1.930000,11.580000,96.470000,32.890000,0.350000,0.000000,0.000000,28.940000,10.960000,32.890000,168.580000,48.240000,84.100000,48.240000,0.000000,24.120000,192.940000,72.350000,64.710000,1.930000,0.000000,1.590000,0.000000,0.000000,0.610000,0.680000,48.240000,0.000000,0.000000,66.750000,90.680000,96.470000,0.880000,0.000000,0.000000,96.470000,0,1829.32

84,20:45-21:00,32.890000,48.600000,241.180000,0.880000,0.970000,0.480000,0.000000,0.520000,0.000000,19.290000,0.000000,13.510000,96.470000,1.930000,0.000000,48.240000,0.000000,0.770000,1.930000,11.580000,96.470000,32.890000,0.350000,0.000000,0.000000,28.940000,10.960000,32.890000,168.580000,48.240000,84.100000,48.240000,0.000000,24.120000,192.940000,72.350000,64.710000,1.930000,0.000000,1.590000,0.000000,0.000000,0.610000,0.680000,48.240000,0.000000,0.000000,66.750000,90.680000,96.470000,0.880000,0.000000,0.000000,96.470000,0,1829.32

85,21:00-21:15,32.890000,48.600000,241.180000,0.880000,0.970000,0.480000,0.000000,0.520000,0.000000,19.290000,0.000000,13.510000,96.470000,1.930000,0.000000,48.240000,0.000000,0.770000,0.000000,11.580000,96.470000,32.890000,0.350000,96.470000,0.000000,28.940000,10.960000,32.890000,168.580000,48.240000,84.100000,48.240000,0.000000,24.120000,192.940000,72.350000,64.710000,1.930000,0.000000,1.590000,0.000000,0.000000,0.610000,0.680000,48.240000,96.470000,0.000000,66.750000,90.680000,96.470000,0.880000,0.000000,0.000000,96.470000,0,2020.33

86,21:15-21:30,32.890000,48.600000,241.180000,0.880000,0.970000,0.480000,0.000000,0.520000,0.000000,19.290000,0.000000,13.510000,96.470000,1.930000,0.000000,48.240000,0.000000,0.770000,0.000000,11.580000,96.470000,32.890000,0.350000,96.470000,0.000000,28.940000,10.960000,32.890000,168.580000,48.240000,84.100000,48.240000,0.000000,24.120000,192.940000,72.350000,64.710000,1.930000,0.000000,1.590000,0.000000,0.000000,0.610000,0.680000,48.240000,96.470000,0.000000,66.750000,90.680000,96.470000,0.880000,0.000000,0.000000,96.470000,0,2020.33

87,21:30-21:45,32.890000,48.600000,241.180000,0.880000,0.970000,0.480000,0.000000,0.520000,0.000000,19.290000,0.000000,13.510000,96.470000,1.930000,0.000000,48.240000,0.000000,0.770000,0.000000,11.580000,96.470000,32.890000,0.350000,96.470000,0.000000,28.940000,10.960000,32.890000,168.580000,48.240000,84.100000,48.240000,0.000000,24.120000,192.940000,72.350000,64.710000,1.930000,0.000000,1.590000,0.000000,0.000000,0.610000,0.680000,48.240000,96.470000,0.000000,66.750000,90.680000,96.470000,0.880000,0.000000,0.000000,96.470000,0,2020.33

88,21:45-22:00,32.890000,48.600000,241.180000,0.880000,0.970000,0.480000,0.000000,0.520000,0.000000,19.290000,0.000000,13.510000,96.470000,1.930000,0.000000,48.240000,0.000000,0.770000,0.000000,11.580000,96.470000,32.890000,0.350000,96.470000,0.000000,28.940000,10.960000,32.890000,168.580000,48.240000,84.100000,48.240000,0.000000,24.120000,192.940000,72.350000,64.710000,1.930000,0.000000,1.590000,0.000000,0.000000,0.610000,0.680000,48.240000,96.470000,0.000000,66.750000,90.680000,96.470000,0.880000,0.000000,0.000000,96.470000,0,2020.33

89,22:00-22:15,32.890000,48.600000,241.180000,0.880000,0.970000,0.480000,0.000000,0.520000,0.000000,19.290000,0.000000,13.510000,96.470000,1.930000,0.000000,48.240000,0.000000,0.720000,2.890000,8.680000,96.470000,32.890000,0.350000,96.470000,0.000000,28.940000,10.960000,32.890000,168.580000,48.240000,84.100000,48.240000,108.530000,24.120000,192.940000,72.350000,64.710000,1.930000,36.180000,1.590000,0.000000,0.000000,0.610000,0.680000,48.240000,96.470000,0.000000,66.750000,90.680000,96.470000,0.880000,0.000000,0.000000,96.470000,0,2164.98

90,22:15-22:30,32.890000,48.600000,241.180000,0.880000,0.970000,0.480000,0.000000,0.520000,0.000000,19.290000,0.000000,13.510000,96.470000,1.930000,0.000000,48.240000,0.000000,0.720000,2.890000,8.680000,96.470000,32.890000,0.350000,96.470000,0.000000,28.940000,10.960000,32.890000,168.580000,48.240000,84.100000,48.240000,108.530000,24.120000,192.940000,72.350000,64.710000,1.930000,36.180000,1.590000,0.000000,0.000000,0.610000,0.680000,48.240000,96.470000,0.000000,66.750000,90.680000,96.470000,0.880000,0.000000,0.000000,96.470000,0,2164.98

91,22:30-22:45,32.890000,48.600000,241.180000,0.880000,0.970000,0.480000,0.000000,0.520000,0.000000,19.290000,0.000000,13.510000,96.470000,1.930000,0.000000,48.240000,0.000000,0.720000,2.890000,8.680000,96.470000,32.890000,0.350000,96.470000,0.000000,28.940000,10.960000,32.890000,168.580000,48.240000,84.100000,48.240000,108.530000,24.120000,192.940000,72.350000,64.710000,1.930000,36.180000,1.590000,0.000000,0.000000,0.610000,0.680000,308.700000,96.470000,0.000000,66.750000,90.680000,96.470000,0.880000,0.000000,0.000000,96.470000,0,2425.44

92,22:45-23:00,32.890000,48.600000,241.180000,0.880000,0.970000,0.480000,0.000000,0.520000,0.000000,19.290000,0.000000,13.510000,96.470000,1.930000,0.000000,48.240000,0.000000,0.720000,2.890000,8.680000,96.470000,32.890000,0.350000,96.470000,0.000000,28.940000,10.960000,32.890000,168.580000,48.240000,84.100000,48.240000,108.530000,24.120000,192.940000,72.350000,64.710000,1.930000,36.180000,1.590000,0.000000,0.000000,0.610000,0.680000,308.700000,96.470000,0.000000,66.750000,90.680000,96.470000,0.880000,0.000000,0.000000,96.470000,0,2425.44

93,23:00-23:15,32.890000,48.600000,241.180000,0.880000,0.970000,0.480000,0.000000,0.520000,0.000000,19.290000,0.000000,13.510000,96.470000,1.930000,0.000000,48.240000,0.000000,0.630000,0.960000,8.680000,96.470000,32.890000,0.350000,96.470000,0.000000,28.940000,10.960000,32.890000,168.580000,48.240000,84.100000,48.240000,108.530000,24.120000,192.940000,72.350000,64.710000,1.930000,36.180000,1.590000,0.000000,0.000000,0.610000,0.680000,308.700000,120.590000,0.000000,66.750000,90.680000,96.470000,0.880000,0.000000,0.000000,96.470000,0,2447.54

94,23:15-23:30,32.890000,48.600000,241.180000,0.880000,0.970000,0.480000,0.000000,0.520000,0.000000,19.290000,0.000000,13.510000,96.470000,1.930000,0.000000,48.240000,0.000000,0.630000,0.960000,8.680000,96.470000,32.890000,0.350000,96.470000,0.000000,28.940000,10.960000,32.890000,168.580000,48.240000,84.100000,48.240000,108.530000,24.120000,192.940000,72.350000,64.710000,1.930000,36.180000,1.590000,0.000000,0.000000,0.610000,0.680000,308.700000,120.590000,0.000000,66.750000,90.680000,96.470000,0.880000,0.000000,0.000000,96.470000,0,2447.54

95,23:30-23:45,32.890000,48.600000,241.180000,0.880000,0.970000,0.480000,0.000000,0.520000,0.000000,19.290000,0.000000,13.510000,96.470000,1.930000,0.000000,48.240000,0.000000,0.630000,0.960000,8.680000,96.470000,32.890000,0.350000,96.470000,0.000000,28.940000,10.960000,32.890000,168.580000,48.240000,84.100000,48.240000,108.530000,24.120000,192.940000,72.350000,64.710000,1.930000,36.180000,1.590000,0.000000,0.000000,0.610000,0.680000,308.700000,120.590000,0.000000,66.750000,90.680000,96.470000,0.880000,0.000000,0.000000,96.470000,0,2447.54

96,23:45-24:00,32.890000,48.600000,241.180000,0.880000,0.970000,0.480000,0.000000,0.520000,0.000000,19.290000,0.000000,13.510000,96.470000,1.930000,0.000000,48.240000,0.000000,0.630000,0.960000,8.680000,96.470000,32.890000,0.350000,96.470000,0.000000,28.940000,10.960000,32.890000,168.580000,48.240000,84.100000,48.240000,108.530000,24.120000,192.940000,72.350000,64.710000,1.930000,36.180000,1.590000,0.000000,0.000000,0.610000,0.680000,308.700000,120.590000,0.000000,66.750000,90.680000,96.470000,0.880000,0.000000,0.000000,96.470000,0,2447.54

