Block,Time,CHAMERA3,DHAULIGNGA,CHAMERA2,DADRT2,JHAJJAR,DULHASTI,UNCHAHAR3,URI2,UNCHAHAR4,KOLDAM,PARBATI3,SINGRAULI,RAMPUR,RIHAND2,TANDA2,SEWA2,UNCHAHAR2,NJPC,RIHAND1,KISHANGANGA,RAPPC,NAPP,UNCHAHAR1,KOTESHWR,SINGRAULI_HYDRO,RIHAND3,TEHRI,CHAMERA1,BSIUL,URI,TANAKPUR,SALAL,RAPPB,ANTA_GF,ANTA_RF,ANTA_LF,ANTA_CRF,AURY_GF,AURY_RF,AURY_LF,AURY_CRF,DADRI_GF,DADRI_RF,DADRI_LF,DADRI_CRF,NNTPP,NTPL,RSTPSU1TO6,KGSU1AND2,KGSU3AND4,KKNP,KKNPPU2,KUDGI,MAPS,NLCEXP,NLCIIST1,NLCIIST2,NLCTS2EXP,RSTPSU7,VALLURNTECL,SIMHST1,SIMHST2,TALST2,KHSTPP-I,KHSTPP-II,TALA,BRBCL,FSTPP I & II,SASAN
1,00:00-00:15,19.35568,36.5917,39.51012,686.779957,652.6525,49.436556,26.39091,20.178,0,0,0,139.3125,0,118.125,0,5.1987,42.392196,152.9405,92,0,51.2676,18.7968,19.985,17.748,1.05215,123.665625,45.36,14.04936,6.5208,47.472,13.3224,81.34,0,0,31.5,0,0,0,31.494,0,0,0,39.456,0,0,0,0,0,0,0,0,0,10.02,0,0,0,0,0,0,0,0,0,0,44.311,147.515625,26.46,20.0018,14.253199,415.125

2,00:15-00:30,19.35568,36.5917,39.51012,686.779957,652.6525,49.436556,26.39091,32.82288,0,0,0,139.3125,0,118.125,0,5.1987,42.392196,152.9405,92,0,51.2676,18.7968,19.985,17.748,1.05215,123.665625,45.36,14.04936,6.5208,47.472,13.3224,81.34,0,0,31.5,0,0,0,31.494,0,0,0,78.912,0,0,0,0,0,0,0,0,0,10.03,0,0,0,0,0,0,0,0,0,0,44.311,147.515625,26.46,20.0018,14.253199,415.125

3,00:30-00:45,19.35568,36.5917,39.51012,686.779957,652.6525,49.436556,26.39091,32.82288,0,0,0,139.3125,0,118.125,0,5.1987,42.392196,152.9405,92,0,51.2676,18.7968,19.985,17.748,1.05215,123.665625,45.36,14.04936,6.5208,26.496,13.3224,81.34,0,0,31.5,0,0,0,31.494,0,0,0,78.912,0,0,0,0,0,0,0,0,0,10.02,0,0,0,0,0,0,0,0,0,0,44.311,147.515625,26.46,20.0018,14.253199,415.125

4,00:45-01:00,19.35568,36.5917,39.51012,686.779957,652.6525,49.436556,26.39091,20.178,0,0,0,139.3125,0,118.125,0,5.1987,42.392196,152.9405,92,0,51.2676,18.7968,19.985,17.748,1.05215,123.665625,45.36,14.04936,6.5208,26.496,13.3224,81.34,0,0,31.5,0,0,0,31.494,0,0,0,78.912,0,0,0,0,0,0,0,0,0,10.02,0,0,0,0,0,0,0,0,0,0,44.311,147.515625,26.46,20.0018,14.253199,415.125

5,01:00-01:15,19.35568,36.5917,39.51012,686.779957,652.6525,49.436556,26.39091,20.178,0,0,0,139.3125,0,118.125,0,5.1987,42.392196,152.9405,92,0,51.2676,18.7968,19.985,17.748,1.05215,123.665625,45.36,14.04936,6.5208,22.08,13.3224,81.34,0,0,31.5,0,0,0,31.494,0,0,0,78.912,0,0,0,0,0,0,0,0,0,10.03,0,0,0,0,0,0,0,0,0,0,44.0075,147.515625,26.46,20.0018,14.253199,415.125

6,01:15-01:30,19.35568,36.5917,39.51012,686.779957,652.6525,49.436556,26.39091,20.178,0,0,0,139.3125,0,118.125,0,5.1987,42.392196,152.9405,92,0,51.2676,18.7968,19.985,17.748,1.05215,123.665625,45.36,14.04936,6.5208,22.08,13.3224,81.34,0,0,31.5,0,0,0,31.494,0,0,0,78.912,0,0,0,0,0,0,0,0,0,10.02,0,0,0,0,0,0,0,0,0,0,44.0075,147.515625,26.46,20.0018,14.253199,415.125

7,01:30-01:45,19.35568,36.5917,39.51012,686.779957,652.6525,49.436556,26.39091,20.178,0,0,0,139.3125,0,118.125,0,5.1987,42.392196,152.9405,92,0,51.2676,18.7968,19.985,19.72,1.05215,123.665625,45.36,14.04936,6.5208,22.08,13.3224,81.34,0,0,31.5,0,0,0,31.494,0,0,0,78.912,0,0,0,0,0,0,0,0,0,10.02,0,0,0,0,0,0,0,0,0,0,44.0075,147.515625,26.46,20.0018,14.253199,415.125

8,01:45-02:00,19.35568,36.5917,39.51012,686.779957,652.6525,49.436556,26.39091,20.178,0,0,0,139.3125,0,118.125,0,5.1987,42.392196,152.9405,92,0,51.2676,18.7968,19.985,19.72,1.05215,123.665625,45.36,14.04936,6.5208,22.08,13.3224,81.34,0,0,31.5,0,0,0,31.494,0,0,0,78.912,0,0,0,0,0,0,0,0,0,10.02,0,0,0,0,0,0,0,0,0,0,44.0075,147.515625,26.46,20.0018,14.253199,415.125

