Block,Time,UNCHAHAR1,SINGRAULI,TANDA2,SEWA2,UNCHAHAR4,URI2,UNCHAHAR3,TEHRI,SINGRAULI_HYDRO,UNCHAHAR2,CHAMERA3,NJPC,KOLDAM,RIHAND2,DULHASTI,CHAMERA2,NAPP,RIHAND1,KISHANGANGA,PARBATI3,RAMPUR,DADRT2,DHAULIGNGA,KOTESHWR,RAPPC,RIHAND3,JHAJJAR,TANAKPUR,URI,RAPPB,BSIUL,SALAL,CHAMERA1,AURY_GF,AURY_RF,AURY_LF,AURY_CRF,DADRI_GF,DADRI_RF,DADRI_LF,DADRI_CRF,ANTA_GF,ANTA_RF,ANTA_LF,ANTA_CRF,NNTPP,NTPL,RSTPSU1TO6,KGSU1AND2,KGSU3AND4,KKNP,KKNPPU2,KUDGI,MAPS,NLCEXP,NLCIIST1,NLCIIST2,NLCTS2EXP,RSTPSU7,VALLURNTECL,SIMHST1,SIMHST2,TALST2,BRBCL,FSTPP I & II,TALA,KHSTPP-II,KHSTPP-I,SASAN
1,00:00-00:15,19.414,139.3125,0,15.804048,0,32.41932,26.39091,55.44,0.65042,42.392196,29.41554,152.9405,0,118.125,16.4224,0,38.8752,92,0,0,0,686.779957,36.5917,23.2696,50.76,123.665625,653.1525,6.405,47.472,0,0,85.407,42.66,0,60.273,0,0,0,83.296,0,0,0,0,0,40.95,0,0,0,0,0,0,0,93.75,0,0,0,0,0,0,0,0,0,0,15.00135,14.253199,27.93,98.34375,32.171,337.5

2,00:15-00:30,19.414,139.3125,0,15.804048,0,32.41932,26.39091,41.58,0.65042,42.392196,29.41554,152.9405,0,118.125,16.4224,0,38.8752,92,0,0,0,686.779957,36.5917,23.2696,50.76,123.665625,653.1525,6.405,47.472,0,0,85.407,42.66,0,60.273,0,0,0,83.296,0,0,0,0,0,40.95,0,0,0,0,0,0,0,93.75,0,0,0,0,0,0,0,0,0,0,15.00135,14.253199,27.93,98.34375,32.171,337.5

3,00:30-00:45,19.414,139.3125,0,15.804048,0,32.41932,26.39091,41.58,0.65042,42.392196,29.41554,152.9405,0,118.125,16.4224,0,38.8752,92,0,0,0,686.779957,36.5917,23.2696,50.76,123.665625,653.1525,6.405,47.472,0,0,85.407,42.66,0,60.273,0,0,0,83.296,0,0,0,0,0,40.95,0,0,0,0,0,0,0,93.75,0,0,0,0,0,0,0,0,0,0,15.00135,14.253199,27.93,98.34375,32.171,337.5

4,00:45-01:00,19.414,139.3125,0,15.804048,0,32.41932,26.39091,41.58,0.65042,42.392196,29.41554,152.9405,0,118.125,16.4224,0,38.8752,92,0,0,0,686.779957,36.5917,23.2696,50.76,123.665625,653.1525,12.5538,47.472,0,0,85.407,42.66,0,60.273,0,0,0,83.296,0,0,0,0,0,40.95,0,0,0,0,0,0,0,93.75,0,0,0,0,0,0,0,0,0,0,15.00135,14.253199,27.93,98.34375,32.171,337.5

5,01:00-01:15,19.985,139.3125,0,15.804048,0,31.897383,26.39091,41.58,0.65042,42.392196,29.41554,152.9405,0,118.125,16.4224,0,38.8752,92,0,0,0,686.779957,36.5917,23.2696,50.76,123.665625,653.1525,12.5538,47.472,0,0,85.407,42.66,0,60.273,0,0,0,83.296,0,0,0,0,0,42,0,0,0,0,0,0,0,93.75,0,0,0,0,0,0,0,0,0,0,15.00135,14.253199,27.93,98.34375,32.171,337.5

6,01:15-01:30,19.985,139.3125,0,15.804048,0,31.897383,26.39091,55.44,0.65042,42.392196,29.41554,152.9405,0,118.125,16.4224,0,38.8752,92,0,0,0,686.779957,36.5917,23.2696,50.76,123.665625,653.1525,12.5538,47.472,0,0,85.407,42.66,0,60.273,0,0,0,83.296,0,0,0,0,0,42,0,0,0,0,0,0,0,93.75,0,0,0,0,0,0,0,0,0,0,15.00135,14.253199,27.93,98.34375,32.171,337.5

