Block,Time,CHAMERA1,CHAMERA2,BSIUL,UNCHAHAR4,URI2,SEWA2,SINGRAULI,TANAKPUR,TANDA2,TEHRI,UNCHAHAR2,UNCHAHAR3,UNCHAHAR1,SINGRAULI_HYDRO,URI,KOTESHWR,NAPP,NJPC,RAMPUR,RAPPC,RIHAND1,RIHAND2,SALAL,DADRT2,DHAULIGNGA,JHAJJAR,KISHANGANGA,DULHASTI,RAPPB,RIHAND3,CHAMERA3,PARBATI3,KOLDAM,ANTA_GF,ANTA_RF,ANTA_LF,ANTA_CRF,AURY_GF,AURY_RF,AURY_LF,AURY_CRF,DADRI_GF,DADRI_RF,DADRI_LF,DADRI_CRF,TALST2,VALLURNTECL,NTPL,NLCIIST2,NLCTS2EXP,NNTPP,KGSU1AND2,KGSU3AND4,KKNP,KKNPPU2,SIMHST2,RSTPSU1TO6,RSTPSU7,SIMHST1,KUDGI,MAPS,NLCEXP,NLCIIST1,BRBCL,FSTPP I & II,TALA,KHSTPP-II,KHSTPP-I,VSTPS I,VSTPS II,VSTPS III,VSTPS IV,VSTPS V,LARA-I,MOUDA,SIPAT I,SIPAT II,SOLAPUR,MOUDA_II,TAPS-II,SASAN,GADARWARA-I,KHARGONE-I,KSTPS I&II,KSTPS7,KAPS,GANDHAR-APM,GANDHAR-NAPM,GANDHAR-RLNG,GANDHAR-ComGas,KAWAS-APM,KAWAS-NAPM,KAWAS-RLNG,KAWAS-zLIQ,KAWAS-ComGas
6,01:15-01:30,42.14808,43.63516,13.2,1.427606,33.607053,17.179062,107.486997,5.124,2.525983,27.555228,43.545976,26.963602,22.193777,1.014488,49.128,9.031626,44.268634,61.426578,1.187226,59.301365,94.319982,120.694688,82.502,689.346318,9.915136,661.459879,2.551477,53.905351,0,126.520838,31.709734,0,2.12793,0,26.824566,13.995426,0,0,68.481795,0,0,0,87.562894,0,0,2.96,2.38,1.04,0.44,1.75,0.14,2,1.1,1.62,0,1.85,6.05,1.94,0,9.33,0.24,0.89,0.71,20.0018,14.253199,5.88,147.515625,44.311,2.373844,1.942962,1.959684,2.683688,1.327531,4.258125,1.938103,5.313701,0.935114,3.542468,3.511691,2.793398,418.77,4.2939,3.542468,2.969334,1.341844,0.819241,0,0,0.008547,0.014864,0,0,0.010387,0,0.010227

7,01:30-01:45,42.14808,43.63516,13.2,1.427606,33.607053,17.179062,107.486997,5.124,2.525983,27.555228,43.545976,26.963602,22.193777,1.014488,52.992,9.031626,44.268634,61.426578,1.187226,59.301365,94.319982,120.694688,82.502,689.346318,9.915136,661.459879,2.551477,53.905351,0,126.520838,31.709734,0,1.063965,0,26.824566,13.995426,0,0,68.481795,0,0,0,87.562894,0,0,2.96,2.38,1.04,0.45,1.75,0.14,2,1.1,1.62,0,1.85,6.05,1.94,0,9.33,0.24,0.89,0.8,20.0018,14.253199,5.88,147.515625,44.311,2.373844,1.942962,1.959684,2.683688,1.327531,4.258125,1.938103,5.313701,0.935114,3.542468,3.511691,2.793398,418.77,4.2939,3.542468,2.969334,1.341844,0.819241,0,0,0.008547,0.014864,0,0,0.010387,0,0.010227

8,01:45-02:00,42.14808,43.63516,13.2,1.427606,33.607053,17.179062,107.486997,5.124,2.525983,27.555228,43.545976,26.963602,22.193777,1.014488,52.992,9.031626,44.268634,61.426578,1.187226,59.301365,94.319982,120.694688,82.502,689.346318,9.915136,661.459879,2.551477,53.905351,0,126.520838,31.709734,0,0,0,26.824566,13.995426,0,0,68.481795,0,0,0,87.562894,0,0,2.96,2.38,1.04,0.46,1.75,0.14,2,1.1,1.62,0,1.85,6.05,1.94,0,9.33,0.24,0.89,0.9,20.0018,14.253199,5.88,147.515625,44.311,2.373844,1.942962,1.959684,2.683688,1.327531,4.258125,1.938103,5.313701,0.935114,3.542468,3.511691,2.793398,418.77,4.2939,3.542468,2.969334,1.341844,0.819241,0,0,0.008547,0.014864,0,0,0.010387,0,0.010227

9,02:00-02:15,42.14808,43.63516,13.2,1.427606,35.360464,17.179062,107.486997,5.124,2.525983,27.555228,43.545976,26.963602,22.193777,1.014488,49.128,9.031626,44.268634,61.426578,1.187226,59.301365,94.319982,120.694688,82.502,689.346318,9.915136,661.459879,2.551477,53.905351,0,126.520838,31.709734,0,0,0,26.824566,13.995426,0,0,68.481795,0,0,0,87.562894,0,0,2.96,2.38,1.04,0.46,1.75,0.14,2,1.1,1.62,0,1.85,6.05,1.94,0,9.33,0.24,0.89,0.9,20.0018,14.253199,5.88,147.515625,46.39908,2.373844,1.942962,1.959684,2.683688,1.327531,4.258125,1.938103,5.313701,0.935114,3.542468,3.511691,2.793398,418.77,4.2939,3.542468,2.969334,1.341844,0.819241,0,0,0.008732,0.014864,0,0,0.010387,0,0.010227

10,02:15-02:30,42.14808,43.63516,13.2,1.427606,35.360464,17.179062,107.486997,5.124,2.525983,27.555228,43.545976,26.963602,22.193777,1.014488,49.128,9.031626,44.268634,61.426578,1.187226,59.301365,94.319982,120.694688,82.502,689.346318,9.915136,661.459879,2.551477,53.905351,0,126.520838,31.709734,0,0,0,26.824566,13.995426,0,0,68.481795,0,0,0,87.562894,0,0,2.96,2.38,1.04,0.46,1.75,0.14,2,1.1,1.62,0,1.85,6.05,1.94,0,9.33,0.24,0.89,0.9,20.0018,14.253199,5.88,147.515625,46.39908,2.373844,1.942962,1.959684,2.683688,1.327531,4.258125,1.938103,5.313701,0.935114,3.542468,3.511691,2.793398,418.77,4.2939,3.542468,2.969334,1.341844,0.819241,0,0,0.008732,0.014864,0,0,0.010387,0,0.010227

11,02:30-02:45,42.14808,43.63516,13.1076,1.427606,33.607053,17.179062,107.486997,5.124,2.525983,27.555228,43.545976,26.963602,22.193777,1.014488,49.128,9.031626,44.268634,61.426578,1.187226,59.301365,94.319982,120.694688,82.502,689.346318,9.915136,661.459879,2.551477,53.905351,0,126.520838,31.709734,0,0,0,26.824566,13.995426,0,0,68.481795,0,0,0,87.562894,0,0,2.96,2.38,1.04,0.46,1.75,0.14,2,1.1,1.62,0,1.85,6.05,1.94,0,9.33,0.24,0.89,0.9,20.0018,14.253199,5.88,147.515625,46.39908,2.373844,1.942962,1.959684,2.683688,1.327531,4.258125,1.938103,5.313701,0.935114,3.542468,3.511691,2.793398,418.77,4.2939,3.542468,2.969334,1.341844,0.819241,0,0,0.008732,0.014864,0,0,0.010387,0,0.010227

12,02:45-03:00,42.14808,43.63516,13.1076,1.427606,33.607053,17.179062,107.486997,5.124,2.525983,27.555228,43.545976,26.963602,22.193777,1.014488,49.128,9.031626,44.268634,61.426578,1.187226,59.301365,94.319982,120.694688,82.502,689.346318,9.915136,661.459879,2.551477,53.905351,0,126.520838,31.709734,0,0,0,26.824566,13.995426,0,0,68.481795,0,0,0,87.562894,0,0,2.96,2.38,1.04,0.46,1.75,0.14,2,1.1,1.62,0,1.85,6.05,1.94,0,9.33,0.24,0.89,0.9,20.0018,14.253199,5.88,147.515625,46.39908,2.373844,1.942962,1.959684,2.683688,1.327531,4.258125,1.938103,5.313701,0.935114,3.542468,3.511691,2.793398,418.77,4.2939,3.542468,2.969334,1.341844,0.819241,0,0,0.008732,0.014864,0,0,0.010387,0,0.010227

13,03:00-03:15,42.14808,43.63516,13.1076,1.427606,33.607053,17.179062,107.486997,5.124,2.525983,27.555228,43.545976,26.963602,22.193777,1.014488,49.128,9.031626,44.268634,61.426578,1.187226,59.301365,94.319982,120.694688,79.3646,689.346318,9.915136,661.459879,2.551477,53.905351,0,126.520838,31.709734,0,0,0,26.824566,13.995426,0,0,68.481795,0,0,0,87.562894,0,0,3.03,2.38,1.04,0.46,1.75,0.14,2,1.1,1.62,0,1.85,6.05,1.94,0,9.33,0.24,0.89,0.9,20.0018,14.253199,5.88,147.515625,46.39908,2.373844,1.942962,1.959684,2.683688,1.327531,4.258125,1.938103,5.313701,0.935114,3.542468,3.511691,2.793398,418.77,4.2939,3.542468,2.969334,1.341844,0.819241,0,0,0.008919,0.014864,0,0,0.010387,0,0.010227

14,03:15-03:30,42.14808,43.63516,13.1076,1.427606,33.607053,17.179062,107.486997,5.124,2.525983,27.555228,43.545976,26.963602,22.193777,1.014488,49.128,9.031626,44.268634,61.426578,1.187226,59.301365,94.319982,120.694688,79.3646,689.346318,9.915136,661.459879,2.551477,53.905351,0,126.520838,31.709734,0,0,0,26.824566,13.995426,0,0,68.481795,0,0,0,87.562894,0,0,3.03,2.38,1.04,0.46,1.75,0.14,2,1.1,1.62,0,1.85,6.05,1.94,0,9.33,0.24,0.89,0.9,20.0018,14.253199,5.88,147.515625,46.39908,2.373844,1.942962,1.959684,2.683688,1.327531,4.258125,1.938103,5.313701,0.935114,3.542468,3.511691,2.793398,418.77,4.2939,3.542468,2.969334,1.341844,0.819241,0,0,0.008919,0.014864,0,0,0.010387,0,0.010227

15,03:30-03:45,42.14808,43.63516,0,1.427606,33.607053,17.179062,107.486997,5.124,2.525983,27.555228,43.545976,26.963602,22.193777,1.014488,49.128,9.031626,44.268634,61.426578,1.187226,59.301365,94.319982,120.694688,79.3646,689.346318,9.915136,661.459879,2.551477,53.905351,0,126.520838,31.709734,0,0,0,26.824566,16.327997,0,0,68.481795,0,0,0,87.562894,0,0,3.03,2.38,1.04,0.46,1.75,0.14,2,1.1,1.62,0,1.85,6.05,1.94,0,9.33,0.24,0.89,0.9,20.0018,14.253199,5.88,147.515625,46.39908,2.373844,1.942962,1.959684,2.683688,1.327531,4.258125,1.938103,5.313701,0.935114,3.542468,3.511691,2.793398,418.77,4.2939,3.542468,2.969334,1.341844,0.819241,0,0,0.009104,0.014864,0,0,0.010387,0,0.010227

