Column1,Time,L_NR_2019_19,NR/01102023/13082046/L_NR_2021_12,NR/01102023/08032047/L_NR_2021_14,NR/26072023/31072042/L_NR_2023_07,NR/26072023/25122043/L_NR_2023_10,NR/01102023/25072045/L_NR_2021_15,NR/01102023/02122045/L_NR_2021_13,NR/22102023/11042047/L_NR_2021_17,GNARE/NR/2024/12/20/3668,NR/22102023/11042047/L_NR_2021_16,WR/01102023/01102023/L_NR_2020_06,WR/01102023/01102023/L_NR_2022_09,WR/01102023/24112044/L_NR_2020_07,WR/01102023/16072048/L_NR_2022_08,WR/01102023/31032046/L_NR_2020_05,SR/01102023/07102043/L_NR_2018_61,WR/01102023/29112042/L_NR_2019_05,WR/01102023/29112042/RUMS(L_NR_2019_07),WR/01102023/29112042/RUMS(L_NR_2019_06),WR/01102023/30052048/L_NR_2022_10,GNA/NR/2025/01/01/8738,GNA/NR/2025/01/01/6528,GNA/WR/2025/01/01/8625,NR/01082024/19092033/Chanju/TPDDL/01082024,GNA/NR/2025/01/01/7459,NR/01102023/06022042/L_NR_2012_02,NR/01102023/06022042/L_NR_2012_07,NR/01102023/31102037/L_NR_2019_11,NR/30092023/31122025/SH-07,NR/30092023/26122029/SH-06,NR/01102023/22052037/LT-59,GNA/NR/2025/01/01/3514,GNA/WR/2025/01/01/9606,GNA/NR/2025/01/02/1250,GNA/NR/2025/01/01/3925,GNA/NR/2025/01/01/5531,NR/01102023/31052040/LT-31,GNA/NR/2025/01/01/6775,GNA/NR/2025/01/01/3733,NR/01042024/23072042/NR/01102023/23072042/L_NR_2012_04,NR/01102023/30042040/GNA_LT_36,GNA/NR/2025/01/01/3945,NR/01102023/15082037/GNA_NR_2012_01,GNA/NR/2025/01/01/8058,NR/01102023/05012040/L_NR_2020_02,GNA/WR/2024/11/01/4200,NR/01102023/27052033/DIAPL(L_NR_2023_04),NR/01102023/19072037/LT-05,NR/01102023/30042040/GNA_LT_35
1,00:00-00:15,0,0,0,0,0,0,0,0,0,0,7.34,14.67,7.33,6.66,22,20.01,0,0,0,14.67,48.04,8.65,0,1.74,25.94,65.33,59.41,1.22,0,0,0,19.22,0,48.04,48.04,28.82,0,25.94,20.18,115.3,0,25.94,52.84,26.9,1.57,0,0,70.07,0

2,00:15-00:30,0,0,0,0,0,0,0,0,0,0,7.34,14.67,7.33,6.66,22,19.81,0,0,0,14.67,48.04,8.65,0,1.74,25.94,65.33,59.41,1.22,0,0,0,19.22,0,48.04,48.04,28.82,0,25.94,20.18,96.08,0,25.94,52.84,26.9,1.57,0,0,70.07,0

3,00:30-00:45,0,0,0,0,0,0,0,0,0,0,7.34,14.33,7.33,6.66,22,19.61,0,0,0,14.33,48.04,8.65,0,1.74,25.94,65.33,59.41,1.22,0,0,0,19.22,0,48.04,48.04,28.82,0,25.94,20.18,74.71,0,25.94,52.84,26.9,1.57,0,0,70.07,0

4,00:45-01:00,0,0,0,0,0,0,0,0,0,0,7.34,14.33,7.33,6.66,22,19.41,0,0,0,14.33,48.04,8.65,0,1.74,25.94,65.33,59.41,1.22,0,0,0,19.22,0,48.04,48.04,28.82,0,25.94,20.18,74.71,0,25.94,52.84,26.9,1.57,0,0,70.07,0

5,01:00-01:15,0,0,0,0,0,0,0,0,0,0,7.34,14.33,7.33,6.66,22,22.01,0,0,0,14.33,48.04,8.65,0,1.74,25.94,65.33,59.41,1.14,0,0,0,19.22,0,48.04,48.04,28.82,0,25.94,20.18,74.71,0,25.94,52.84,26.9,1.57,0,0,70.07,0

6,01:15-01:30,0,0,0,0,0,0,0,0,0,0,7.34,14.33,7.33,6.66,22,21.81,0,0,0,14.33,48.04,8.65,0,1.74,25.94,65.33,59.41,1.14,0,0,0,19.22,0,48.04,48.04,28.82,0,25.94,20.18,74.71,0,25.94,52.84,26.9,1.57,0,0,70.07,0

7,01:30-01:45,0,0,0,0,0,0,0,0,0,0,7.34,23.33,7.33,6.66,22,21.61,0,0,0,23.34,48.04,8.65,0,1.74,25.94,65.33,59.41,1.14,0,0,0,19.22,0,48.04,48.04,28.82,0,25.94,20.18,74.71,0,25.94,52.84,26.9,1.57,0,0,70.07,0

8,01:45-02:00,0,0,0,0,0,0,0,0,0,0,7.34,22.67,7.33,6.66,22,21.41,0,0,0,22.66,48.04,8.65,0,1.74,25.94,65.33,59.41,1.14,0,0,0,19.22,0,48.04,48.04,28.82,0,25.94,20.18,74.71,0,25.94,52.84,26.9,1.57,0,0,70.07,0

9,02:00-02:15,0,0,0,0,0,0,0,0,0,0,7.34,22.67,7.33,6.66,22,17,0,0,0,22.66,48.04,8.65,0,1.74,25.94,65.33,59.41,1.14,0,0,0,19.22,0,48.04,48.04,28.82,0,25.94,20.18,74.71,0,25.94,52.84,26.9,1.57,0,0,70.07,0

10,02:15-02:30,0,0,0,0,0,0,0,0,0,0,7.34,21,7.33,6.66,22,16.8,0,0,0,21,48.04,8.65,0,1.74,25.94,65.33,59.41,1.14,0,0,0,19.22,0,48.04,48.04,28.82,0,25.94,20.18,74.71,0,25.94,52.84,26.9,1.57,0,0,70.07,0

11,02:30-02:45,0,0,0,0,0,0,0,0,0,0,7.34,20,7.33,6.66,22,16.8,0,0,0,20,48.04,8.65,0,1.74,25.94,65.33,59.41,1.14,0,0,0,19.22,0,48.04,48.04,28.82,0,25.94,20.18,74.71,0,25.94,52.84,26.9,1.57,0,0,70.07,0

12,02:45-03:00,0,0,0,0,0,0,0,0,0,0,7.34,19.33,7.33,6.66,22,16.8,0,0,0,19.34,48.04,8.65,0,1.74,25.94,65.33,59.41,1.14,0,0,0,19.22,0,48.04,48.04,28.82,0,25.94,20.18,74.71,0,25.94,52.84,26.9,1.57,0,0,70.07,0

13,03:00-03:15,0,0,0,0,0,0,0,0,0,0,10,19,10,6.66,30,16.8,0,0,0,19,48.04,8.65,0,1.65,25.94,65.33,59.41,1.14,0,0,0,19.22,0,48.04,48.04,28.82,0,25.94,20.18,74.71,0,25.94,52.84,26.9,1.53,0,0,70.07,0

14,03:15-03:30,0,0,0,0,0,0,0,0,0,0,9.83,18.67,9.83,6.66,29.51,17,0,0,0,18.66,48.04,8.65,0,1.65,25.94,65.33,59.41,1.14,0,0,0,19.22,0,48.04,48.04,28.82,0,25.94,20.18,74.71,0,25.94,52.84,26.9,1.53,0,0,70.07,0

15,03:30-03:45,0,0,0,0,0,0,0,0,0,0,11.33,19,11.33,6.66,34.01,17.41,0,0,0,19,48.04,8.65,0,1.65,25.94,65.33,59.41,1.14,0,0,0,19.22,0,48.04,48.04,28.82,0,25.94,20.18,74.71,0,25.94,52.84,26.9,1.53,0,0,70.07,0

16,03:45-04:00,0,0,0,0,0,0,0,0,0,0,11.17,19,11.17,6.66,33.49,17.21,0,0,0,19,48.04,8.65,0,1.65,25.94,65.33,59.41,1.14,0,0,0,19.22,0,48.04,48.04,28.82,0,25.94,20.18,74.71,0,25.94,52.84,26.9,1.53,0,0,70.07,0

17,04:00-04:15,0,0,0,0,0,0,0,0,0,0,11,19.33,11,6.66,33,13.01,0,0,0,19.34,48.04,8.65,0,1.74,25.94,65.33,59.41,1.14,0,0,0,19.22,0,48.04,48.04,28.82,0,25.94,20.18,74.71,0,25.94,52.84,26.9,1.53,0,0,70.07,0

18,04:15-04:30,0,0,0,0,0,0,0,0,0,0,10.83,19.33,10.83,6.66,32.51,13.01,0,0,0,19.34,48.04,8.65,0,1.74,25.94,65.33,59.41,1.14,0,0,0,19.22,0,48.04,48.04,28.82,0,25.94,20.18,74.71,0,25.94,52.84,26.9,1.53,0,0,70.07,0

19,04:30-04:45,0,0,0,0,0,0,0,0,0,0,10.67,19.33,10.67,6.66,31.99,13.01,0,0,0,19.34,48.04,8.65,0,1.74,25.94,65.33,59.41,1.14,0,0,0,19.22,0,48.04,48.04,28.82,0,25.94,20.18,74.71,0,25.94,52.84,26.9,1.53,0,0,70.07,0

