Column1,Time,SR/01102023/07102043/L_NR_2018_61,NR/01102023/02122045/L_NR_2021_13,NR/26072023/31072042/L_NR_2023_07,NR/26072023/25122043/L_NR_2023_10,GNARE/NR/2024/12/20/3668,NR/22102023/11042047/L_NR_2021_16,NR/01102023/13082046/L_NR_2021_12,NR/01102023/25072045/L_NR_2021_15,NR/01102023/08032047/L_NR_2021_14,NR/22102023/11042047/L_NR_2021_17,WR/01102023/29112042/RUMS(L_NR_2019_06),NR/01102023/05012040/L_NR_2020_02,GNA/NR/2024/12/01/2197,NR/01082024/19092033/Chanju/TPDDL/01082024,GNA/WR/2024/10/15/7089,NR/01042024/23072042/NR/01102023/23072042/L_NR_2012_04,GNA/NR/2024/12/01/7739,NR/01102023/22052037/LT-59,NR/01102023/31052040/LT-31,GNA/WR/2024/11/01/4200,GNA/NR/2024/12/01/3428,NR/30092023/26122029/SH-06,NR/01102023/15082037/GNA_NR_2012_01,GNA/NR/2024/12/25/2478,GNA/NR/2024/12/01/1599,NR/30092023/31122025/SH-07,NR/01102023/30042040/GNA_LT_36,NR/01102023/31102037/L_NR_2019_11,GNA/NR/2024/12/01/1766,GNA/NR/2024/12/01/1899,GNA/NR/2024/12/01/1475,NR/01102023/19072037/LT-05,NR/01102023/27052033/DIAPL(L_NR_2023_04),GNA/SR/2024/12/01/6968,NR/01102023/06022042/L_NR_2012_02,NR/01102023/30042040/GNA_LT_35,NR/01102023/06022042/L_NR_2012_07,WR/01102023/29112042/RUMS(L_NR_2019_07),WR/01102023/31032046/L_NR_2020_05,WR/01102023/01102023/L_NR_2020_06,WR/01102023/16072048/L_NR_2022_08,L_NR_2019_19,WR/01102023/30052048/L_NR_2022_10,WR/01102023/01102023/L_NR_2022_09,WR/01102023/29112042/L_NR_2019_05,WR/01102023/24112044/L_NR_2020_07
80,19:45-20:00,6,0,0,0,0,0,0,0,0,0,0,1.66,28.86,1.65,150,135.3,0,0.73,0,50,8.74,0,100.22,96.2,0,0,0,1.22,28.86,8.74,26.23,66,25.23,100,130.59,0,73.11,0,114.49,38.17,36.33,0,79,79,0,38.17

81,20:00-20:15,6,0,0,0,0,0,0,0,0,0,0,1.62,25.97,1.74,250,135.3,0,0.73,0,50,8.74,0,100.22,96.2,0,0,0,1.22,25.97,8.74,26.23,66,25.23,100,130.59,0,73.11,0,115.99,38.67,38.33,0,80,80,0,38.67

82,20:15-20:30,6,0,0,0,0,0,0,0,0,0,0,1.62,25.97,1.74,250,135.3,0,0.73,0,50,8.74,0,100.22,96.2,0,0,0,1.22,25.97,8.74,26.23,66,25.23,100,130.59,0,73.11,0,117,39,39,0,80,80,0,39

83,20:30-20:45,6,0,0,0,0,0,0,0,0,0,0,1.62,25.97,1.74,250,135.3,0,0.73,0,50,8.74,0,100.22,96.2,0,0,0,1.22,25.97,8.74,26.23,70.15,25.23,100,130.59,0,73.11,0,119.51,39.83,39.33,0,80,80,0,39.83

84,20:45-21:00,6,0,0,0,0,0,0,0,0,0,0,1.62,25.97,1.74,250,135.3,0,0.73,0,50,8.74,0,100.22,96.2,0,0,0,1.22,25.97,8.74,26.23,70.15,25.23,100,130.59,0,73.11,0,120,40,40,0,80,80,0,40

85,21:00-21:15,6,0,0,0,0,0,0,0,0,0,0,1.62,25.97,1.65,250,135.3,0,0.73,0,50,8.74,0,100.22,96.2,0,0,0,1.14,25.97,8.74,26.23,70.15,25.23,100,130.59,0,73.11,0,120,40,40.33,0,80,80,0,40

86,21:15-21:30,6,0,0,0,0,0,0,0,0,0,0,1.62,25.97,1.65,250,135.3,0,0.73,0,50,8.74,0,100.22,96.2,0,0,0,1.14,25.97,8.74,26.23,70.15,25.23,100,130.59,0,73.11,0,120,40,40.33,0,80,80,0,40

87,21:30-21:45,6,0,0,0,0,0,0,0,0,0,0,1.62,22.3,1.65,250,135.3,0,0.73,0,50,8.74,0,100.22,96.2,0,0,0,1.14,22.3,8.74,26.23,70.15,24.22,100,130.59,0,73.11,0,120,40,40.33,0,80,80,0,40

88,21:45-22:00,6,0,0,0,0,0,0,0,0,0,0,1.62,22.3,1.65,250,135.3,0,0.73,0,50,8.74,0,100.22,96.2,0,0,0,1.14,22.3,8.74,26.23,70.15,24.22,100,130.59,0,73.11,0,120,40,40.33,0,80,80,0,40

89,22:00-22:15,6,0,0,0,0,0,0,0,0,0,0,1.62,22.3,1.65,250,115.09,47.56,0.73,0,50,8.74,0,100.22,96.2,142.69,0,0,1.14,22.3,8.74,26.23,70.15,24.22,100,111.38,0,75.55,0,120,40,40.33,0,80,80,0,40

90,22:15-22:30,6,0,0,0,0,0,0,0,0,0,0,1.62,22.3,1.65,250,94.89,47.56,0.73,0,50,8.74,0,100.22,96.2,142.69,0,0,1.14,22.3,8.74,26.23,70.15,24.22,100,111.38,0,75.55,0,120,40,40.33,0,80,80,0,40

91,22:30-22:45,6,0,0,0,0,0,0,0,0,0,0,1.62,22.3,1.65,250,74.81,47.56,0.73,0,50,8.74,0,100.22,96.2,142.69,0,0,1.14,22.3,8.74,26.23,70.15,24.22,100,111.38,0,75.55,0,120,40,40.33,0,80,80,0,40

92,22:45-23:00,6,0,0,0,0,0,0,0,0,0,0,1.62,22.3,1.65,250,74.81,47.56,0.73,0,50,8.74,0,100.22,96.2,142.69,0,0,1.14,22.3,8.74,26.23,70.15,24.22,100,111.38,0,75.55,0,120,40,40.33,0,80,80,0,40

93,23:00-23:15,6,0,0,0,0,0,0,0,0,0,0,1.62,22.3,1.65,250,74.81,47.56,0.73,0,50,8.74,0,100.22,96.2,142.69,0,0,1.14,22.3,8.74,26.23,70.15,24.22,100,111.38,0,57.43,0,120,40,40.33,0,80,80,0,40

94,23:15-23:30,6,0,0,0,0,0,0,0,0,0,0,1.62,22.3,1.65,250,74.81,47.56,0.73,0,50,8.74,0,100.22,96.2,142.69,0,0,1.14,22.3,8.74,26.23,70.15,24.22,100,111.38,0,57.43,0,120,40,40.33,0,80,80,0,40

95,23:30-23:45,6,0,0,0,0,0,0,0,0,0,0,1.62,22.3,1.65,250,74.81,47.56,0.73,0,50,8.74,0,100.22,96.2,142.69,0,0,1.14,22.3,8.74,26.23,70.15,24.22,100,111.38,0,57.43,0,120,40,40.33,0,80,80,0,40

96,23:45-24:00,6,0,0,0,0,0,0,0,0,0,0,1.62,22.3,1.65,250,74.81,47.56,0.73,0,50,8.74,0,100.22,96.2,142.69,0,0,1.14,22.3,8.74,26.23,70.15,24.22,100,111.38,0,57.43,0,120,40,40.33,0,80,80,0,40

