Block,Time,CHAMERA2,DADRT2,CHAMERA3,DHAULIGNGA,URI2,UNCHAHAR2,UNCHAHAR1,UNCHAHAR4,UNCHAHAR3,SEWA2,NJPC,RIHAND1,KISHANGANGA,RAPPC,NAPP,JHAJJAR,KOTESHWR,SINGRAULI_HYDRO,DULHASTI,RIHAND3,TEHRI,KOLDAM,PARBATI3,SINGRAULI,RAMPUR,RIHAND2,TANDA2,CHAMERA1,BSIUL,URI,TANAKPUR,SALAL,RAPPB,DADRI_GF,DADRI_RF,DADRI_LF,DADRI_CRF,ANTA_GF,ANTA_RF,ANTA_LF,ANTA_CRF,AURY_GF,AURY_RF,AURY_LF,AURY_CRF,KGSU1AND2,KGSU3AND4,KKNP,KKNPPU2,NLCIIST2,NLCEXP,NLCTS2EXP,NNTPP,NTPL,MAPS,RSTPSU7,TALST2,SIMHST1,SIMHST2,KUDGI,VALLURNTECL,NLCIIST1,RSTPSU1TO6,BRBCL,FSTPP I & II,TALA,KHSTPP-II,KHSTPP-I,SASAN
1,00:00-00:15,41.864567,688.249014,30.573593,38.375382,34.579194,43.050737,21.331529,0.814833,26.717787,11.08163,160.017672,93.324175,2.184458,55.603538,41.891763,657.89409,25.742227,1.088558,51.987209,125.295291,35.301309,2.680619,48.211045,142.003256,1.766682,119.5917,1.44175,42.14808,19.6614,47.472,12.1695,79.3646,0,0,26.203021,0,57.646645,0,35.723911,0,5.58186,0,57.594335,0,11.518867,0,0,0,0,0,0,0,0,0,0,0,0,0,0,140.62,0,0,0,20.0018,20.73185,19.11,147.515625,42.49,418.77

2,00:15-00:30,41.864567,688.249014,30.573593,38.375382,34.579194,43.050737,21.331529,0.814833,26.717787,11.08163,160.017672,93.324175,2.184458,55.603538,41.891763,657.89409,25.742227,1.088558,51.987209,125.295291,35.301309,2.680619,48.211045,142.003256,1.766682,119.5917,1.44175,42.14808,19.6614,47.472,12.1695,79.3646,0,0,26.203021,0,57.646646,0,35.723911,0,5.58186,0,57.594335,0,11.518867,0,0,0,0,0,0,0,0,0,0,0,0,0,0,140.62,0,0,0,20.0018,20.73185,19.11,147.515625,42.49,418.77

3,00:30-00:45,41.864567,688.249014,30.573593,38.375382,34.579194,43.050737,21.331529,0.814833,26.717787,11.08163,160.017672,93.324175,2.184458,55.603538,41.891763,657.89409,25.742227,1.088558,51.987209,125.295291,35.301309,2.680619,48.211045,142.003256,1.766682,119.5917,1.44175,42.14808,19.6614,47.472,12.1695,79.3646,0,0,26.203021,0,57.646645,0,35.723911,0,5.58186,0,57.594335,0,11.518867,0,0,0,0,0,0,0,0,0,0,0,0,0,0,140.62,0,0,0,20.0018,20.73185,19.11,147.515625,42.49,418.77

4,00:45-01:00,41.864567,688.249014,30.573593,38.375382,34.579194,43.050737,21.331529,0.814833,26.717787,11.08163,160.017672,93.324175,2.184458,55.603538,41.891763,657.89409,25.742227,1.088558,51.987209,125.295291,35.301309,2.680619,48.211045,142.003256,1.766682,119.5917,1.44175,42.14808,19.6614,47.472,12.1695,79.3646,0,0,26.203021,0,57.646645,0,35.723911,0,5.58186,0,57.594335,0,11.518867,0,0,0,0,0,0,0,0,0,0,0,0,0,0,140.62,0,0,0,20.0018,20.73185,19.11,147.515625,42.49,418.77

5,01:00-01:15,41.864567,688.249014,30.573593,38.375382,34.579194,43.050737,21.331529,0.814833,26.717787,11.08163,160.017672,93.324175,2.184458,55.603538,41.891763,657.89409,25.742227,1.088558,51.987209,125.295291,35.301309,2.680619,33.479892,142.003256,1.766682,119.5917,1.44175,42.14808,19.6614,47.472,10.8885,79.3646,0,0,20.380127,0,63.469539,0,37.956654,0,5.58186,0,69.689145,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,140.62,0,0,0,20.0018,20.73185,19.11,147.515625,42.49,418.77

6,01:15-01:30,41.864567,688.249014,30.573593,38.375382,34.579194,43.050737,21.331529,0.814833,26.717787,11.08163,160.017672,93.324175,2.184458,55.603538,41.891763,657.89409,25.742227,1.088558,51.987209,125.295291,35.301309,2.680619,33.479892,142.003256,1.766682,119.5917,1.44175,42.14808,19.6614,47.472,10.8885,79.3646,0,0,20.380127,0,63.469539,0,37.956654,0,5.58186,0,69.689145,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,140.62,0,0,0,20.0018,20.73185,19.11,147.515625,42.49,418.77

7,01:30-01:45,41.864567,688.249014,30.573593,38.375382,34.579194,43.050737,21.331529,0.814833,26.717787,11.08163,160.017672,93.324175,2.184458,55.603538,41.891763,657.89409,25.742227,1.088558,51.987209,125.295291,35.301309,2.680619,33.479892,142.003256,1.766682,119.5917,1.44175,42.14808,19.6614,51.888,10.8885,79.3646,0,0,20.380127,0,63.469539,0,37.956654,0,5.58186,0,69.689145,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,140.62,0,0,0,20.0018,20.73185,19.11,147.515625,42.49,414

