Block,Time,URI,URI2,RIHAND2,RIHAND3,SEWA2,SINGRAULI,TANAKPUR,TEHRI,UNCHAHAR1,UNCHAHAR3,SALAL,SINGRAULI_HYDRO,UNCHAHAR2,UNCHAHAR4,TANDA2,NAPP,PARBATI3,RAMPUR,RAPPB,RIHAND1,CHAMERA1,CHAMERA2,DADRT2,DULHASTI,JHAJJAR,KISHANGANGA,KOTESHWR,KOLDAM,NJPC,RAPPC,CHAMERA3,DHAULIGNGA,BSIUL,ANTA_GF,ANTA_RF,ANTA_LF,ANTA_CRF,DADRI_GF,DADRI_RF,DADRI_LF,DADRI_CRF,AURY_GF,AURY_RF,AURY_LF,AURY_CRF,NLCTS2EXP,NNTPP,NTPL,RSTPSU1TO6,RSTPSU7,SIMHST2,TALST2,TelanganaSTPP,VALLURNTECL,SIMHST1,KGSU1AND2,KGSU3AND4,KKNP,KKNPPU2,KUDGI,MAPS,NLCEXP,NLCIIST1,NLCIIST2,FSTPP I & II,KHSTPP-I,KHSTPP-II,TALA,BRBCL,SASAN
1,00:00-00:15,36.432,37.89052,124.384996,130.580717,0,148.982313,3.7149,64.701224,10.953965,27.63898,83.664,1.212818,44.306625,3.094586,5.534085,49.637626,0,6.745515,0,97.055943,0,32.333219,548.715948,59.175403,389.943785,8.340651,29.396734,10.211652,179.962454,67.990882,34.831253,0,6.5208,0,0,0,52.136844,0,81.47076,0,0,0,61.52811,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.300737,32.171,98.86825,9.996,14.999993,348.975

2,00:15-00:30,36.432,37.89052,124.384996,130.580717,0,148.982313,3.7149,64.701224,10.953965,27.63898,83.664,1.212818,44.306625,3.094586,5.534085,49.637626,0,6.745515,0,97.055943,0,48.499829,548.715948,59.175403,389.943785,8.340651,29.396734,10.211652,179.962454,67.990882,34.831253,0,6.5208,0,0,0,52.136844,0,81.47076,0,0,0,61.52811,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.300737,32.171,98.86825,9.996,14.999993,348.975

3,00:30-00:45,36.432,37.89052,124.384996,130.580717,0,147.371693,5.6364,64.701224,10.953965,27.63898,83.664,1.212818,44.306625,3.094586,5.534085,49.637626,0,6.745515,0,97.055943,0,48.499829,548.715948,59.175403,389.943785,8.340651,29.396734,10.211652,179.962454,67.990882,34.831253,0,6.5208,0,0,0,52.136844,0,81.47076,0,0,0,61.52811,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.300737,32.171,98.86825,10.143,14.999993,348.975

4,00:45-01:00,36.432,37.89052,124.384996,130.580717,0,147.371693,10.8885,64.701224,10.953965,27.63898,83.664,1.212818,44.306625,3.094586,5.534085,49.637626,0,6.745515,0,97.055943,0,48.499829,548.715948,59.175403,389.943785,8.340651,29.396734,10.211652,179.962454,67.990882,34.831253,0,6.5208,0,0,0,52.136844,0,81.47076,0,0,0,61.52811,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.300737,32.171,98.86825,10.143,14.999993,348.975

5,01:00-01:15,36.432,37.89052,124.384996,130.580717,0,147.371693,10.8885,64.701224,10.953965,27.63898,83.664,1.212818,44.306625,3.094586,5.534085,49.637626,0,6.745515,0,97.055943,0,48.499829,548.715948,59.175403,389.943785,8.340651,29.396734,10.211652,179.962454,67.990882,34.831253,0,6.5208,0,0,0,52.136844,0,81.47076,0,0,0,62.196893,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.300737,32.171,98.86825,10.143,14.999993,348.975

6,01:15-01:30,36.432,37.89052,124.384996,130.580717,0,147.371693,10.8885,64.701224,10.953965,27.63898,83.664,1.212818,44.306625,3.094586,5.534085,49.637626,0,6.745515,0,97.055943,0,48.499829,548.715948,59.175403,422.443785,8.340651,29.396734,10.211652,179.962454,67.990882,34.831253,0,6.5208,0,0,0,52.136844,0,82.828606,0,0,0,62.196893,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.300737,32.171,98.86825,10.143,14.999993,348.975

7,01:30-01:45,36.432,37.89052,124.384996,130.580717,0,147.371693,10.8885,64.701224,10.953965,27.63898,83.664,1.212818,44.306625,3.094586,5.534085,49.637626,0,6.745515,0,97.055943,0,48.499829,548.715948,59.175403,422.443785,8.340651,29.396734,10.211652,179.962454,67.990882,34.831253,0,6.5208,0,0,0,52.136844,0,82.828606,0,0,0,62.196893,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.300737,32.171,98.86825,10.143,14.999977,348.975

8,01:45-02:00,36.432,37.89052,124.384996,130.580717,0,147.371693,10.8885,64.701224,10.953965,27.63898,83.664,1.212818,44.306625,3.094586,5.534085,49.637626,0,6.745515,0,97.055943,0,48.499829,548.715948,59.175403,422.443785,8.340651,29.396734,10.211652,179.962454,67.990882,34.831253,0,6.5208,0,0,0,52.136844,0,82.828606,0,0,0,62.196893,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.300737,32.171,98.86825,10.143,14.999977,348.975

