Block,Time,TANDA2,UNCHAHAR2,UNCHAHAR1,UNCHAHAR4,TEHRI,URI2,UNCHAHAR3,DADRT2,DULHASTI,KOLDAM,NJPC,RAPPC,DHAULIGNGA,NAPP,CHAMERA3,KISHANGANGA,JHAJJAR,KOTESHWR,RIHAND2,CHAMERA2,PARBATI3,RAMPUR,RIHAND1,SINGRAULI,SEWA2,RIHAND3,SINGRAULI_HYDRO,URI,CHAMERA1,RAPPB,BSIUL,SALAL,TANAKPUR,ANTA_GF,ANTA_RF,ANTA_LF,ANTA_CRF,DADRI_GF,DADRI_RF,DADRI_LF,DADRI_CRF,AURY_GF,AURY_RF,AURY_LF,AURY_CRF,RSTPSU1TO6,RSTPSU7,KKNPPU2,KKNP,NNTPP,MAPS,KGSU1AND2,KGSU3AND4,TALST2,SIMHST1,SIMHST2,KUDGI,TelanganaSTPP,VALLURNTECL,NLCIIST1,NLCIIST2,NLCEXP,NLCTS2EXP,NTPL,KHSTPP-I,KHSTPP-II,TALA,BRBCL,FSTPP I & II,SASAN
1,00:00-00:15,0,42.392196,19.985,0,45.36,31.897382,26.39091,683.136562,49.436556,0,56.82,26.0145,18.2298,40.05,0,0,435.435,8.874,57.96,26.34008,0,0,92,103.125,0,123.665625,0.82259,48.576,0,0,0,24.402,13.13025,0,39.9,0,0,0,83.844,0,0,0,65.16,0,0,0,0,0,0,0,0,0,0,0,0,0,93.75,0,0,0,0,0,0,0,32.17,147.515625,16.17,20.0018,11.399587,347.625

2,00:15-00:30,0,42.392196,19.985,0,30.24,31.897382,26.39091,683.136562,49.436556,0,42.615,26.0145,18.2298,40.05,0,0,435.435,8.874,57.96,26.34008,0,0,92,103.125,0,123.665625,0.82259,48.576,0,0,0,24.402,13.13025,0,39.9,0,0,0,83.844,0,0,0,65.16,0,0,0,0,0,0,0,0,0,0,0,0,0,93.75,0,0,0,0,0,0,0,32.17,147.515625,16.17,20.0018,11.399587,347.625

3,00:30-00:45,0,42.392196,19.985,0,15.12,31.897382,26.39091,683.136562,49.436556,0,42.615,26.0145,18.2298,40.05,0,0,435.435,8.874,57.96,26.34008,0,0,92,103.125,0,123.665625,0.82259,13.248,0,0,0,24.402,13.13025,0,39.9,0,0,0,83.844,0,0,0,65.16,0,0,0,0,0,0,0,0,0,0,0,0,0,93.75,0,0,0,0,0,0,0,32.17,147.515625,16.17,20.0018,11.399587,347.625

4,00:45-01:00,0,42.392196,19.985,0,0,31.897382,26.39091,683.136562,49.436556,0,42.615,26.0145,18.2298,40.05,0,0,435.435,8.874,57.96,26.34008,0,0,92,103.125,0,123.665625,0.82259,12.144,0,0,0,24.402,13.13025,0,39.9,0,0,0,83.844,0,0,0,65.16,0,0,0,0,0,0,0,0,0,0,0,0,0,93.75,0,0,0,0,0,0,0,32.17,147.515625,16.17,20.0018,11.399587,347.625

5,01:00-01:15,0,42.392196,19.985,0,0,31.897382,26.39091,683.136562,49.436556,0,42.615,26.0145,18.2298,40.05,0,0,435.435,8.874,57.96,26.34008,0,0,92,103.125,0,123.665625,0.82259,12.144,0,0,0,24.402,13.13025,0,39.9,0,0,0,83.844,0,0,0,65.16,0,0,0,0,0,0,0,0,0,0,0,0,0,93.75,0,0,0,0,0,0,0,32.17,147.515625,16.17,20.0018,11.401587,347.625

