Block,Time,CHAMERA2,DADRT2,CHAMERA3,DHAULIGNGA,URI2,UNCHAHAR2,UNCHAHAR1,UNCHAHAR4,UNCHAHAR3,SEWA2,NJPC,RIHAND1,KISHANGANGA,RAPPC,NAPP,JHAJJAR,KOTESHWR,SINGRAULI_HYDRO,DULHASTI,RIHAND3,TEHRI,KOLDAM,PARBATI3,SINGRAULI,RAMPUR,RIHAND2,TANDA2,CHAMERA1,BSIUL,URI,TANAKPUR,SALAL,RAPPB,DADRI_GF,DADRI_RF,DADRI_LF,DADRI_CRF,ANTA_GF,ANTA_RF,ANTA_LF,ANTA_CRF,AURY_GF,AURY_RF,AURY_LF,AURY_CRF,TALST2,VALLURNTECL,SIMHST2,NLCTS2EXP,NNTPP,NTPL,RSTPSU1TO6,RSTPSU7,SIMHST1,KGSU1AND2,KGSU3AND4,KKNP,KKNPPU2,KUDGI,MAPS,NLCEXP,NLCIIST1,NLCIIST2,BRBCL,FSTPP I & II,TALA,KHSTPP-II,KHSTPP-I,SASAN
1,00:00-00:15,41.864567,688.249014,30.573593,28.781536,34.579194,43.050737,20.755001,0.814833,26.717787,16.588865,122.366456,93.324175,1.456306,55.190641,40.872774,657.89409,8.443451,0,51.987209,125.295291,25.869661,2.429119,3.34799,133.785032,1.391564,119.5917,1.44175,42.14808,13.1076,46.368,11.529,84.9422,0,0,83.849666,0,0,0,37.956655,0,0,0,66.809428,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,140.62,0,0,0,0,20.0018,20.73185,0,147.515625,42.49,418.77

2,00:15-00:30,41.864567,688.249014,30.573593,28.781536,34.579194,43.050737,20.755001,0.814833,26.717787,16.588865,122.366456,93.324175,1.456306,55.190641,40.872774,657.89409,8.443451,0,51.987209,125.295291,25.869661,2.429119,3.34799,133.785032,1.391564,119.5917,1.44175,42.14808,13.1076,46.368,11.529,84.9422,0,0,83.849666,0,0,0,37.956655,0,0,0,66.809428,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,140.62,0,0,0,0,20.0018,20.73185,0,147.515625,42.49,418.77

3,00:30-00:45,41.864567,688.249014,30.573593,28.781536,34.579194,43.050737,20.755001,0.814833,26.717787,16.588865,122.366456,93.324175,1.456306,55.190641,40.872774,657.89409,8.443451,0,51.987209,125.295291,25.869661,2.429119,3.34799,133.785032,1.391564,119.5917,1.44175,42.14808,13.1076,46.368,11.529,83.083,0,0,83.849666,0,0,0,40.189399,0,0,0,66.809428,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,140.62,0,0,0,0,20.0018,20.73185,0,147.515625,42.49,418.77

4,00:45-01:00,41.864567,688.249014,30.573593,28.781536,34.579194,43.050737,20.755001,0.814833,26.717787,16.588865,122.366456,93.324175,1.456306,55.190641,40.872774,657.89409,8.443451,0,51.987209,125.295291,25.869661,2.429119,3.34799,133.785032,1.391564,119.5917,1.44175,42.14808,13.1076,46.368,11.529,83.083,0,0,83.849666,0,0,0,40.189399,0,0,0,66.809428,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,140.62,0,0,0,0,20.0018,20.73185,0,147.515625,42.49,418.77

5,01:00-01:15,41.864567,688.249014,30.573593,28.781536,34.579194,43.050737,20.755001,0.814833,26.717787,16.588865,122.366456,93.324175,1.456306,55.190641,40.872774,657.89409,8.443451,0,51.987209,125.295291,25.869661,2.429119,3.34799,133.785032,1.391564,119.5917,1.44175,42.14808,13.1076,48.576,11.529,83.083,0,0,83.849666,0,0,0,41.305771,0,0,0,67.961316,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,140.62,0,0,0,0,20.0018,20.73185,0,147.515625,43.097,418.77

6,01:15-01:30,41.864567,688.249014,30.573593,28.781536,34.579194,43.050737,20.755001,0.814833,26.717787,16.588865,122.366456,93.324175,1.456306,55.190641,40.872774,657.89409,8.443451,0,51.987209,125.295291,25.869661,2.429119,3.34799,133.785032,1.391564,119.5917,1.44175,42.14808,13.1076,48.576,4.0992,83.083,0,0,83.849666,0,0,0,41.305771,0,0,0,67.961316,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,140.62,0,0,0,0,20.0018,20.73185,0,147.515625,43.097,418.77

7,01:30-01:45,41.864567,688.249014,30.573593,28.781536,34.579194,43.050737,20.755001,0.814833,26.717787,16.588865,122.366456,93.324175,2.184458,55.190641,40.872774,657.89409,8.443451,0,51.987209,125.295291,25.869661,2.429119,3.34799,133.785032,1.391564,119.5917,1.44175,42.14808,13.1076,46.368,4.0992,83.083,0,0,83.849666,0,0,0,41.305771,0,0,0,67.961316,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,140.62,0,0,0,0,20.0018,20.73185,0,147.515625,43.097,418.77

8,01:45-02:00,41.864567,688.249014,30.573593,28.781536,34.579194,43.050737,20.755001,0.814833,26.717787,16.588865,122.366456,93.324175,2.184458,55.190641,40.872774,657.89409,8.443451,0,51.987209,125.295291,25.869661,2.429119,3.34799,133.785032,1.391564,119.5917,1.44175,42.14808,13.1076,46.368,4.0992,83.083,0,0,83.849666,0,0,0,41.305771,0,0,0,67.961316,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,140.62,0,0,0,0,20.0018,20.73185,0,147.515625,43.097,418.77

9,02:00-02:15,41.864567,688.249014,30.573593,28.781536,34.579194,43.050737,20.755001,0.814833,26.717787,16.588865,122.366456,93.324175,2.184458,55.190641,40.872774,657.89409,8.443451,0,51.987209,125.295291,25.869661,2.429119,3.34799,133.785032,1.391564,119.5917,1.44175,42.14808,13.1076,46.368,4.0992,83.083,0,0,83.849666,0,0,0,41.305771,0,0,0,67.961316,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,140.62,0,0,0,0,20.0018,20.73185,0,147.515625,43.097,418.77

