Block,Time,NR/01102023/27052033/DIAPL(L_NR_2023_04),NR/30092023/31122025/SH-07,NR/01102023/30042040/GNA_LT_36,NR/01102023/25122043/GNA_MEJA_DELHI,NR/01102023/06022042/L_NR_2012_02,NR/01042024/31072024/LT_MEJA_DELHI,NR/30092023/26122029/SH-06,NR/01042024/30062024/NOC/HPSLDC/NR/2024/41758,NR/01102023/06022042/L_NR_2012_07,NR/01102023/19072037/LT-05,NR/01102023/31052040/LT-31,NR/01102023/31102037/L_NR_2019_11,NR/01102023/05012040/L_NR_2020_02,NR/01102023/22052037/LT-59,NR/01102023/30042040/GNA_LT_35,NR/01042024/30042024/PTC/OA/32001,NR/01102023/15082037/GNA_NR_2012_01,NR/01102023/23072042/L_NR_2012_04,NR/01042024/23072042/NR/01102023/23072042/L_NR_2012_04,WR/01102023/24112044/L_NR_2020_07,WR/01102023/16072048/L_NR_2022_08,NR/01102023/02012046/L_NR_2021_17,WR/01102023/29112042/L_NR_2019_05,NR/22102023/11042047/L_NR_2021_16,WR/01102023/01102023/L_NR_2020_06,NR/01102023/14082046/L_NR_2021_16,WR/01102023/01102023/L_NR_2022_09,NR/01102023/13082046/L_NR_2021_12,NR/01102023/25072045/L_NR_2021_15,NR/01102023/02122045/L_NR_2021_13,NR/22102023/11042047/L_NR_2021_17,WR/01102023/29112042/RUMS(L_NR_2019_06),NR/26072023/31072042/L_NR_2023_07,NR/04042024/30042024/SJVN040424NR1694,L_NR_2019_19,NR/01102023/08032047/L_NR_2021_14,WR/01102023/31032046/L_NR_2020_05,WR/01102023/29112042/RUMS(L_NR_2019_07),SR/01102023/07102043/L_NR_2018_61,NR/26072023/25122043/L_NR_2023_10,WR/01102023/30052048/L_NR_2022_10
1,00:00-00:15,28.870000,30.680000,0.000000,0.000000,261.290000,16.050000,30.680000,7.810000,86.810000,115.050000,0.000000,2.980000,2.310000,3.250000,0.000000,40.900000,100.260000,0.000000,272.120000,20.33,17.66,0,0,0,20.34,0,43.33,0,0,0,0,0,0,0,0,0,61,0,6.41,0,43.33

2,00:15-00:30,28.870000,30.680000,0.000000,0.000000,261.290000,16.050000,30.680000,7.810000,86.810000,115.050000,0.000000,2.980000,2.310000,3.250000,0.000000,40.900000,100.260000,0.000000,272.120000,20.5,18,0,0,0,20.5,0,43.67,0,0,0,0,0,0,0,0,0,61.5,0,6.41,0,43.67

3,00:30-00:45,28.870000,30.800000,0.000000,0.000000,261.290000,16.050000,30.800000,7.810000,86.810000,115.050000,0.000000,2.980000,2.310000,3.250000,0.000000,40.900000,100.260000,0.000000,272.120000,20.67,18.34,0,0,0,20.66,0,44,0,0,0,0,0,0,0,0,0,62,0,6.41,0,44

4,00:45-01:00,28.870000,30.800000,0.000000,0.000000,261.290000,16.050000,30.800000,7.810000,86.810000,115.050000,0.000000,2.980000,2.310000,3.250000,0.000000,40.900000,100.260000,0.000000,272.120000,20.83,18.34,0,0,0,20.84,0,44.33,0,0,0,0,0,0,0,0,0,62.5,0,6.41,0,44.33

5,01:00-01:15,28.870000,30.800000,0.000000,0.000000,261.290000,16.050000,30.800000,7.810000,86.810000,115.050000,0.000000,2.980000,2.310000,3.250000,0.000000,40.900000,100.260000,0.000000,272.120000,19,15,0,0,0,19,0,44,0,0,0,0,0,0,0,0,0,57,0,6.41,0,44

