Time,Block,NR/2024/21158/A/25833,NR/30092023/26122029/SH-06,NR/2024/21104/A/26092,NR/2024/21339/A/25863,NR/2024/21089/A/26086,NR/2024/21096/A/26097,NR/2024/21087/A/26028,NR/2024/20930/A/26042,NR/2024/21186/A/26105,NR/2024/21108/A/26090,NR/2024/21148/A/25830,NR/2024/21416/C,NR/01072024/31072024/NDMC/D-55/EE(POWER)2024,NR/2024/21160/A/25827,NR/2024/21099/A/25865,NR/2024/21414/C,NR/2024/21150/A/25829,NR/2024/21183/A/26112,NR/01072024/31072024/R2,NR/01102023/25122043/GNA_MEJA_DELHI,NR/2024/21142/A/25866,NR/2024/21141/A/25972,NR/2024/21376/A/26021,NR/2024/21227/A/26093,NR/2024/21076/A/26111,NR/01072024/31072024/IIPL/JPL(TM)-BRPL/BRPLT-169/24-25/02,NR/2024/20966/A/25803,NR/2024/21103/A/26095,NR/2024/21113/A/26085,NR/01072024/31072024/APPCPL/180/F25/TGNA/3250,NR/01102023/23072042/L_NR_2012_04,NR/2024/20688/A/26029,NR/2024/21415/C,NR/2024/21152/A/25802,NR/01072024/31072024/IIPL/JPL(SH)-BRPL/BRPL T-249/24-25/1,NR/01072024/31072024/	NR/01072024/31072024/TataPower-DDL/PMG/MSEDCL/Banking/12112023,NR/01072024/31072024/NDMC/D-54/EE(POWER)2024,NR/2024/21156/A/25834,NR/2024/21144/A/25826,NR/2024/21238/A/26115,NR/2024/21153/A/25828,NR/2024/20877/A/26106,NR/2024/21173/A/26027,NR/2024/21062/A/25867,NR/2024/20711/A/26022,NR/2024/21199/A/25816,NR/05072024/31072024/1000011449-JITPL-BRPL(DISCOM),NR/2024/21243/A/25812,NR/30092023/31122025/SH-07,NR/01072024/15072024/NR/01072024/15072024/717759,NR/01072024/31072024/Chanju/TPDDL/Jul01072024,NR/2024/21072/A/26087,NR/2024/21159/A/25832,NR/2024/21075/A/26114,NR/2024/20574/A/25884,NR/2024/21210/A/25864,NR/2024/21146/A/25831,NR/2024/21023/A/25817,NR/2024/20573/A/25882,NR/2024/19779/A/25780,NR/2024/21312/A/25657,NR/01102023/02012046/L_NR_2021_17,NR/01102023/14082046/L_NR_2021_16,Total
69,17:00-17:15,0.670000,26.870000,64.620000,81.880000,37.210000,120.410000,20.710000,163.760000,48.160000,24.010000,0.520000,27.940000,14.930000,0.970000,20.470000,1.31,0.880000,18.010000,0.000000,0.000000,40.940000,0.000000,240.820000,0.000000,90.550000,0.000000,4.820000,83.980000,37.210000,0.000000,0.000000,66.650000,164.000000,1.930000,0.000000,0.000000,12.410000,0.610000,0.480000,2.890000,1.590000,96.330000,20.710000,20.470000,0.000000,61.410000,0.000000,134.860000,26.870000,0.000000,13.610000,37.210000,0.880000,11.700000,0.000000,40.940000,0.360000,81.880000,0.000000,0.820000,10.600000,0,0,1980.86

70,17:15-17:30,0.670000,26.870000,64.620000,81.880000,37.210000,120.410000,20.710000,163.760000,48.160000,24.010000,0.520000,27.940000,14.930000,0.970000,20.470000,0.51,0.880000,18.010000,0.000000,0.000000,40.940000,0.000000,240.820000,0.000000,90.550000,0.000000,4.820000,83.980000,37.210000,0.000000,0.000000,66.650000,164.000000,1.930000,0.000000,0.000000,12.410000,0.610000,0.480000,2.890000,1.590000,96.330000,20.710000,20.470000,0.000000,61.410000,0.000000,134.860000,26.870000,0.000000,13.610000,37.210000,0.880000,11.700000,0.000000,40.940000,0.360000,81.880000,0.000000,0.820000,10.600000,0,0,1980.06

71,17:30-17:45,0.670000,26.870000,64.620000,81.880000,37.210000,120.410000,20.710000,163.760000,48.160000,24.010000,0.520000,27.940000,14.930000,0.970000,20.470000,0.2,0.880000,18.010000,0.000000,0.000000,40.940000,0.000000,240.820000,0.000000,90.550000,0.000000,4.820000,83.980000,37.210000,0.000000,0.000000,66.650000,164.000000,1.930000,0.000000,0.000000,12.410000,0.610000,0.480000,2.890000,1.590000,96.330000,20.710000,20.470000,0.000000,61.410000,0.000000,134.860000,26.870000,0.000000,13.610000,37.210000,0.880000,11.700000,0.000000,40.940000,0.360000,81.880000,0.000000,0.820000,10.600000,0,0,1979.75

72,17:45-18:00,0.670000,26.870000,64.620000,81.880000,37.210000,120.410000,20.710000,163.760000,48.160000,24.010000,0.520000,27.940000,14.930000,0.970000,20.470000,0.25,0.880000,18.010000,0.000000,0.000000,40.940000,0.000000,240.820000,0.000000,90.550000,0.000000,4.820000,83.980000,37.210000,0.000000,0.000000,66.650000,164.000000,1.930000,0.000000,0.000000,12.410000,0.610000,0.480000,2.890000,1.590000,96.330000,20.710000,20.470000,0.000000,61.410000,0.000000,134.860000,26.870000,0.000000,13.610000,37.210000,0.880000,11.700000,0.000000,40.940000,0.360000,81.880000,0.000000,0.820000,10.600000,0,0,1979.8

73,18:00-18:15,0.670000,26.870000,64.620000,0.000000,37.210000,120.410000,20.710000,0.000000,48.160000,24.010000,0.520000,27.940000,14.930000,0.970000,20.470000,0.28,0.880000,18.010000,20.470000,0.000000,40.940000,47.640000,240.820000,0.000000,90.550000,81.880000,4.820000,83.980000,37.210000,0.000000,0.000000,66.650000,164.000000,1.930000,61.410000,0.000000,12.410000,0.610000,0.480000,2.890000,1.590000,96.330000,20.710000,0.000000,0.000000,0.000000,81.880000,134.860000,26.870000,163.760000,13.610000,37.210000,0.880000,0.000000,0.000000,40.940000,0.360000,0.000000,0.000000,0.820000,8.670000,0,0,2013.84

74,18:15-18:30,0.670000,26.870000,64.620000,0.000000,37.210000,120.410000,20.710000,0.000000,48.160000,24.010000,0.520000,27.940000,14.930000,0.970000,20.470000,0.17,0.880000,18.010000,20.470000,0.000000,40.940000,47.640000,240.820000,0.000000,90.550000,81.880000,4.820000,83.980000,37.210000,0.000000,0.000000,66.650000,164.000000,1.930000,61.410000,0.000000,12.410000,0.610000,0.480000,2.890000,1.590000,96.330000,20.710000,0.000000,0.000000,0.000000,81.880000,134.860000,26.870000,163.760000,13.610000,37.210000,0.880000,0.000000,0.000000,40.940000,0.360000,0.000000,0.000000,0.820000,8.670000,0,0,2013.73

75,18:30-18:45,0.670000,26.870000,64.620000,0.000000,37.210000,91.510000,20.710000,0.000000,48.160000,24.010000,0.520000,27.940000,14.930000,0.970000,20.470000,0.1,0.880000,18.010000,20.470000,0.000000,40.940000,47.640000,240.820000,0.000000,90.550000,81.880000,4.820000,83.980000,37.210000,0.000000,0.000000,66.650000,164.000000,1.930000,61.410000,0.000000,12.410000,0.610000,0.480000,2.890000,1.590000,96.330000,20.710000,0.000000,0.000000,0.000000,81.880000,134.860000,26.870000,163.760000,13.610000,37.210000,0.880000,0.000000,0.000000,40.940000,0.360000,0.000000,0.000000,0.820000,8.670000,0,0,1984.76

76,18:45-19:00,0.670000,26.870000,64.620000,0.000000,37.210000,91.510000,20.710000,0.000000,48.160000,24.010000,0.520000,27.940000,14.930000,0.970000,20.470000,0,0.880000,18.010000,20.470000,0.000000,40.940000,47.640000,240.820000,0.000000,90.550000,81.880000,4.820000,83.980000,37.210000,0.000000,0.000000,66.650000,164.000000,1.930000,61.410000,0.000000,12.410000,0.610000,0.480000,2.890000,1.590000,96.330000,20.710000,0.000000,0.000000,0.000000,81.880000,134.860000,26.870000,163.760000,13.610000,37.210000,0.880000,0.000000,0.000000,40.940000,0.360000,0.000000,0.000000,0.820000,8.670000,0,0,1984.66

77,19:00-19:15,0.670000,24.800000,64.620000,0.000000,37.210000,91.510000,20.710000,0.000000,48.160000,24.010000,0.520000,27.940000,14.930000,0.970000,20.470000,0,0.880000,18.010000,20.470000,0.000000,40.940000,47.640000,240.820000,0.000000,90.550000,81.880000,4.820000,83.980000,37.210000,0.000000,0.000000,66.650000,164.000000,1.930000,61.410000,0.000000,12.410000,0.610000,0.480000,2.890000,1.590000,96.330000,20.710000,0.000000,0.000000,0.000000,81.880000,134.860000,24.800000,163.760000,16.370000,37.210000,0.880000,0.000000,0.000000,40.940000,0.360000,0.000000,0.000000,0.820000,8.670000,0,0,1983.28

78,19:15-19:30,0.670000,21.560000,64.620000,0.000000,37.210000,91.510000,20.710000,0.000000,48.160000,24.010000,0.520000,27.940000,14.930000,0.970000,20.470000,0,0.880000,18.010000,20.470000,0.000000,40.940000,47.640000,240.820000,0.000000,90.550000,81.880000,4.820000,83.980000,37.210000,0.000000,0.000000,66.650000,164.000000,1.930000,61.410000,0.000000,12.410000,0.610000,0.480000,2.890000,1.590000,96.330000,20.710000,0.000000,0.000000,0.000000,81.880000,134.860000,32.000000,163.760000,16.370000,37.210000,0.880000,0.000000,0.000000,40.940000,0.360000,0.000000,0.000000,0.820000,8.670000,0,0,1987.24

79,19:30-19:45,0.670000,32.000000,64.620000,0.000000,37.210000,91.510000,20.710000,0.000000,48.160000,24.010000,0.520000,27.940000,14.930000,0.970000,20.470000,0,0.880000,18.010000,20.470000,0.000000,40.940000,47.640000,240.820000,0.000000,90.550000,81.880000,4.820000,83.980000,37.210000,0.000000,0.000000,66.650000,164.000000,1.930000,61.410000,0.000000,4.090000,0.610000,0.480000,2.890000,1.590000,96.330000,20.710000,0.000000,0.000000,0.000000,81.880000,134.860000,32.000000,163.760000,16.370000,37.210000,0.880000,0.000000,0.000000,40.940000,0.360000,0.000000,0.000000,0.820000,8.670000,0,0,1989.36

80,19:45-20:00,0.670000,32.000000,64.620000,0.000000,37.210000,91.510000,20.710000,0.000000,48.160000,24.010000,0.520000,27.940000,14.930000,0.970000,20.470000,0,0.880000,18.010000,20.470000,0.000000,40.940000,47.640000,240.820000,0.000000,90.550000,81.880000,4.820000,83.980000,37.210000,0.000000,0.000000,66.650000,164.000000,1.930000,61.410000,0.000000,4.090000,0.610000,0.480000,2.890000,1.590000,96.330000,20.710000,0.000000,0.000000,0.000000,81.880000,134.860000,32.000000,163.760000,16.370000,37.210000,0.880000,0.000000,0.000000,40.940000,0.360000,0.000000,0.000000,0.820000,8.670000,0,0,1989.36

81,20:00-20:15,0.670000,32.000000,64.620000,0.000000,37.210000,91.510000,20.710000,0.000000,48.160000,24.010000,0.520000,27.940000,14.930000,0.970000,20.470000,0,0.880000,18.010000,20.470000,0.000000,40.940000,47.640000,240.820000,0.000000,90.550000,81.880000,4.820000,83.980000,37.210000,0.000000,0.000000,66.650000,164.000000,1.930000,61.410000,0.000000,4.090000,0.610000,0.480000,2.890000,1.590000,96.330000,20.710000,0.000000,0.000000,0.000000,81.880000,134.860000,32.000000,163.760000,16.370000,37.210000,0.880000,0.000000,0.000000,40.940000,0.360000,0.000000,0.000000,0.870000,8.670000,0,0,1989.41

82,20:15-20:30,0.670000,32.000000,64.620000,0.000000,37.210000,91.510000,20.710000,0.000000,48.160000,24.010000,0.520000,27.940000,14.930000,0.970000,20.470000,0,0.880000,18.010000,20.470000,0.000000,40.940000,47.640000,240.820000,0.000000,90.550000,81.880000,4.820000,83.980000,37.210000,0.000000,0.000000,66.650000,164.000000,1.930000,61.410000,0.000000,4.090000,0.610000,0.480000,2.890000,1.590000,96.330000,20.710000,0.000000,0.000000,0.000000,81.880000,134.860000,32.000000,163.760000,16.370000,37.210000,0.880000,0.000000,0.000000,40.940000,0.360000,0.000000,0.000000,0.870000,8.670000,0,0,1989.41

83,20:30-20:45,0.670000,32.000000,64.620000,0.000000,37.210000,91.510000,20.710000,0.000000,48.160000,24.010000,0.520000,27.940000,14.930000,0.970000,20.470000,0,0.880000,18.010000,20.470000,0.000000,40.940000,47.640000,240.820000,0.000000,90.550000,81.880000,4.820000,83.980000,37.210000,0.000000,0.000000,66.650000,164.000000,1.930000,61.410000,0.000000,4.090000,0.610000,0.480000,2.890000,1.590000,96.330000,20.710000,0.000000,0.000000,0.000000,81.880000,134.860000,32.000000,163.760000,16.370000,37.210000,0.880000,0.000000,0.000000,40.940000,0.360000,0.000000,0.000000,0.870000,8.670000,0,0,1989.41

84,20:45-21:00,0.670000,32.000000,64.620000,0.000000,37.210000,91.510000,20.710000,0.000000,48.160000,24.010000,0.520000,27.940000,14.930000,0.970000,20.470000,0,0.880000,18.010000,20.470000,0.000000,40.940000,47.640000,240.820000,0.000000,90.550000,81.880000,4.820000,83.980000,37.210000,0.000000,0.000000,66.650000,164.000000,1.930000,61.410000,0.000000,4.090000,0.610000,0.480000,2.890000,1.590000,96.330000,20.710000,0.000000,0.000000,0.000000,81.880000,134.860000,32.000000,163.760000,16.370000,37.210000,0.880000,0.000000,0.000000,40.940000,0.360000,0.000000,0.000000,0.870000,8.670000,0,0,1989.41

85,21:00-21:15,0.670000,30.920000,64.620000,0.000000,37.210000,91.510000,20.710000,0.000000,48.160000,24.010000,0.520000,27.940000,14.930000,0.970000,20.470000,0,0.880000,18.010000,20.470000,0.000000,40.940000,47.640000,240.820000,0.000000,90.550000,81.880000,4.820000,83.980000,37.210000,0.000000,0.000000,66.650000,164.000000,1.930000,61.410000,0.000000,4.090000,0.610000,0.480000,2.890000,1.590000,96.330000,20.710000,0.000000,0.000000,0.000000,81.880000,134.860000,30.920000,163.760000,16.370000,37.210000,0.880000,0.000000,0.000000,40.940000,0.360000,0.000000,0.000000,0.870000,8.670000,0,0,1987.25

86,21:15-21:30,0.670000,30.920000,64.620000,0.000000,37.210000,91.510000,20.710000,0.000000,48.160000,24.010000,0.520000,27.940000,14.930000,0.970000,20.470000,0,0.880000,18.010000,20.470000,0.000000,40.940000,47.640000,240.820000,0.000000,90.550000,81.880000,4.820000,83.980000,37.210000,0.000000,0.000000,66.650000,164.000000,1.930000,61.410000,0.000000,4.090000,0.610000,0.480000,2.890000,1.590000,96.330000,20.710000,0.000000,0.000000,0.000000,81.880000,134.860000,30.920000,163.760000,16.370000,37.210000,0.880000,0.000000,0.000000,40.940000,0.360000,0.000000,0.000000,0.870000,8.670000,0,0,1987.25

87,21:30-21:45,0.670000,30.920000,64.620000,0.000000,37.210000,91.510000,20.710000,0.000000,48.160000,24.010000,0.520000,27.940000,14.930000,0.970000,20.470000,0,0.880000,18.010000,20.470000,0.000000,40.940000,47.640000,240.820000,0.000000,90.550000,81.880000,4.820000,83.980000,37.210000,0.000000,0.000000,66.650000,164.000000,1.930000,61.410000,0.000000,4.090000,0.610000,0.480000,2.890000,1.590000,96.330000,20.710000,0.000000,0.000000,0.000000,81.880000,134.860000,30.920000,163.760000,16.370000,37.210000,0.880000,0.000000,0.000000,40.940000,0.360000,0.000000,0.000000,0.870000,8.670000,0,0,1987.25

88,21:45-22:00,0.670000,30.920000,64.620000,0.000000,37.210000,91.510000,20.710000,0.000000,48.160000,24.010000,0.520000,27.940000,14.930000,0.970000,20.470000,0,0.880000,18.010000,20.470000,0.000000,40.940000,47.640000,240.820000,0.000000,90.550000,81.880000,4.820000,83.980000,37.210000,0.000000,0.000000,66.650000,164.000000,1.930000,61.410000,0.000000,4.090000,0.610000,0.480000,2.890000,1.590000,96.330000,20.710000,0.000000,0.000000,0.000000,81.880000,134.860000,30.920000,163.760000,16.370000,37.210000,0.880000,0.000000,0.000000,40.940000,0.360000,0.000000,0.000000,0.870000,8.670000,0,0,1987.25

89,22:00-22:15,0.670000,30.920000,64.620000,0.000000,37.210000,91.510000,20.710000,0.000000,48.160000,24.010000,0.520000,27.940000,14.930000,0.970000,20.470000,0,0.880000,18.010000,20.470000,0.000000,40.940000,47.640000,240.820000,12.190000,90.550000,81.880000,4.820000,83.980000,37.210000,0.000000,0.000000,66.650000,164.000000,1.930000,61.410000,0.000000,4.090000,0.610000,0.480000,2.890000,1.590000,96.330000,20.710000,0.000000,0.000000,0.000000,81.880000,134.860000,30.920000,163.760000,16.370000,37.210000,0.880000,0.000000,18.060000,40.940000,0.360000,0.000000,54.190000,0.870000,7.710000,0,0,2070.73

90,22:15-22:30,0.670000,30.920000,64.620000,0.000000,37.210000,91.510000,20.710000,0.000000,48.160000,24.010000,0.520000,27.940000,14.930000,0.970000,20.470000,0,0.880000,18.010000,20.470000,0.000000,40.940000,47.640000,240.820000,12.190000,90.550000,81.880000,4.820000,83.980000,37.210000,0.000000,0.000000,66.650000,164.000000,1.930000,61.410000,0.000000,4.090000,0.610000,0.480000,2.890000,1.590000,96.330000,20.710000,0.000000,0.000000,0.000000,81.880000,134.860000,30.920000,163.760000,16.370000,37.210000,0.880000,0.000000,18.060000,40.940000,0.360000,0.000000,54.190000,0.870000,7.710000,0,0,2070.73

91,22:30-22:45,0.670000,30.920000,64.620000,0.000000,37.210000,308.260000,20.710000,0.000000,48.160000,24.010000,0.520000,27.940000,14.930000,0.970000,20.470000,0,0.880000,18.010000,20.470000,0.000000,40.940000,47.640000,240.820000,12.190000,90.550000,81.880000,4.820000,83.980000,37.210000,0.000000,0.000000,66.650000,164.000000,1.930000,61.410000,0.000000,4.090000,0.610000,0.480000,2.890000,1.590000,96.330000,20.710000,0.000000,0.000000,0.000000,81.880000,134.860000,30.920000,163.760000,16.370000,37.210000,0.880000,0.000000,18.060000,40.940000,0.360000,0.000000,54.190000,0.870000,7.710000,0,0,2287.48

92,22:45-23:00,0.670000,30.920000,64.620000,0.000000,37.210000,308.260000,20.710000,0.000000,48.160000,24.010000,0.520000,27.940000,14.930000,0.970000,20.470000,0,0.880000,18.010000,20.470000,0.000000,40.940000,47.640000,240.820000,12.190000,90.550000,81.880000,4.820000,83.980000,37.210000,0.000000,0.000000,66.650000,164.000000,1.930000,61.410000,0.000000,4.090000,0.610000,0.480000,2.890000,1.590000,96.330000,20.710000,0.000000,0.000000,0.000000,81.880000,134.860000,30.920000,163.760000,16.370000,37.210000,0.880000,0.000000,18.060000,40.940000,0.360000,0.000000,54.190000,0.870000,7.710000,0,0,2287.48

93,23:00-23:15,0.670000,30.920000,64.620000,0.000000,37.210000,308.260000,20.710000,0.000000,48.160000,24.010000,0.520000,27.940000,14.930000,0.970000,20.470000,0,0.880000,18.010000,20.470000,0.000000,40.940000,47.640000,240.820000,12.190000,90.550000,81.880000,4.820000,83.980000,37.210000,0.000000,0.000000,66.650000,164.000000,1.930000,61.410000,0.000000,4.090000,0.610000,0.480000,2.890000,1.590000,96.330000,20.710000,0.000000,0.000000,0.000000,81.880000,134.860000,30.920000,163.760000,16.370000,37.210000,0.880000,0.000000,18.060000,40.940000,0.360000,0.000000,54.190000,0.820000,7.710000,0,0,2287.43

94,23:15-23:30,0.670000,30.920000,64.620000,0.000000,37.210000,308.260000,20.710000,0.000000,48.160000,24.010000,0.520000,27.940000,14.930000,0.970000,20.470000,0,0.880000,18.010000,20.470000,0.000000,40.940000,47.640000,240.820000,12.190000,90.550000,81.880000,4.820000,83.980000,37.210000,0.000000,0.000000,66.650000,164.000000,1.930000,61.410000,0.000000,4.090000,0.610000,0.480000,2.890000,1.590000,96.330000,20.710000,0.000000,0.000000,0.000000,81.880000,134.860000,30.920000,163.760000,16.370000,37.210000,0.880000,0.000000,18.060000,40.940000,0.360000,0.000000,54.190000,0.820000,7.710000,0,0,2287.43

95,23:30-23:45,0.670000,30.920000,64.620000,0.000000,37.210000,308.260000,20.710000,0.000000,48.160000,24.010000,0.520000,27.940000,14.930000,0.970000,20.470000,0,0.880000,18.010000,20.470000,0.000000,40.940000,47.640000,240.820000,12.190000,90.550000,81.880000,4.820000,83.980000,37.210000,0.000000,0.000000,66.650000,164.000000,1.930000,61.410000,0.000000,4.090000,0.610000,0.480000,2.890000,1.590000,96.330000,20.710000,0.000000,0.000000,0.000000,81.880000,134.860000,30.920000,163.760000,16.370000,37.210000,0.880000,0.000000,18.060000,40.940000,0.360000,0.000000,54.190000,0.820000,7.710000,0,0,2287.43

96,23:45-24:00,0.670000,30.920000,64.620000,0.000000,37.210000,308.260000,20.710000,0.000000,48.160000,24.010000,0.520000,27.940000,14.930000,0.970000,20.470000,0,0.880000,18.010000,20.470000,0.000000,40.940000,47.640000,240.820000,12.190000,90.550000,81.880000,4.820000,83.980000,37.210000,0.000000,0.000000,66.650000,164.000000,1.930000,61.410000,0.000000,4.090000,0.610000,0.480000,2.890000,1.590000,96.330000,20.710000,0.000000,0.000000,0.000000,81.880000,134.860000,30.920000,163.760000,16.370000,37.210000,0.880000,0.000000,18.060000,40.940000,0.360000,0.000000,54.190000,0.820000,7.710000,0,0,2287.43

