,,NA,HIMACHAL PRADESH,NA,GOA,UTTARAKHAND,HIMACHAL PRADESH,NA,NA,NA,HIMACHAL PRADESH,HIMACHAL PRADESH,HIMACHAL PRADESH,RAJASTHAN,HIMACHAL PRADESH,MAHARASHTRA,MAHARASHTRA,HIMACHAL PRADESH,NA,NA,HIMACHAL PRADESH,NA,TAMIL NADU,HIMACHAL PRADESH,NA,NA,MAHARASHTRA,HIMACHAL PRADESH,NA,UTTAR PRADESH,HIMACHAL PRADESH,HIMACHAL PRADESH,MP,KERALA,NA,NA,HIMACHAL PRADESH,MAHARASHTRA,HIMACHAL PRADESH,HIMACHAL PRADESH,KARNATAKA,NAGALAND,NA,HIMACHAL PRADESH,HIMACHAL PRADESH,TAMIL NADU,HIMACHAL PRADESH,ANDHRA PRADESH,NA,MAHARASHTRA,MAHARASHTRA,NA,
,,SOLAPUR_SOLAR,HP-GOVT,KAMENG,GOA_Beneficiary,UTTARAKHAND,SHPPBPL,APL_Raipur TPP,SIMHAPURI,RKM_POWER,SHPPBPL,SHPPBPL,GBHHPL,RUVNL,SHPPBPL,A_A_Energy_MH_Bio,IEPLBELA2022,SHPPBPL,JPL-2,SEIL,HP-GOVT,JPL-2,TANGEDCO,GBHHPL,IND_BHARAT,JPL-2,JPL_DHULE,HP,SEILP2,PPGCL,NHCPL_HP,SHPPBPL,JP BINA,KSEB,ACBIL,SKS Raigarh,GBHHPL,AEML,HP,SHPPBPL,JSWEL,Nagaland_Ben,JHAJJAR,SHPPBPL,HP-GOVT,TANGEDCO,SHPPBPL,ITCWIND,RKM_POWER,JSWEL MSEB,JPL_DHULE,JHAJJAR,
,,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,
,,MES (Delhi),BRPL,TPDDL,BRPL,BYPL,BAL234,BRPL,BRPL,NDMC,DTCP,BAL184,DIAPL,BYPL,MSSH,MES (Delhi),BRPL,BAL224,BRPL,TPDDL,BRPL,NDMC,BRPL,DIAPL,BRPL,TPDDL,TPDDL,BRPL,BRPL,BRPL,MES (Delhi),JHPL-DL,TPDDL,BYPL,BRPL,NDMC,BRPL,BYPL,BYPL,MHIL,BRPL,BYPL,TPDDL,BMDRC,BRPL,BYPL,UHL,ITCLH,NDMC,BRPL,BRPL,TPDDL,
,,West-North,North-North,North East-East-North,West-North,North-North,North-North,West-North,South-West-North,West-North,North-North,North-North,North-North,North-North,North-North,West-North,West-North,North-North,West-North,South-West-North,North-North,West-North,South-West-North,North-North,East-West-North,West-North,West-North,North-North,South-West-North,North-North,North-North,North-North,West-North,South-West-North,West-North,West-North,North-North,West-North,North-North,North-North,South-East-West-North,North East-East-North,North-North,North-North,North-North,South-West-North,North-North,South-West-North,West-North,West-North,West-North,North-North,
10,02:15-02:30,0,0.000000,168.810000,11.740000,84.220000,0.880000,193.200000,0.000000,32.930000,0.480000,0.350000,2.900000,66.840000,0.680000,1.930000,0.000000,0.520000,0.000000,24.150000,96.600000,32.930000,48.670000,6.760000,0.000000,96.600000,72.450000,108.680000,0.000000,0.000000,1.930000,1.590000,48.300000,309.120000,0.000000,10.970000,0.000000,90.800000,36.220000,0.880000,0.000000,13.520000,241.500000,0.980000,96.600000,64.800000,0.610000,0.530000,32.930000,0.000000,0.000000,0.000000,2003.6

11,02:30-02:45,0,0.000000,168.810000,11.740000,84.220000,0.880000,193.200000,0.000000,32.930000,0.480000,0.350000,2.900000,66.840000,0.680000,1.930000,0.000000,0.520000,0.000000,24.150000,96.600000,32.930000,48.670000,6.760000,0.000000,96.600000,72.450000,108.680000,0.000000,0.000000,1.930000,1.590000,48.300000,309.120000,0.000000,10.970000,0.000000,90.800000,36.220000,0.880000,0.000000,13.520000,241.500000,0.980000,96.600000,64.800000,0.610000,0.530000,32.930000,0.000000,0.000000,0.000000,2003.6

12,02:45-03:00,0,0.000000,168.810000,11.740000,84.220000,0.880000,193.200000,0.000000,32.930000,0.480000,0.350000,2.900000,66.840000,0.680000,1.930000,0.000000,0.520000,0.000000,24.150000,96.600000,32.930000,48.670000,6.760000,0.000000,96.600000,72.450000,108.680000,0.000000,0.000000,1.930000,1.590000,48.300000,309.120000,0.000000,10.970000,0.000000,90.800000,36.220000,0.880000,0.000000,13.520000,241.500000,0.980000,96.600000,64.800000,0.610000,0.530000,32.930000,0.000000,0.000000,0.000000,2003.6

13,03:00-03:15,0,0.000000,168.810000,11.740000,84.220000,0.880000,193.200000,0.000000,32.930000,0.480000,0.350000,2.900000,66.840000,0.680000,1.930000,0.000000,0.520000,0.000000,24.150000,96.600000,32.930000,48.670000,5.800000,0.000000,96.600000,72.450000,108.680000,0.000000,0.000000,1.930000,1.590000,48.300000,309.120000,0.000000,10.970000,0.000000,90.800000,36.220000,0.880000,0.000000,13.520000,183.540000,0.980000,96.600000,64.800000,0.610000,0.480000,32.930000,0.000000,0.000000,57.960000,2002.59

14,03:15-03:30,0,0.000000,168.810000,11.740000,84.220000,0.880000,193.200000,0.000000,32.930000,0.480000,0.350000,2.900000,66.840000,0.680000,1.930000,0.000000,0.520000,0.000000,24.150000,96.600000,32.930000,48.670000,5.800000,0.000000,96.600000,72.450000,108.680000,0.000000,0.000000,1.930000,1.590000,48.300000,309.120000,0.000000,10.970000,0.000000,90.800000,36.220000,0.880000,0.000000,13.520000,183.540000,0.980000,96.600000,64.800000,0.610000,0.480000,32.930000,0.000000,0.000000,57.960000,2002.59

15,03:30-03:45,0,0.000000,168.810000,11.740000,84.220000,0.880000,193.200000,0.000000,32.930000,0.480000,0.350000,2.900000,66.840000,0.680000,1.930000,0.000000,0.520000,0.000000,24.150000,96.600000,32.930000,48.670000,5.800000,0.000000,96.600000,72.450000,108.680000,0.000000,0.000000,1.930000,1.590000,48.300000,309.120000,0.000000,10.970000,0.000000,90.800000,36.220000,0.880000,0.000000,13.520000,183.540000,0.980000,96.600000,64.800000,0.610000,0.480000,32.930000,0.000000,0.000000,57.960000,2002.59

16,03:45-04:00,0,0.000000,168.810000,11.740000,84.220000,0.880000,193.200000,0.000000,32.930000,0.480000,0.350000,2.900000,66.840000,0.680000,1.930000,0.000000,0.520000,0.000000,24.150000,96.600000,32.930000,48.670000,5.800000,0.000000,96.600000,72.450000,108.680000,0.000000,0.000000,1.930000,1.590000,48.300000,309.120000,0.000000,10.970000,0.000000,90.800000,36.220000,0.880000,0.000000,13.520000,183.540000,0.980000,96.600000,64.800000,0.610000,0.480000,32.930000,0.000000,0.000000,57.960000,2002.59

17,04:00-04:15,0,0.000000,168.810000,11.740000,84.220000,0.880000,193.200000,0.000000,32.930000,0.480000,0.350000,2.900000,66.840000,0.680000,1.930000,0.000000,0.520000,0.000000,24.150000,96.600000,32.930000,48.670000,5.800000,0.000000,96.600000,72.450000,108.680000,0.000000,0.000000,1.930000,1.590000,48.300000,309.120000,0.000000,10.970000,0.000000,90.800000,36.220000,0.880000,0.000000,13.520000,183.540000,0.980000,96.600000,64.800000,0.610000,0.480000,32.930000,0.000000,0.000000,57.960000,2002.59

18,04:15-04:30,0,0.000000,168.810000,11.740000,84.220000,0.880000,193.200000,0.000000,32.930000,0.480000,0.350000,2.900000,66.840000,0.680000,1.930000,0.000000,0.520000,0.000000,24.150000,96.600000,32.930000,48.670000,5.800000,0.000000,96.600000,72.450000,108.680000,0.000000,0.000000,1.930000,1.590000,48.300000,309.120000,0.000000,10.970000,0.000000,90.800000,36.220000,0.880000,0.000000,13.520000,183.540000,0.980000,96.600000,64.800000,0.610000,0.480000,32.930000,0.000000,0.000000,57.960000,2002.59

