Block,Time,TANDA2,UNCHAHAR2,UNCHAHAR1,UNCHAHAR4,TEHRI,URI2,UNCHAHAR3,DADRT2,DULHASTI,KOLDAM,NJPC,RAPPC,DHAULIGNGA,NAPP,CHAMERA3,KISHANGANGA,JHAJJAR,KOTESHWR,RIHAND2,CHAMERA2,PARBATI3,RAMPUR,RIHAND1,SINGRAULI,SEWA2,RIHAND3,SINGRAULI_HYDRO,URI,CHAMERA1,RAPPB,BSIUL,SALAL,TANAKPUR,ANTA_GF,ANTA_RF,ANTA_LF,ANTA_CRF,DADRI_GF,DADRI_RF,DADRI_LF,DADRI_CRF,AURY_GF,AURY_RF,AURY_LF,AURY_CRF,RSTPSU1TO6,RSTPSU7,KKNPPU2,KGSU1AND2,KGSU3AND4,KKNP,TALST2,SIMHST1,SIMHST2,KUDGI,TelanganaSTPP,VALLURNTECL,NLCIIST1,NLCIIST2,NLCEXP,NLCTS2EXP,NNTPP,NTPL,MAPS,KHSTPP-II,KHSTPP-I,FSTPP I & II,BRBCL,TALA,SASAN
1,00:00-00:15,0,25.1775,19.985,0,0,31.897382,26.39091,341.564563,32.957704,0,19.887,26.2683,0,19.8648,0,0,554.4,8.874,58.59,0,0,0,92,103.5,0,123.665625,0.61216,49.68,0,0,0,13.363,6.6612,0,40.95,0,0,0,32.88,26.304,7.672,0,21.72,38.01,5.43,0,0,0,0,0,0,0,0,0,140.62,0,0,0,0,0,0,0,0,0,49.171875,44.918,14.253199,20.0018,4.557,418.77

2,00:15-00:30,0,25.1775,19.985,0,0,31.897382,26.39091,341.564563,32.957704,0,19.887,26.2683,0,19.8648,0,0,554.4,8.874,58.59,0,0,0,92,103.5,0,123.665625,0.61216,49.68,0,0,0,13.363,6.6612,0,40.95,0,0,0,32.88,26.304,7.672,0,21.72,38.01,5.43,0,0,0,0,0,0,0,0,0,140.62,0,0,0,0,0,0,0,0,0,49.171875,44.918,14.253199,20.0018,4.557,418.77

3,00:30-00:45,0,25.1775,19.985,0,0,31.897382,26.39091,341.564563,32.957704,0,19.887,26.2683,0,19.8648,0,0,554.4,8.874,58.59,0,0,0,92,103.5,0,123.665625,0.61216,11.04,0,0,0,13.363,6.6612,0,40.95,0,0,0,32.88,26.304,7.672,0,21.72,38.01,5.43,0,0,0,0,0,0,0,0,0,140.62,0,0,0,0,0,0,0,0,0,49.171875,44.918,14.253199,20.0018,4.557,418.77

4,00:45-01:00,0,25.1775,19.985,0,0,31.897382,26.39091,341.564563,32.957704,0,19.887,26.2683,0,19.8648,0,0,554.4,8.874,58.59,0,0,0,92,103.5,0,123.665625,0.61216,15.456,0,0,0,13.363,6.6612,0,40.95,0,0,0,32.88,26.304,7.672,0,21.72,38.01,5.43,0,0,0,0,0,0,0,0,0,140.62,0,0,0,0,0,0,0,0,0,49.171875,44.918,14.253199,20.0018,4.557,418.77

5,01:00-01:15,0,25.1775,19.985,0,0,14.7972,26.39091,341.564563,32.957704,0,19.887,26.2683,0,19.8648,0,0,554.4,8.874,58.59,0,0,0,92,103.5,0,123.665625,0.61216,15.456,0,0,0,13.363,6.6612,0,40.95,0,0,0,32.88,26.304,7.672,0,21.72,38.01,5.43,0,0,0,0,0,0,0,0,0,140.62,0,0,0,0,0,0,0,0,0,49.171875,44.918,14.253199,20.0018,4.557,418.77

6,01:15-01:30,0,25.1775,19.985,0,0,14.7972,26.39091,341.564563,32.957704,0,19.887,26.2683,0,19.8648,0,0,554.4,8.874,58.59,0,0,0,92,103.5,0,123.665625,0.61216,15.456,0,0,0,13.363,6.6612,0,40.95,0,0,0,32.88,26.304,7.672,0,21.72,38.01,5.43,0,0,0,0,0,0,0,0,0,140.62,0,0,0,0,0,0,0,0,0,49.171875,44.918,14.253199,20.0018,4.557,418.77

7,01:30-01:45,0,25.1775,19.985,0,0,14.7972,26.39091,341.564563,32.957704,0,19.887,26.2683,0,19.8648,0,0,554.4,8.874,58.59,0,0,0,92,103.5,0,123.665625,0.61216,15.456,0,0,0,13.363,6.6612,0,40.95,0,0,0,32.88,26.304,7.672,0,21.72,38.01,5.43,0,0,0,0,0,0,0,0,0,140.62,0,0,0,0,0,0,0,0,0,49.171875,44.918,14.253199,20.0018,4.557,418.77

