Time,Block,NR/01072024/31072024/APPCPL/180/F25/TGNA/3250,NR/01102023/23072042/L_NR_2012_04,NR/01072024/31072024/IIPL/JPL(TM)-BRPL/BRPLT-169/24-25/02,NR/01072024/31072024/	NR/01072024/31072024/TataPower-DDL/PMG/MSEDCL/Banking/12112023,NR/01072024/31072024/Chanju/TPDDL/Jul01072024,NR/01072024/31072024/R2,NR/01072024/15072024/NR/01072024/15072024/717759,NR/01072024/31072024/NDMC/D-55/EE(POWER)2024,NR/01102023/25122043/GNA_MEJA_DELHI,NR/01072024/31072024/IIPL/JPL(SH)-BRPL/BRPL T-249/24-25/1,NR/01072024/31072024/NDMC/D-54/EE(POWER)2024,NR/30092023/31122025/SH-07,NR/01072024/04072024/1000011434-JITPL-BRPL(DISCOM),NR/30092023/26122029/SH-06,NR/2024/21160/A/24721,NR/2024/21076/A/25020,NR/2024/21075/A/25025,NR/2024/21023/A/24719,NR/2024/21152/A/24656,NR/2024/21186/A/24976,NR/2024/21089/A/24962,NR/2024/21156/A/24728,NR/2024/21087/A/24834,NR/2024/21287/C,NR/2024/21173/A/24862,NR/2024/20966/A/24657,NR/2024/21148/A/24723,NR/2024/20930/A/24881,NR/2024/21280/C,NR/2024/21096/A/24941,NR/2024/21227/A/24933,NR/2024/20877/A/24977,NR/2024/21210/A/24992,NR/2024/21290/C,NR/2024/21144/A/24855,NR/2024/21183/A/25023,NR/2024/21199/A/24863,NR/01102023/14082046/L_NR_2021_16,NR/01102023/02012046/L_NR_2021_17,NR/2024/21291/C,NR/2024/21103/A/24937,NR/2024/21159/A/24884,NR/2024/20711/A/24882,NR/2024/21072/A/24963,NR/2024/21243/A/24900,NR/2024/21113/A/24961,NR/2024/21158/A/24687,NR/2024/20574/A/24929,NR/2024/21104/A/24931,NR/2024/21310/C,NR/2024/21141/A/24998,NR/2024/21292/C,NR/2024/21238/A/25027,NR/2024/20573/A/24921,NR/2024/21146/A/24722,NR/2024/19779/A/24670,NR/2024/21150/A/24724,NR/2024/21153/A/24726,NR/2024/21099/A/25006,NR/2024/21142/A/24995,NR/2024/20688/A/24861,NR/2024/21062/A/24940,NR/2024/21108/A/24925,Total
69,17:00-17:15,0.000000,0.000000,0.000000,0.000000,11.320000,0.000000,0.000000,24.830000,0.000000,0.000000,12.420000,26.910000,0.000000,26.910000,0.970000,90.610000,11.710000,96.390000,1.930000,48.200000,37.240000,0.610000,24.100000,240.980000,24.100000,4.820000,0.520000,192.780000,96.390000,120.490000,0.000000,96.390000,48.200000,2.12,0.480000,21.210000,72.290000,0,0,24.100000,84.030000,0.880000,96.390000,37.240000,134.950000,37.240000,0.670000,0.000000,64.660000,0.000000,0.000000,168.440000,2.890000,0.000000,0.360000,0.870000,0.880000,1.590000,24.100000,48.200000,66.690000,24.100000,24.020000,2177.22

70,17:15-17:30,0.000000,0.000000,0.000000,0.000000,11.320000,0.000000,0.000000,24.830000,0.000000,0.000000,12.420000,26.910000,0.000000,26.910000,0.970000,90.610000,11.710000,96.390000,1.930000,48.200000,37.240000,0.610000,24.100000,240.980000,24.100000,4.820000,0.520000,192.780000,96.390000,120.490000,0.000000,96.390000,48.200000,2.48,0.480000,21.210000,72.290000,0,0,24.100000,84.030000,0.880000,96.390000,37.240000,134.950000,37.240000,0.670000,0.000000,64.660000,0.000000,0.000000,168.440000,2.890000,0.000000,0.360000,0.870000,0.880000,1.590000,24.100000,48.200000,66.690000,24.100000,24.020000,2177.58

71,17:30-17:45,0.000000,0.000000,0.000000,0.000000,11.320000,0.000000,0.000000,24.830000,0.000000,0.000000,12.420000,26.910000,0.000000,26.910000,0.970000,90.610000,11.710000,96.390000,1.930000,48.200000,37.240000,0.610000,24.100000,240.980000,24.100000,4.820000,0.520000,192.780000,96.390000,120.490000,0.000000,96.390000,48.200000,2.34,0.480000,21.210000,72.290000,0,0,24.100000,84.030000,0.880000,96.390000,37.240000,134.950000,37.240000,0.670000,0.000000,64.660000,0.000000,0.000000,168.440000,2.890000,0.000000,0.360000,0.870000,0.880000,1.590000,24.100000,48.200000,66.690000,24.100000,24.020000,2177.44

72,17:45-18:00,0.000000,0.000000,0.000000,0.000000,11.320000,0.000000,0.000000,24.830000,0.000000,0.000000,12.420000,26.910000,0.000000,26.910000,0.970000,90.610000,11.710000,96.390000,1.930000,48.200000,37.240000,0.610000,24.100000,240.980000,24.100000,4.820000,0.520000,192.780000,96.390000,120.490000,0.000000,96.390000,48.200000,1.09,0.480000,21.210000,72.290000,0,0,24.100000,84.030000,0.880000,96.390000,37.240000,134.950000,37.240000,0.670000,0.000000,64.660000,0.000000,0.000000,168.440000,2.890000,0.000000,0.360000,0.870000,0.880000,1.590000,24.100000,48.200000,66.690000,24.100000,24.020000,2176.19

73,18:00-18:15,0.000000,0.000000,96.390000,0.000000,18.030000,24.100000,192.780000,24.830000,0.000000,72.290000,12.420000,26.910000,96.390000,26.910000,0.970000,90.610000,0.000000,0.000000,1.930000,48.200000,37.240000,0.610000,24.100000,240.980000,24.100000,4.820000,0.520000,0.000000,0.000000,120.490000,0.000000,96.390000,48.200000,0.74,0.480000,21.210000,0.000000,0,0,4.820000,84.030000,0.880000,96.390000,37.240000,134.950000,37.240000,0.670000,0.000000,64.660000,0.000000,47.670000,168.440000,2.890000,0.000000,0.360000,0.870000,0.880000,1.590000,24.100000,48.200000,66.690000,0.000000,24.020000,2199.23

74,18:15-18:30,0.000000,0.000000,96.390000,0.000000,18.030000,24.100000,192.780000,24.830000,0.000000,72.290000,12.420000,26.910000,96.390000,26.910000,0.970000,90.610000,0.000000,0.000000,1.930000,48.200000,37.240000,0.610000,24.100000,240.980000,24.100000,4.820000,0.520000,0.000000,0.000000,120.490000,0.000000,96.390000,48.200000,0.67,0.480000,21.210000,0.000000,0,0,4.820000,84.030000,0.880000,96.390000,37.240000,134.950000,37.240000,0.670000,0.000000,64.660000,0.000000,47.670000,168.440000,2.890000,0.000000,0.360000,0.870000,0.880000,1.590000,24.100000,48.200000,66.690000,0.000000,24.020000,2199.16

75,18:30-18:45,0.000000,0.000000,96.390000,0.000000,18.030000,24.100000,192.780000,24.830000,0.000000,72.290000,12.420000,26.910000,96.390000,26.910000,0.970000,90.610000,0.000000,0.000000,1.930000,48.200000,37.240000,0.610000,24.100000,240.980000,24.100000,4.820000,0.520000,0.000000,0.000000,91.570000,0.000000,96.390000,48.200000,0.34,0.480000,21.210000,0.000000,0,0,4.820000,84.030000,0.880000,96.390000,37.240000,134.950000,37.240000,0.670000,0.000000,64.660000,0.000000,47.670000,168.440000,2.890000,0.000000,0.360000,0.870000,0.880000,1.590000,24.100000,48.200000,66.690000,0.000000,24.020000,2169.91

76,18:45-19:00,0.000000,0.000000,96.390000,0.000000,18.030000,24.100000,192.780000,24.830000,0.000000,72.290000,12.420000,26.910000,96.390000,26.910000,0.970000,90.610000,0.000000,0.000000,1.930000,48.200000,37.240000,0.610000,24.100000,240.980000,24.100000,4.820000,0.520000,0.000000,0.000000,91.570000,0.000000,96.390000,48.200000,0,0.480000,21.210000,0.000000,0,0,4.820000,84.030000,0.880000,96.390000,37.240000,134.950000,37.240000,0.670000,0.000000,64.660000,0.000000,47.670000,168.440000,2.890000,0.000000,0.360000,0.870000,0.880000,1.590000,24.100000,48.200000,66.690000,0.000000,24.020000,2169.57

77,19:00-19:15,0.000000,0.000000,96.390000,0.000000,18.680000,24.100000,192.780000,24.830000,0.000000,72.290000,12.420000,26.910000,96.390000,26.910000,0.970000,90.610000,0.000000,0.000000,1.930000,48.200000,37.240000,0.610000,24.100000,240.980000,24.100000,4.820000,0.520000,0.000000,0.000000,91.570000,0.000000,96.390000,48.200000,0,0.480000,21.210000,0.000000,0,0,4.820000,84.030000,0.880000,96.390000,37.240000,134.950000,37.240000,0.670000,0.000000,64.660000,0.000000,47.670000,168.440000,2.890000,0.000000,0.360000,0.920000,0.880000,1.590000,24.100000,48.200000,66.690000,0.000000,24.020000,2170.27

78,19:15-19:30,0.000000,0.000000,96.390000,0.000000,18.680000,24.100000,192.780000,24.830000,0.000000,72.290000,12.420000,26.540000,96.390000,26.540000,0.970000,90.610000,0.000000,0.000000,1.930000,48.200000,37.240000,0.610000,24.100000,240.980000,24.100000,4.820000,0.520000,0.000000,0.000000,91.570000,0.000000,96.390000,48.200000,0,0.480000,21.210000,0.000000,0,0,4.820000,84.030000,0.880000,96.390000,37.240000,134.950000,37.240000,0.670000,0.000000,64.660000,0.000000,47.670000,168.440000,2.890000,0.000000,0.360000,0.920000,0.880000,1.590000,24.100000,48.200000,66.690000,0.000000,24.020000,2169.53

79,19:30-19:45,0.000000,0.000000,96.390000,0.000000,18.680000,24.100000,192.780000,24.830000,0.000000,72.290000,12.420000,26.540000,96.390000,26.540000,0.970000,90.610000,0.000000,0.000000,1.930000,48.200000,37.240000,0.610000,24.100000,240.980000,24.100000,4.820000,0.520000,0.000000,0.000000,91.570000,0.000000,96.390000,48.200000,0,0.480000,21.210000,0.000000,0,0,4.820000,84.030000,0.880000,96.390000,37.240000,134.950000,37.240000,0.670000,0.000000,64.660000,0.000000,47.670000,168.440000,2.890000,0.000000,0.360000,0.920000,0.880000,1.590000,24.100000,48.200000,66.690000,0.000000,24.020000,2169.53

80,19:45-20:00,0.000000,0.000000,96.390000,0.000000,18.680000,24.100000,192.780000,24.830000,0.000000,72.290000,12.420000,22.280000,96.390000,22.280000,0.970000,90.610000,0.000000,0.000000,1.930000,48.200000,37.240000,0.610000,24.100000,240.980000,24.100000,4.820000,0.520000,0.000000,0.000000,91.570000,0.000000,96.390000,48.200000,0,0.480000,21.210000,0.000000,0,0,4.820000,84.030000,0.880000,96.390000,37.240000,134.950000,37.240000,0.670000,0.000000,64.660000,0.000000,47.670000,168.440000,2.890000,0.000000,0.360000,0.920000,0.880000,1.590000,24.100000,48.200000,66.690000,0.000000,24.020000,2161.01

81,20:00-20:15,0.000000,0.000000,96.390000,0.000000,18.680000,24.100000,192.780000,24.830000,0.000000,72.290000,12.420000,7.340000,96.390000,7.340000,0.970000,90.610000,0.000000,0.000000,1.930000,48.200000,37.240000,0.610000,24.100000,240.980000,24.100000,4.820000,0.520000,0.000000,0.000000,91.570000,0.000000,96.390000,48.200000,0,0.480000,21.210000,0.000000,0,0,4.820000,84.030000,0.880000,96.390000,37.240000,134.950000,37.240000,0.670000,0.000000,64.660000,0.000000,47.670000,168.440000,2.890000,0.000000,0.360000,0.920000,0.880000,1.590000,24.100000,48.200000,66.690000,0.000000,24.020000,2131.13

82,20:15-20:30,0.000000,0.000000,96.390000,0.000000,18.680000,24.100000,192.780000,24.830000,0.000000,72.290000,12.420000,7.340000,96.390000,7.340000,0.970000,90.610000,0.000000,0.000000,1.930000,48.200000,37.240000,0.610000,24.100000,240.980000,24.100000,4.820000,0.520000,0.000000,0.000000,91.570000,0.000000,96.390000,48.200000,0,0.480000,21.210000,0.000000,0,0,4.820000,84.030000,0.880000,96.390000,37.240000,134.950000,37.240000,0.670000,0.000000,64.660000,0.000000,47.670000,168.440000,2.890000,0.000000,0.360000,0.920000,0.880000,1.590000,24.100000,48.200000,66.690000,0.000000,24.020000,2131.13

83,20:30-20:45,0.000000,0.000000,96.390000,0.000000,18.680000,24.100000,192.780000,24.830000,0.000000,72.290000,12.420000,7.340000,96.390000,7.340000,0.970000,90.610000,0.000000,0.000000,1.930000,48.200000,37.240000,0.610000,24.100000,240.980000,24.100000,4.820000,0.520000,0.000000,0.000000,91.570000,0.000000,96.390000,48.200000,0,0.480000,21.210000,0.000000,0,0,4.820000,84.030000,0.880000,96.390000,37.240000,134.950000,37.240000,0.670000,0.000000,64.660000,0.000000,47.670000,168.440000,2.890000,0.000000,0.360000,0.920000,0.880000,1.590000,24.100000,48.200000,66.690000,0.000000,24.020000,2131.13

84,20:45-21:00,0.000000,0.000000,96.390000,0.000000,18.680000,24.100000,192.780000,24.830000,0.000000,72.290000,12.420000,7.340000,96.390000,7.340000,0.970000,90.610000,0.000000,0.000000,1.930000,48.200000,37.240000,0.610000,24.100000,240.980000,24.100000,4.820000,0.520000,0.000000,0.000000,91.570000,0.000000,96.390000,48.200000,0,0.480000,21.210000,0.000000,0,0,4.820000,84.030000,0.880000,96.390000,37.240000,134.950000,37.240000,0.670000,0.000000,64.660000,0.000000,47.670000,168.440000,2.890000,0.000000,0.360000,0.920000,0.880000,1.590000,24.100000,48.200000,66.690000,0.000000,24.020000,2131.13

85,21:00-21:15,0.000000,0.000000,96.390000,0.000000,18.680000,24.100000,192.780000,24.830000,0.000000,72.290000,12.420000,32.000000,96.390000,0.000000,0.970000,90.610000,0.000000,0.000000,1.930000,48.200000,37.240000,0.610000,24.100000,240.980000,24.100000,4.820000,0.520000,0.000000,0.000000,91.570000,0.000000,96.390000,48.200000,0,0.480000,21.210000,0.000000,0,0,4.820000,84.030000,0.880000,96.390000,37.240000,134.950000,37.240000,0.670000,0.000000,64.660000,96.390000,47.670000,168.440000,2.890000,0.000000,0.360000,0.920000,0.880000,1.590000,24.100000,48.200000,66.690000,0.000000,24.020000,2244.84

86,21:15-21:30,0.000000,0.000000,96.390000,0.000000,18.680000,24.100000,192.780000,24.830000,0.000000,72.290000,12.420000,32.000000,96.390000,0.000000,0.970000,90.610000,0.000000,0.000000,1.930000,48.200000,37.240000,0.610000,24.100000,240.980000,24.100000,4.820000,0.520000,0.000000,0.000000,91.570000,0.000000,96.390000,48.200000,0,0.480000,21.210000,0.000000,0,0,4.820000,84.030000,0.880000,96.390000,37.240000,134.950000,37.240000,0.670000,0.000000,64.660000,96.390000,47.670000,168.440000,2.890000,0.000000,0.360000,0.920000,0.880000,1.590000,24.100000,48.200000,66.690000,0.000000,24.020000,2244.84

87,21:30-21:45,0.000000,0.000000,96.390000,0.000000,18.680000,24.100000,192.780000,24.830000,0.000000,72.290000,12.420000,32.000000,96.390000,0.000000,0.970000,90.610000,0.000000,0.000000,1.930000,48.200000,37.240000,0.610000,24.100000,240.980000,24.100000,4.820000,0.520000,0.000000,0.000000,91.570000,0.000000,96.390000,48.200000,0,0.480000,21.210000,0.000000,0,0,4.820000,84.030000,0.880000,96.390000,37.240000,134.950000,37.240000,0.670000,0.000000,64.660000,96.390000,47.670000,168.440000,2.890000,0.000000,0.360000,0.920000,0.880000,1.590000,24.100000,48.200000,66.690000,0.000000,24.020000,2244.84

88,21:45-22:00,0.000000,0.000000,96.390000,0.000000,18.680000,24.100000,192.780000,24.830000,0.000000,72.290000,12.420000,32.000000,96.390000,0.000000,0.970000,90.610000,0.000000,0.000000,1.930000,48.200000,37.240000,0.610000,24.100000,240.980000,24.100000,4.820000,0.520000,0.000000,0.000000,91.570000,0.000000,96.390000,48.200000,0,0.480000,21.210000,0.000000,0,0,4.820000,84.030000,0.880000,96.390000,37.240000,134.950000,37.240000,0.670000,0.000000,64.660000,96.390000,47.670000,168.440000,2.890000,0.000000,0.360000,0.920000,0.880000,1.590000,24.100000,48.200000,66.690000,0.000000,24.020000,2244.84

89,22:00-22:15,0.000000,0.000000,96.390000,0.000000,18.680000,24.100000,192.780000,24.830000,0.000000,72.290000,12.420000,32.000000,96.390000,0.000000,0.970000,90.610000,0.000000,0.000000,1.930000,48.200000,37.240000,0.610000,24.100000,240.980000,24.100000,4.820000,0.520000,0.000000,0.000000,91.570000,12.190000,96.390000,48.200000,0,0.480000,21.210000,0.000000,0,0,4.820000,84.030000,0.880000,96.390000,37.240000,134.950000,37.240000,0.670000,24.100000,64.660000,144.580000,47.670000,168.440000,2.890000,72.290000,0.360000,0.920000,0.880000,1.590000,24.100000,48.200000,66.690000,0.000000,24.020000,2401.61

90,22:15-22:30,0.000000,0.000000,96.390000,0.000000,18.680000,24.100000,192.780000,24.830000,0.000000,72.290000,12.420000,32.000000,96.390000,0.000000,0.970000,90.610000,0.000000,0.000000,1.930000,48.200000,37.240000,0.610000,24.100000,240.980000,24.100000,4.820000,0.520000,0.000000,0.000000,91.570000,12.190000,96.390000,48.200000,0,0.480000,21.210000,0.000000,0,0,4.820000,84.030000,0.880000,96.390000,37.240000,134.950000,37.240000,0.670000,24.100000,64.660000,144.580000,47.670000,168.440000,2.890000,72.290000,0.360000,0.920000,0.880000,1.590000,24.100000,48.200000,66.690000,0.000000,24.020000,2401.61

91,22:30-22:45,0.000000,0.000000,96.390000,0.000000,18.680000,24.100000,192.780000,24.830000,0.000000,72.290000,12.420000,32.000000,96.390000,0.000000,0.970000,90.610000,0.000000,0.000000,1.930000,48.200000,37.240000,0.610000,24.100000,240.980000,24.100000,4.820000,0.520000,0.000000,0.000000,308.450000,12.190000,96.390000,48.200000,0,0.480000,21.210000,0.000000,0,0,4.820000,84.030000,0.880000,96.390000,37.240000,134.950000,37.240000,0.670000,24.100000,64.660000,144.580000,47.670000,168.440000,2.890000,72.290000,0.360000,0.920000,0.880000,1.590000,24.100000,48.200000,66.690000,0.000000,24.020000,2618.49

92,22:45-23:00,0.000000,0.000000,96.390000,0.000000,18.680000,24.100000,192.780000,24.830000,0.000000,72.290000,12.420000,32.000000,96.390000,0.000000,0.970000,90.610000,0.000000,0.000000,1.930000,48.200000,37.240000,0.610000,24.100000,240.980000,24.100000,4.820000,0.520000,0.000000,0.000000,308.450000,12.190000,96.390000,48.200000,0,0.480000,21.210000,0.000000,0,0,4.820000,84.030000,0.880000,96.390000,37.240000,134.950000,37.240000,0.670000,24.100000,64.660000,144.580000,47.670000,168.440000,2.890000,72.290000,0.360000,0.920000,0.880000,1.590000,24.100000,48.200000,66.690000,0.000000,24.020000,2618.49

93,23:00-23:15,0.000000,0.000000,96.390000,0.000000,18.680000,24.100000,192.780000,24.830000,0.000000,72.290000,12.420000,32.000000,96.390000,0.000000,0.970000,90.610000,0.000000,0.000000,1.930000,48.200000,37.240000,0.610000,24.100000,240.980000,24.100000,4.820000,0.520000,0.000000,0.000000,308.450000,12.190000,96.390000,48.200000,0,0.480000,21.210000,0.000000,0,0,4.820000,84.030000,0.880000,96.390000,37.240000,134.950000,37.240000,0.670000,24.100000,64.660000,144.580000,47.670000,168.440000,2.890000,72.290000,0.360000,0.870000,0.880000,1.590000,24.100000,48.200000,66.690000,0.000000,24.020000,2618.44

94,23:15-23:30,0.000000,0.000000,96.390000,0.000000,18.680000,24.100000,192.780000,24.830000,0.000000,72.290000,12.420000,32.000000,96.390000,0.000000,0.970000,90.610000,0.000000,0.000000,1.930000,48.200000,37.240000,0.610000,24.100000,240.980000,24.100000,4.820000,0.520000,0.000000,0.000000,308.450000,12.190000,96.390000,48.200000,0,0.480000,21.210000,0.000000,0,0,4.820000,84.030000,0.880000,96.390000,37.240000,134.950000,37.240000,0.670000,24.100000,64.660000,144.580000,47.670000,168.440000,2.890000,72.290000,0.360000,0.870000,0.880000,1.590000,24.100000,48.200000,66.690000,0.000000,24.020000,2618.44

95,23:30-23:45,0.000000,0.000000,96.390000,0.000000,18.680000,24.100000,192.780000,24.830000,0.000000,72.290000,12.420000,32.000000,96.390000,30.500000,0.970000,90.610000,0.000000,0.000000,1.930000,48.200000,37.240000,0.610000,24.100000,240.980000,24.100000,4.820000,0.520000,0.000000,0.000000,308.450000,12.190000,96.390000,48.200000,0,0.480000,21.210000,0.000000,0,0,4.820000,84.030000,0.880000,96.390000,37.240000,134.950000,37.240000,0.670000,24.100000,64.660000,144.580000,47.670000,168.440000,2.890000,72.290000,0.360000,0.870000,0.880000,1.590000,24.100000,48.200000,66.690000,0.000000,24.020000,2648.94

96,23:45-24:00,0.000000,0.000000,96.390000,0.000000,18.680000,24.100000,192.780000,24.830000,0.000000,72.290000,12.420000,32.000000,96.390000,30.500000,0.970000,90.610000,0.000000,0.000000,1.930000,48.200000,37.240000,0.610000,24.100000,240.980000,24.100000,4.820000,0.520000,0.000000,0.000000,308.450000,12.190000,96.390000,48.200000,0,0.480000,21.210000,0.000000,0,0,4.820000,84.030000,0.880000,96.390000,37.240000,134.950000,37.240000,0.670000,24.100000,64.660000,144.580000,47.670000,168.440000,2.890000,72.290000,0.360000,0.870000,0.880000,1.590000,24.100000,48.200000,66.690000,0.000000,24.020000,2648.94

