Column1,Time,NR/01102023/30042040/GNA_LT_36,NR/01102023/19072037/LT-05,GNA/WR/2025/01/01/9606,GNA/WR/2024/11/01/4200,NR/01102023/31102037/L_NR_2019_11,NR/01102023/05012040/L_NR_2020_02,NR/01102023/15082037/GNA_NR_2012_01,NR/01082024/19092033/Chanju/TPDDL/01082024,NR/01102023/30042040/GNA_LT_35,NR/01102023/27052033/DIAPL(L_NR_2023_04),NR/01042024/23072042/NR/01102023/23072042/L_NR_2012_04,GNA/NR/2025/02/01/5886,GNA/NR/2025/02/01/2143,NR/01102023/06022042/L_NR_2012_07,GNA/NR/2025/02/01/2594,NR/30092023/26122029/SH-06,NR/01102023/31052040/LT-31,GNA/WR/2025/01/01/8625,NR/01102023/22052037/LT-59,GNA/SR/2025/02/01/6460,GNA/SR/2025/02/01/7432,GNA/NR/2025/02/01/4863,NR/01102023/06022042/L_NR_2012_02,GNA/NR/2025/02/01/9969,NR/30092023/31122025/SH-07,WR/01102023/01102023/L_NR_2022_09,WR/01102023/01102023/L_NR_2020_06,WR/01102023/30052048/L_NR_2022_10,WR/01102023/16072048/L_NR_2022_08,WR/01102023/24112044/L_NR_2020_07,L_NR_2019_19,GNARE/SR/2025/01/13/4532,WR/01102023/31032046/L_NR_2020_05,NR/22102023/11042047/L_NR_2021_16,NR/22102023/11042047/L_NR_2021_17,NR/26072023/25122043/L_NR_2023_10,NR/01102023/13082046/L_NR_2021_12,NR/26072023/31072042/L_NR_2023_07,NR/01102023/08032047/L_NR_2021_14,GNARE/NR/2024/12/20/3668,WR/01102023/29112042/RUMS(L_NR_2019_07),WR/01102023/29112042/L_NR_2019_05,WR/01102023/29112042/RUMS(L_NR_2019_06),NR/01102023/02122045/L_NR_2021_13,NR/01102023/25072045/L_NR_2021_15
1,00:00-00:15,0,70.04,0,0,0.92,1.25,100.02,1.29,0,26.75,271.47,8.64,23.04,59.36,23.04,26.99,0,0,0.62,75,0,8.64,143.05,23.04,26.99,24,7.83,24,7,7.83,0,8,23.51,0,0,0,0,0,0,0,0,0,0,0,0

2,00:15-00:30,0,70.04,0,0,0.92,1.25,100.02,1.29,0,26.75,271.47,8.64,23.04,59.36,23.04,26.99,0,0,0.62,75,0,8.64,143.05,23.04,26.99,24.33,8.33,24.34,7,8.33,0,7.6,25.01,0,0,0,0,0,0,0,0,0,0,0,0

3,00:30-00:45,0,70.04,0,0,0.92,1.25,100.02,1.29,0,27.25,271.47,8.64,23.04,59.36,23.04,26.99,0,0,0.62,75,0,8.64,143.05,23.04,26.99,24.33,8.67,24.34,7,8.67,0,7,25.99,0,0,0,0,0,0,0,0,0,0,0,0

4,00:45-01:00,0,70.04,0,0,0.92,1.25,100.02,1.29,0,27.25,271.47,8.64,23.04,59.36,23.04,26.99,0,0,0.62,75,0,8.64,143.05,23.04,26.99,24.67,8.83,24.66,7,8.83,0,6.6,26.51,0,0,0,0,0,0,0,0,0,0,0,0

5,01:00-01:15,0,70.04,0,0,0.92,1.2,100.02,1.29,0,27.25,271.47,8.64,23.04,59.36,23.04,26.99,0,0,0.62,75,0,8.64,143.05,23.04,26.99,15,7.5,15,7,7.5,0,6.4,22.5,0,0,0,0,0,0,0,0,0,0,0,0

6,01:15-01:30,0,70.04,0,0,0.92,1.2,81.61,1.29,0,27.25,271.47,8.64,23.04,59.36,23.04,26.99,0,0,0.62,75,0,8.64,143.05,23.04,26.99,15,7.5,15,7,7.5,0,6.4,22.5,0,0,0,0,0,0,0,0,0,0,0,0

7,01:30-01:45,0,70.04,0,0,0.92,1.2,81.61,1.29,0,27.25,271.47,8.64,23.04,59.36,23.04,26.99,0,0,0.62,75,0,8.64,143.05,23.04,26.99,15,7.5,15,7,7.5,0,6.4,22.5,0,0,0,0,0,0,0,0,0,0,0,0

8,01:45-02:00,0,70.04,0,0,0.92,1.2,52.81,1.29,0,27.25,271.47,8.64,23.04,59.36,23.04,26.99,0,0,0.62,75,0,8.64,143.05,23.04,26.99,15,7.5,15,7,7.5,0,6.4,22.5,0,0,0,0,0,0,0,0,0,0,0,0

