Block,Time,NR/01072024/31072024/APPCPL/180/F25/TGNA/3250,NR/01102023/06022042/L_NR_2012_02,NR/01072024/31072024/	NR/01072024/31072024/TataPower-DDL/PMG/MSEDCL/Banking/12112023,NR/05072024/31072024/1000011449-JITPL-BRPL(DISCOM),NR/01102023/25122043/GNA_MEJA_DELHI,NR/01072024/31072024/IIPL/JPL(SH)-BRPL/BRPL T-249/24-25/1,NR/01042024/31072024/LT_MEJA_DELHI,NR/01102023/30042040/GNA_LT_36,NR/01102023/05012040/L_NR_2020_02,NR/01102023/31052040/LT-31,NR/01102023/31102037/L_NR_2019_11,NR/01072024/31072024/NDMC/D-54/EE(POWER)2024,NR/01102023/15082037/GNA_NR_2012_01,NR/01102023/27052033/DIAPL(L_NR_2023_04),NR/01072024/31072024/Chanju/TPDDL/Jul01072024,NR/01102023/22052037/LT-59,NR/01072024/31072024/IIPL/JPL(TM)-BRPL/BRPLT-169/24-25/02,NR/01102023/30042040/GNA_LT_35,NR/01102023/19072037/LT-05,NR/01042024/23072042/NR/01102023/23072042/L_NR_2012_04,NR/29072024/29072024/DD20240729NR25886,NR/01102023/23072042/L_NR_2012_04,NR/01102023/06022042/L_NR_2012_07,NR/30092023/31122025/SH-07,NR/01072024/31072024/NDMC/D-55/EE(POWER)2024,NR/30092023/26122029/SH-06,NR/01072024/31072024/R2,NR/16072024/31072024/NR/16072024/31072024/717758,WR/01102023/30052048/L_NR_2022_10,WR/01102023/01102023/L_NR_2022_09,NR/26072023/25122043/L_NR_2023_10,NR/01102023/25072045/L_NR_2021_15,NR/01102023/13082046/L_NR_2021_12,WR/01102023/29112042/RUMS(L_NR_2019_07),WR/01102023/16072048/L_NR_2022_08,NR/22102023/11042047/L_NR_2021_17,WR/01102023/24112044/L_NR_2020_07,SR/01102023/07102043/L_NR_2018_61,WR/01102023/29112042/L_NR_2019_05,NR/26072023/31072042/L_NR_2023_07,NR/01102023/02012046/L_NR_2021_17,WR/01102023/01102023/L_NR_2020_06,L_NR_2019_19,NR/01102023/08032047/L_NR_2021_14,WR/01102023/29112042/RUMS(L_NR_2019_06),NR/01102023/02122045/L_NR_2021_13,NR/01102023/14082046/L_NR_2021_16,NR/22102023/11042047/L_NR_2021_16,WR/01102023/31032046/L_NR_2020_05
1,00:00-00:15,38.530000,258.700000,0.000000,96.320000,0.000000,72.240000,14.680000,0.000000,6.300000,0.000000,6.900000,12.410000,100.350000,30.270000,13.610000,10.080000,96.320000,0.000000,115.140000,272.340000,67.420000,0.000000,86.880000,30.820000,14.720000,30.820000,24.080000,48.160000,25.67,25.67,0,0,0,0,13,0,12.67,43.01,0,0,0,12.66,0,0,0,0,0,0,38

2,00:15-00:30,38.530000,258.700000,0.000000,96.320000,0.000000,72.240000,14.680000,0.000000,6.300000,0.000000,6.900000,12.410000,100.350000,30.270000,13.610000,10.080000,96.320000,0.000000,115.140000,272.340000,67.420000,0.000000,86.880000,30.820000,14.720000,30.820000,24.080000,48.160000,25.67,25.67,0,0,0,0,12.66,0,12.5,43.01,0,0,0,12.5,0,0,0,0,0,0,37.5

3,00:30-00:45,38.530000,258.700000,0.000000,96.320000,0.000000,72.240000,14.680000,0.000000,6.300000,0.000000,6.900000,12.410000,100.350000,30.270000,13.610000,10.080000,96.320000,0.000000,115.140000,272.340000,67.420000,0.000000,86.880000,30.820000,14.720000,30.820000,24.080000,48.160000,25.33,25.33,0,0,0,0,12.66,0,12.5,43.01,0,0,0,12.5,0,0,0,0,0,0,37.5

4,00:45-01:00,38.530000,258.700000,0.000000,96.320000,0.000000,72.240000,14.680000,0.000000,6.300000,0.000000,6.900000,12.410000,100.350000,30.270000,13.610000,10.080000,96.320000,0.000000,115.140000,272.340000,67.420000,0.000000,86.880000,30.820000,14.720000,30.820000,24.080000,48.160000,25.33,25.33,0,0,0,0,12.66,0,12.33,43.01,0,0,0,12.34,0,0,0,0,0,0,37

5,01:00-01:15,38.530000,258.700000,0.000000,96.320000,0.000000,72.240000,14.680000,0.000000,6.120000,0.000000,6.510000,12.410000,100.350000,30.270000,13.610000,9.920000,96.320000,0.000000,115.140000,272.340000,67.420000,0.000000,86.880000,0.000000,14.720000,30.820000,24.080000,48.160000,25,25,0,0,0,0,12.34,0,12.17,43.01,0,0,0,12.16,0,0,0,0,0,0,36.5

