Block,Time,URI,URI2,RIHAND2,RIHAND3,SEWA2,SINGRAULI,TANAKPUR,TEHRI,UNCHAHAR1,UNCHAHAR3,SALAL,SINGRAULI_HYDRO,UNCHAHAR2,UNCHAHAR4,TANDA2,NAPP,PARBATI3,RAMPUR,RAPPB,RIHAND1,CHAMERA1,CHAMERA2,DADRT2,DULHASTI,JHAJJAR,KISHANGANGA,KOTESHWR,KOLDAM,NJPC,RAPPC,CHAMERA3,DHAULIGNGA,BSIUL,ANTA_GF,ANTA_RF,ANTA_LF,ANTA_CRF,DADRI_GF,DADRI_RF,DADRI_LF,DADRI_CRF,AURY_GF,AURY_RF,AURY_LF,AURY_CRF,KGSU3AND4,KKNP,MAPS,KGSU1AND2,KKNPPU2,NLCTS2EXP,NNTPP,NTPL,RSTPSU1TO6,RSTPSU7,TALST2,SIMHST1,SIMHST2,KUDGI,TelanganaSTPP,VALLURNTECL,NLCIIST1,NLCIIST2,NLCEXP,FSTPP I & II,KHSTPP-I,KHSTPP-II,TALA,BRBCL,SASAN
1,00:00-00:15,36.432,37.89052,124.384996,130.580717,0,148.982313,12.1695,0,21.01977,27.63898,76.692,1.169503,21.329378,3.094586,5.091606,49.506309,4.272092,6.745515,0,97.055943,42.14808,48.499829,548.115948,59.175403,422.443785,8.340651,0,10.235073,179.962454,68.326639,34.831253,43.536137,6.5208,0,50.442396,0,0,0,76.039376,0,0,0,58.184191,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.300737,44.311,148.202375,4.0278,15.00135,275.625

2,00:15-00:30,36.432,37.89052,124.384996,130.580717,0,148.982313,12.1695,0,21.01977,27.63898,76.692,1.169503,21.329378,3.094586,5.091606,49.506309,4.272092,6.745515,0,97.055943,42.14808,48.499829,548.115948,59.175403,422.443785,8.340651,0,10.235073,179.962454,68.326639,34.831253,43.536137,6.5208,0,50.442396,0,0,0,76.039376,0,0,0,58.184191,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.300737,44.311,148.202375,4.0278,15.00135,275.625

3,00:30-00:45,36.432,37.89052,124.384996,130.580717,0,148.982313,12.1695,0,21.01977,27.63898,72.044,1.169503,21.329378,3.094586,5.091606,49.506309,4.272092,6.745515,0,97.055943,42.14808,48.499829,548.115948,59.175403,422.443785,8.340651,0,10.235073,179.962454,68.326639,34.831253,43.536137,6.5208,0,50.442396,0,0,0,76.039376,0,0,0,58.184191,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.300737,44.311,148.202375,5.7918,15.00135,275.625

4,00:45-01:00,36.432,37.89052,124.384996,130.580717,0,148.982313,12.1695,0,21.01977,27.63898,72.044,1.169503,21.329378,3.094586,5.091606,49.506309,4.272092,6.745515,0,97.055943,42.14808,48.499829,548.115948,59.175403,422.443785,8.340651,0,10.235073,179.962454,68.326639,34.831253,43.536137,6.5208,0,50.442396,0,0,0,76.039376,0,0,0,58.184191,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.300737,44.311,148.202375,5.7918,15.00135,275.625

5,01:00-01:15,36.432,37.89052,124.384996,130.580717,0,148.982313,10.248,0,21.01977,27.63898,72.044,1.169503,21.329378,3.094586,5.091606,49.506309,4.272092,6.745515,0,97.055943,42.14808,48.499829,548.715948,59.175403,422.443785,8.340651,0,10.235073,179.962454,68.326639,34.831253,43.536137,13.0416,0,51.094107,0,0,0,76.039376,0,0,0,58.184191,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.300737,44.311,148.202375,4.41,15.00135,275.625

