Time,Block,NR/2024/21371/C,NR/01102023/14082046/L_NR_2021_16,NR/01102023/02012046/L_NR_2021_17,NR/2024/21158/A/25371,NR/2024/20930/A/25545,NR/2024/21113/A/25586,NR/2024/21210/A/25317,NR/2024/21150/A/25361,NR/30092023/26122029/SH-06,NR/01072024/31072024/APPCPL/180/F25/TGNA/3250,NR/2024/21142/A/25316,NR/2024/21339/A/25557,NR/2024/20711/A/25565,NR/2024/21159/A/25370,NR/2024/21373/C,NR/2024/21321/A/25356,NR/2024/21153/A/25372,NR/01072024/31072024/	NR/01072024/31072024/TataPower-DDL/PMG/MSEDCL/Banking/12112023,NR/01102023/23072042/L_NR_2012_04,NR/05072024/31072024/1000011449-JITPL-BRPL(DISCOM),NR/30092023/31122025/SH-07,NR/2024/21108/A/25576,NR/2024/21238/A/25626,NR/2024/21099/A/25313,NR/2024/21023/A/25349,NR/2024/21096/A/25582,NR/2024/21072/A/25588,NR/2024/21199/A/25348,NR/2024/21076/A/25614,NR/2024/21183/A/25617,NR/01072024/31072024/NDMC/D-54/EE(POWER)2024,NR/2024/21243/A/25334,NR/2024/21141/A/25314,NR/2024/21103/A/25579,NR/01102023/25122043/GNA_MEJA_DELHI,NR/01072024/31072024/R2,NR/2024/20966/A/25298,NR/2024/21146/A/25367,NR/2024/21186/A/25598,NR/01072024/31072024/IIPL/JPL(SH)-BRPL/BRPL T-249/24-25/1,NR/01072024/15072024/NR/01072024/15072024/717759,NR/2024/21087/A/25402,NR/2024/21144/A/25345,NR/2024/21148/A/25368,NR/2024/20574/A/25612,NR/2024/21372/C,NR/2024/20877/A/25600,NR/2024/20688/A/25403,NR/2024/19779/A/25325,NR/2024/21075/A/25618,NR/01072024/31072024/NDMC/D-55/EE(POWER)2024,NR/2024/21160/A/25369,NR/2024/21089/A/25587,NR/01072024/31072024/IIPL/JPL(TM)-BRPL/BRPLT-169/24-25/02,NR/01072024/31072024/Chanju/TPDDL/Jul01072024,NR/2024/21062/A/25599,NR/2024/21104/A/25577,NR/2024/21156/A/25373,NR/2024/21227/A/25578,NR/2024/21152/A/25297,NR/2024/20573/A/25613,NR/2024/21173/A/25401,NR/2024/21369/C,Total
,,NVVNL,SECI_Trader,SECI_Trader,MSSH,AEL,NVVNL,TPTCL,BAL234,PUNJAB,APPCPL,TPTCL,TPTCL,TPDDL,MHIL,NVVNL,DIAPL,JHPL-DL,DELHI,TPTCL,TPTCL,BAWANA_GAS,APPCPL,MANIKARAN,TPTCL,INSTINCT,APPCPL,NVVNL,INSTINCT,MANIKARAN,MANIKARAN,NDMC,BRPL,TPTCL,APPCPL,MEJA,PTC,IEXL,BAL184,NVVNL,INSTINCT,AEL,GMRETL,DTCP,BAL224,PTC,NVVNL,NVVNL,GMRETL,ITCLH,MANIKARAN,NDMC,BMDRC,NVVNL,INSTINCT,TPDDL,PTC,APPCPL,UHL,APPCPL,IEXL,PTC,GMRETL,TPDDL,Total

,,NA,NA,NA,HIMACHAL PRADESH,NA,NA,NA,HIMACHAL PRADESH,DELHI,ARUNACHAL PRADESH,HIMACHAL PRADESH,NA,NA,HIMACHAL PRADESH,NA,HIMACHAL PRADESH,HIMACHAL PRADESH,MAHARASHTRA,NA,NA,DELHI,MANIPUR,TAMIL NADU,NA,NA,KERALA,NA,MAHARASHTRA,MAHARASHTRA,MP,NA,NA,MAHARASHTRA,UTTARAKHAND,UTTAR PRADESH,NA,MAHARASHTRA,HIMACHAL PRADESH,MP,MAHARASHTRA,NA,HIMACHAL PRADESH,HIMACHAL PRADESH,HIMACHAL PRADESH,HIMACHAL PRADESH,NA,NA,RAJASTHAN,ANDHRA PRADESH,GOA,NA,HIMACHAL PRADESH,NA,NA,HIMACHAL PRADESH,NA,TAMIL NADU,HIMACHAL PRADESH,NAGALAND,HIMACHAL PRADESH,HIMACHAL PRADESH,ODISHA,NA,
,,SOLAPUR_SOLAR,SBSRPC11PL_BKN,SBSRPC11PL_BKN,SHPPBPL,APL_Raigarh TPP,JPL-2,SIMHAPURI,SHPPBPL,BAWANA_GAS,Arunachal_Ben,HP-GOVT,JITPL,JPL-2,SHPPBPL,KAMENG,GBHHPL,SHPPBPL,MSEB_Beneficiary,MPL,JITPL,BAWANA_GAS,Manipur_Ben,MMS STEEL TN,ACBIL,JPL,KSEB,RKM_POWER,JPL_DHULE,AEML,BLAPOWER_MP,SKS Raigarh,DADRT2,TPC MSEB,UTTARAKHAND,MEJA,SEILP2,A_A_Energy_MH_Bio,SHPPBPL,JP BINA,JPL_DHULE,APL_Raigarh TPP,GBHHPL,SHPPBPL,SHPPBPL,HP,SORANG_HEP,JPNIGRIE_JNSTPP,RUVNL,ITCWIND,GOA_Beneficiary,JITPL,SHPPBPL,RKM_POWER,JPL,CHANJUII,SEILP2,TANGEDCO,SHPPBPL,Nagaland_Ben,NHCPL_HP,HP,GMRKEL (STU),JHAJJAR,
,,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,PUNJAB,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,HARYANA,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,
,,MES (Delhi),TPDDL,BYPL,MSSH,BRPL,NDMC,BRPL,BAL234,PUNJAB,BRPL,BRPL,BRPL,TPDDL,MHIL,TPDDL,DIAPL,JHPL-DL,TPDDL,TPDDL,BRPL,HARYANA,BRPL,BRPL,BRPL,BRPL,BYPL,NDMC,BRPL,BYPL,BRPL,NDMC,BRPL,BYPL,BYPL,DELHI,BRPL,MES (Delhi),BAL184,TPDDL,BRPL,BRPL,BRPL,DTCP,BAL224,BYPL,TPDDL,TPDDL,BYPL,ITCLH,BRPL,NDMC,BMDRC,NDMC,BRPL,TPDDL,BRPL,BYPL,UHL,BYPL,MES (Delhi),BRPL,BRPL,TPDDL,
,,West-North,North-North,North-North,North-North,West-North,West-North,South-West-North,North-North,North-North,North East-East-North,North-North,East-North,West-North,North-North,North East-East-North,North-North,North-North,West-North,East-North,East-North,North-North,North East-East-North,South-West-North,West-North,West-North,South-West-North,West-North,West-North,West-North,West-North,West-North,North-North,West-North,North-North,North-North,South-West-North,West-North,North-North,West-North,West-North,West-North,North-North,North-North,North-North,North-North,North-North,West-North,North-North,South-West-North,West-North,East-North,North-North,West-North,West-North,North-North,South-East-North,South-West-North,North-North,North East-East-North,North-North,North-North,East-North,North-North,
1,00:00-00:15,0,0,0,0.670000,0.000000,37.240000,40.970000,0.880000,32.000000,32.770000,40.970000,0.000000,96.390000,0.880000,168.440000,7.710000,1.590000,0.000000,0.000000,81.930000,32.000000,24.020000,2.890000,20.480000,0.000000,308.450000,37.240000,0.000000,90.610000,18.020000,12.420000,134.950000,47.670000,84.030000,0.000000,20.480000,4.820000,0.360000,48.200000,61.450000,163.860000,20.720000,0.480000,0.520000,24.100000,24.100000,96.390000,66.690000,0.870000,11.710000,14.340000,0.970000,37.240000,81.930000,18.680000,0.000000,64.660000,0.610000,12.190000,1.930000,72.290000,20.720000,240.980000,2466.51

2,00:15-00:30,0,0,0,0.670000,0.000000,37.240000,40.970000,0.880000,32.000000,32.770000,40.970000,0.000000,96.390000,0.880000,168.440000,7.710000,1.590000,0.000000,0.000000,81.930000,32.000000,24.020000,2.890000,20.480000,0.000000,308.450000,37.240000,0.000000,90.610000,18.020000,12.420000,134.950000,47.670000,84.030000,0.000000,20.480000,4.820000,0.360000,48.200000,61.450000,163.860000,20.720000,0.480000,0.520000,24.100000,24.100000,96.390000,66.690000,0.870000,11.710000,14.340000,0.970000,37.240000,81.930000,18.680000,0.000000,64.660000,0.610000,12.190000,1.930000,72.290000,20.720000,240.980000,2466.51
