Block,Time,NR/01102023/23072042/L_NR_2012_04,NR/01102023/05012040/L_NR_2020_02,NR/01102023/22052037/LT-59,NR/01102023/19072037/LT-05,NR/01102023/31052040/LT-31,NR/01102023/15082037/GNA_NR_2012_01,NR/01102023/27052033/DIAPL(L_NR_2023_04),NR/30092023/31122025/SH-07,NR/30092023/26122029/SH-06,NR/01102023/30042040/GNA_LT_35,NR/01102023/31102037/L_NR_2019_11,NR/01102023/06022042/L_NR_2012_02,SR/01102023/07102043/L_NR_2018_61,NR/01102023/25122043/GNA_MEJA_DELHI,NR/01102023/06022042/L_NR_2012_07,NR/01102023/30042040/GNA_LT_36,WR/01102023/31032046/L_NR_2020_05,WR/01102023/30052048/L_NR_2022_10,WR/01102023/29112042/RUMS(L_NR_2019_06),NR/26072023/31072042/L_NR_2023_07,NR/26072023/25122043/L_NR_2023_10,WR/01102023/01102023/L_NR_2020_06,NR/01102023/13082046/L_NR_2021_12,NR/01102023/02012046/L_NR_2021_17,WR/01102023/24112044/L_NR_2020_07,WR/01102023/29112042/L_NR_2019_05,NR/01102023/25072045/L_NR_2021_15,WR/01102023/16072048/L_NR_2022_08,NR/01102023/02122045/L_NR_2021_13,NR/01102023/14082046/L_NR_2021_16,WR/01102023/01102023/L_NR_2022_09,NR/01102023/08032047/L_NR_2021_14
92,22:45-23:00,271.770000,4.370000,4.190000,111.760000,0.000000,101.210000,29.920000,30.920000,0.000000,0.000000,4.000000,194.230000,14.74,0.000000,71.510000,0.000000,30.92,21.5,0,0,0,10.29,0,0,10.31,0,0,16.71,0,0,21.5,0

93,23:00-23:15,271.770000,4.370000,4.190000,111.760000,0.000000,101.210000,29.920000,30.920000,0.000000,0.000000,3.850000,194.230000,14.72,0.000000,71.510000,0.000000,32.61,22.08,0,0,0,10.86,0,0,10.87,0,0,17.51,0,0,22.08,0

94,23:15-23:30,271.770000,4.370000,4.190000,111.760000,0.000000,101.210000,29.920000,30.920000,0.000000,0.000000,3.850000,194.230000,13.86,0.000000,71.510000,0.000000,34.18,22.82,0,0,0,11.39,0,0,11.39,0,0,18.37,0,0,22.82,0

95,23:30-23:45,271.770000,4.370000,4.190000,111.760000,0.000000,101.210000,29.920000,30.920000,0.000000,0.000000,3.850000,194.230000,13.54,0.000000,71.510000,0.000000,36.08,23.5,0,0,0,12.01,0,0,12.03,0,0,18.62,0,0,23.5,0

96,23:45-24:00,271.770000,4.370000,4.190000,111.760000,0.000000,101.210000,29.920000,30.920000,0.000000,0.000000,3.850000,194.230000,13.7,0.000000,71.510000,0.000000,38.82,24.24,0,0,0,12.94,0,0,12.94,0,0,18.87,0,0,24.24,0

