Block,Time,DADRT2,CHAMERA3,CHAMERA2,UNCHAHAR1,UNCHAHAR4,URI2,UNCHAHAR3,UNCHAHAR2,SEWA2,JHAJJAR,RIHAND2,KOTESHWR,PARBATI3,RAMPUR,RIHAND1,DULHASTI,SINGRAULI_HYDRO,KOLDAM,NJPC,RAPPC,TEHRI,DHAULIGNGA,TANDA2,RIHAND3,SINGRAULI,KISHANGANGA,NAPP,CHAMERA1,BSIUL,URI,TANAKPUR,SALAL,RAPPB,DADRI_GF,DADRI_RF,DADRI_LF,DADRI_CRF,AURY_GF,AURY_RF,AURY_LF,AURY_CRF,ANTA_GF,ANTA_RF,ANTA_LF,ANTA_CRF,KUDGI,MAPS,NLCEXP,NLCIIST1,KGSU1AND2,KGSU3AND4,KKNP,KKNPPU2,NLCIIST2,RSTPSU1TO6,RSTPSU7,SIMHST1,SIMHST2,TALST2,TelanganaSTPP,VALLURNTECL,NLCTS2EXP,NNTPP,NTPL,FSTPP I & II,KHSTPP-II,KHSTPP-I,TALA,BRBCL,SASAN
1,00:00-00:15,688.415947,11.598717,16.166609,22.630299,3.094586,37.890519,27.638981,44.906625,9.514482,674.817829,59.388062,10.375318,0,0,97.055943,19.725135,0.758012,0,0,70.509062,25.019931,0,5.534073,130.580717,149.98895,5.493709,52.132639,0,13.0416,38.64,0.2562,2.324,0,0,108.62768,0,0,0,84.266758,0,0,0,52.527866,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20.801072,148.202375,46.39908,0,20.0018,418.77

2,00:15-00:30,688.415947,11.598717,16.166609,22.630299,3.094586,37.890519,27.638981,44.906625,9.514482,674.817829,59.388062,10.375318,0,0,97.055943,19.725135,0.758012,0,0,70.509062,25.019931,0,5.534073,130.580717,149.98895,5.493709,52.132639,0,13.0416,38.64,0.2562,2.324,0,0,108.62768,0,0,0,84.266758,0,0,0,52.527866,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20.801072,148.202375,46.39908,0,20.0018,418.77

3,00:30-00:45,688.415947,11.598717,16.166609,22.630299,3.094586,37.890519,27.638981,44.906625,9.514482,674.817829,59.388062,10.375318,0,0,97.055943,19.725135,0.758012,0,0,70.509062,25.019931,0,5.534073,130.580717,149.98895,5.493709,52.132639,0,13.0416,33.12,0.2562,2.324,0,0,108.62768,0,0,0,84.266758,0,0,0,52.527866,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20.801072,148.202375,46.39908,0,20.0018,418.77

4,00:45-01:00,688.715947,11.598717,16.166609,22.630299,3.094586,37.890519,27.638981,44.906625,9.514482,674.817829,59.388062,10.375318,0,0,97.055943,19.725135,0.758012,0,0,70.509062,25.019931,0,5.534073,130.580717,149.98895,5.493709,52.132639,0,13.0416,33.12,0.2562,12.782,0,0,108.62768,0,0,0,84.266758,0,0,0,52.527866,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20.801072,148.202375,46.39908,0,20.0018,418.77

5,01:00-01:15,688.715947,11.598717,16.166609,22.630299,3.094586,37.890519,27.638981,44.906625,9.514482,569.767032,59.388062,10.375318,0,0,97.055943,19.725135,0.758012,0,0,70.509062,25.019931,0,5.534073,130.580717,149.98895,5.493709,52.132639,0,13.0416,33.12,0,25.564,0,0,108.62768,0,0,0,84.266758,0,0,0,52.527866,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20.801072,148.202375,46.39908,0,20.0018,418.77

