Block,Time,URI,URI2,RIHAND2,RIHAND3,SEWA2,SINGRAULI,TANAKPUR,TEHRI,UNCHAHAR1,UNCHAHAR3,SALAL,SINGRAULI_HYDRO,UNCHAHAR2,UNCHAHAR4,TANDA2,NAPP,PARBATI3,RAMPUR,RAPPB,RIHAND1,CHAMERA1,CHAMERA2,DADRT2,DULHASTI,JHAJJAR,KISHANGANGA,KOTESHWR,KOLDAM,NJPC,RAPPC,CHAMERA3,DHAULIGNGA,BSIUL,ANTA_GF,ANTA_RF,ANTA_LF,ANTA_CRF,DADRI_GF,DADRI_RF,DADRI_LF,DADRI_CRF,AURY_GF,AURY_RF,AURY_LF,AURY_CRF,NLCTS2EXP,NNTPP,NTPL,RSTPSU1TO6,RSTPSU7,SIMHST2,TALST2,TelanganaSTPP,VALLURNTECL,SIMHST1,KGSU1AND2,KGSU3AND4,KKNP,KKNPPU2,KUDGI,MAPS,NLCEXP,NLCIIST1,NLCIIST2,FSTPP I & II,KHSTPP-I,KHSTPP-II,TALA,BRBCL,SASAN
1,00:00-00:15,42.504,37.89052,124.384996,130.580717,0,148.982313,12.9381,66.29485,10.453965,27.63898,83.664,1.191161,43.706625,3.094586,5.534085,49.374993,0,6.745515,0,97.055943,42.14808,48.499829,548.115948,59.175403,422.443785,8.340651,19.597822,10.211652,179.962454,67.823003,34.831253,43.536137,6.5208,0,0,0,52.136844,0,80.112914,0,0,0,60.859326,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.300737,32.171,148.302375,10.143,15.00135,348.975

2,00:15-00:30,42.504,37.89052,124.384996,130.580717,0,148.982313,12.9381,66.29485,10.453965,27.63898,83.664,1.191161,43.706625,3.094586,5.534085,49.374993,0,6.745515,0,97.055943,42.14808,48.499829,548.115948,59.175403,422.443785,8.340651,19.597822,10.211652,179.962454,67.823003,34.831253,43.536137,6.5208,0,0,0,52.136844,0,80.112914,0,0,0,60.859326,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.300737,32.171,148.302375,10.143,15.00135,348.975

3,00:30-00:45,36.432,37.89052,124.384996,130.580717,0,148.982313,12.9381,66.29485,10.453965,27.63898,83.664,1.191161,43.706625,3.094586,5.534085,49.374993,0,6.745515,0,97.055943,42.14808,48.499829,548.115948,59.175403,422.443785,8.340651,19.597822,10.211652,179.962454,67.823003,34.831253,43.536137,6.5208,0,0,0,52.136844,0,80.112914,0,0,0,60.859326,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.300737,32.171,148.302375,10.143,15.00135,348.975

4,00:45-01:00,36.432,37.89052,124.384996,130.580717,0,148.982313,12.9381,66.29485,10.453965,27.63898,83.664,1.191161,43.706625,3.094586,5.534085,49.374993,0,6.745515,0,97.055943,42.14808,48.499829,548.115948,59.175403,422.443785,8.340651,19.597822,10.211652,179.962454,67.823003,34.831253,43.536137,6.5208,0,0,0,52.136844,0,80.112914,0,0,0,60.859326,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.300737,32.171,148.302375,10.143,15.00135,348.975

5,01:00-01:15,42.504,37.89052,124.384996,130.580717,0,148.982313,12.9381,66.29485,10.453965,27.63898,83.664,1.191161,43.706625,3.094586,5.534085,49.374993,0,6.745515,0,97.055943,42.14808,48.499829,548.115948,59.175403,422.443785,8.340651,19.597822,10.211652,179.962454,67.823003,34.831253,43.536137,6.5208,0,0,0,52.136844,0,80.112914,0,0,0,61.52811,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.300737,32.171,148.302375,10.143,15.00135,348.975

