Block,Time,UNCHAHAR2,ANTA_LF,ANTA_GF,DADRI_LF,AURY_GF,KOLDAM,UNCHAHAR4,RAPPB,DADRI_CRF,PARBATI3,URI2,CHAMERA3,SEWA2,BSIUL,SINGRAULI,AURY_RF,TANAKPUR,RAPPC,TEHRI,URI,RAMPUR,SALAL,SASAN,BRBCL,KHSTPP-II,FSTPP I & II,TALA,KHSTPP-I,AURY_CRF,RIHAND2,ANTA_CRF,DADRT2,TANDA2,DADRI_RF,RIHAND1,NJPC,DULHASTI,DHAULIGNGA,UNCHAHAR3,ANTA_RF,DADRI_GF,AURY_LF,CHAMERA2,CHAMERA1,SINGRAULI_HYDRO,RIHAND3,KOTESHWR,NAPP,JHAJJAR,KISHANGANGA,UNCHAHAR1,ISGS Total,Inj. Loss,Drw. Loss,Total Loss,Net
18,04:15-04:30,29.210210,0.000000,0.000000,0.000000,0.000000,9.850160,2.342531,0.000000,0.000000,4.120860,26.203454,33.598227,0.000000,6.289964,113.577309,0.000000,1.853479,65.584005,62.103359,34.077389,6.506724,76.218834,327.722850,14.469000,114.467346,10.629313,9.528705,25.119149,0.000000,95.963135,0.000000,366.442762,5.168424,0.000000,64.507336,173.591783,57.080594,41.994958,18.557071,0.000000,0.000000,0.000000,46.782935,40.656038,1.107212,92.493758,37.808120,47.373781,202.030358,8.045392,15.063387,0,0,0,0,0

19,04:30-04:45,29.210210,0.000000,0.000000,0.000000,0.000000,9.850160,2.342531,0.000000,0.000000,17.660827,26.203454,33.598227,0.000000,6.289964,113.577309,0.000000,4.324784,65.584005,62.103359,38.337062,6.506724,76.218834,327.722850,14.469000,114.467346,10.629313,9.216753,25.119149,0.000000,95.963135,0.000000,366.442762,5.168424,0.000000,64.507336,173.591783,57.080594,41.994958,18.557071,0.000000,0.000000,0.000000,46.782935,40.656038,1.107212,92.493758,37.808120,47.373781,250.260358,8.045392,15.063387,0,0,0,0,0

20,04:45-05:00,29.210210,0.000000,0.000000,0.000000,0.000000,9.850160,2.342531,0.000000,0.000000,17.660827,26.203454,33.598227,0.000000,6.289964,113.577309,0.000000,11.120873,65.584005,62.103359,38.337062,6.506724,76.218834,327.722850,14.469000,114.467346,10.629313,9.216753,25.119149,0.000000,95.963135,0.000000,366.442762,5.168424,0.000000,64.507336,173.591783,57.080594,41.994958,18.557071,0.000000,0.000000,0.000000,46.782935,40.656038,1.107212,92.493758,37.808120,47.373781,298.493155,8.045392,15.063387,0,0,0,0,0

21,05:00-05:15,23.825620,0.000000,0.000000,0.000000,0.000000,9.850160,2.342531,0.000000,0.000000,19.132562,26.203454,33.598227,0.000000,6.289964,113.577309,0.000000,11.120873,65.584005,62.103359,38.337062,6.506724,73.977103,327.722850,14.469000,114.467346,9.259760,9.216753,25.119149,0.000000,95.963135,0.000000,366.444402,5.168424,0.000000,64.507336,173.591783,57.080594,41.994958,14.779891,0.000000,0.000000,0.000000,46.782935,40.656038,1.107212,92.493758,37.808120,47.373781,244.885052,8.045392,12.009270,0,0,0,0,0

22,05:15-05:30,23.825620,0.000000,0.000000,0.000000,0.000000,9.850160,2.342531,0.000000,0.000000,19.132562,26.203454,33.598227,0.000000,6.289964,113.577309,0.000000,11.120873,65.584005,62.103359,34.077389,6.506724,73.977103,327.722850,14.469000,114.467346,8.326620,8.933161,25.119149,0.000000,95.963135,0.000000,366.444402,5.168424,0.000000,64.507336,173.591783,57.080594,41.994958,14.779891,0.000000,0.000000,0.000000,46.782935,40.656038,1.107212,92.493758,37.808120,47.373781,115.752000,8.045392,12.009270,0,0,0,0,0

