Block,Time,CHAMERA2,RIHAND1,RAMPUR,NAPP,TEHRI,RIHAND3,DADRT2,DULHASTI,SINGRAULI,URI,KOLDAM,SINGRAULI_HYDRO,CHAMERA3,RIHAND2,RAPPC,NJPC,UNCHAHAR1,DHAULIGNGA,SALAL,JHAJJAR,URI2,KOTESHWR,TANAKPUR,BSIUL,PARBATI3,UNCHAHAR2,SEWA2,KISHANGANGA,TANDA2,CHAMERA1,UNCHAHAR3,UNCHAHAR4,RAPPB,ANTA_GF,ANTA_RF,ANTA_LF,ANTA_CRF,AURY_GF,AURY_RF,AURY_LF,AURY_CRF,DADRI_GF,DADRI_RF,DADRI_LF,DADRI_CRF,KGSU3AND4,KKNP,KKNPPU2,NLCTS2EXP,NNTPP,NTPL,MAPS,KGSU1AND2,RSTPSU1TO6,RSTPSU7,TALST2,SIMHST1,SIMHST2,KUDGI,TelanganaSTPP,VALLURNTECL,NLCIIST1,NLCIIST2,NLCEXP,KHSTPP-I,KHSTPP-II,FSTPP I & II,TALA,BRBCL,SASAN
1,00:00-00:15,0,92,0,0,0,123.665625,683.129127,0,125.5875,2.4288,0,0.82259,0,59.0625,54.4401,0,10.91181,0,6.972,435.435,16.68048,8.874,0,0,0,42.392196,0,0,0,0,26.39091,0,0,0,0,14.91,29.61,0,0,0,71.4588,0,0,0,92.064,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34.79931,147.515625,18.140334,0,15.00135,382.5

2,00:15-00:30,0,92,0,0,0,123.665625,683.129127,0,125.5875,2.4288,0,0.82259,0,59.0625,54.4401,0,10.91181,0,1.3944,435.435,16.68048,8.874,0,0,0,42.392196,0,0,0,0,26.39091,0,0,0,0,14.91,29.61,0,0,0,71.4588,0,0,0,92.064,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34.79931,147.515625,18.140334,0,15.00135,382.5

3,00:30-00:45,0,92,0,0,0,123.665625,683.129127,0,125.5875,2.4288,0,0.82259,0,59.0625,54.4401,0,10.91181,0,1.3944,435.435,16.68048,8.874,0,0,0,42.392196,0,0,0,0,26.39091,0,0,0,0,14.91,29.61,0,0,0,71.4588,0,0,0,92.064,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34.79931,147.515625,18.140334,0,15.00135,382.5

4,00:45-01:00,0,92,0,0,0,123.665625,683.129127,0,125.5875,2.4288,0,0.82259,0,59.0625,54.4401,0,10.91181,0,1.3944,435.435,16.68048,8.874,0,0,0,42.392196,0,0,0,0,26.39091,0,0,0,0,14.91,29.61,0,0,0,71.4588,0,0,0,92.064,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34.79931,147.515625,18.140334,0,15.00135,382.5

5,01:00-01:15,0,92,0,0,0,123.665625,683.129127,0,125.5875,2.4288,0,0.82259,0,59.0625,54.4401,0,10.91181,0,1.3944,435.435,16.68048,8.874,0,0,0,42.392196,0,0,0,0,26.39091,0,0,0,0,14.91,29.61,0,0,0,71.4588,0,0,0,92.064,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34.79931,147.515625,18.140334,0,15.00135,382.5

6,01:15-01:30,0,92,0,0,0,123.665625,683.129127,0,125.5875,2.4288,0,0.82259,0,59.0625,54.4401,0,10.91181,0,1.3944,435.435,16.68048,8.874,0,0,0,42.392196,0,0,0,0,26.39091,0,0,0,0,14.91,29.61,0,0,0,71.4588,0,0,0,92.064,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34.79931,147.515625,18.140334,0,15.00135,382.5

